Study,Case,Peak Oleo Stroke (mm),Peak Tire Deflection (mm),Peak Ground Reaction (kN),Peak Strut Force (kN),Termination,Status
Unsprung mass sweep,20.000 kg,208.94388563644773,43.568198181891724,22.969706157510288,22.49901171119107,FIRST_MAXIMUM,PASS
Unsprung mass sweep,30.000 kg,206.33802157239467,44.96114744687427,23.79951188872593,23.037572466509083,FIRST_MAXIMUM,PASS
Unsprung mass sweep,40.000 kg,203.73076234568182,46.809590652202814,24.905727093759904,23.776364037536144,FIRST_MAXIMUM,PASS
Sink-speed sweep,0.90 Vd,192.68633184163352,40.41892002088936,21.106235098364458,20.403583402540804,FIRST_MAXIMUM,PASS
Sink-speed sweep,1.00 Vd,206.33802157239467,44.96114744687427,23.79951188872593,23.037572466509083,FIRST_MAXIMUM,PASS
Sink-speed sweep,1.10 Vd,218.44367852205912,49.78351631499152,26.697152139088356,25.86563065246948,FIRST_MAXIMUM,FLAG
Retained-lift sweep,L/W = 0.000000,230.0,48.66741588082387,26.023191344453586,25.736411917191383,STROKE_LIMIT,FLAG
Retained-lift sweep,L/W = 0.333333,224.30005256204706,46.233617305751636,24.56042252657019,23.895800863279256,FIRST_MAXIMUM,PASS
Retained-lift sweep,L/W = 0.666667,206.33802157239467,44.96114744687427,23.79951188872593,23.037572466509083,FIRST_MAXIMUM,PASS
V0.5b virtual diagnostic,"Vd, L/W = 0",240.77931477087984,52.39854820003749,28.28374837984132,27.780866088984656,FIRST_MAXIMUM,DIAGNOSTIC
