shaft_d_mm,bushing_ID_nominal_mm,bushing_OD_mm,bushing_length_each_mm,total_bronze_engagement_mm,central_unbushed_gap_mm,bushing_radial_wall_mm,head_radial_ligament_mm,design_load_per_bushing_kN,B2_reference_reaction_kN,shaft_side_p_design_MPa,shaft_side_p_B2ref_MPa,housing_side_projected_p_design_MPa,AMS4640_static_screen_MPa,MS_AMS4640_static_design,static_bearing_pass,practical_geometry_pass,practical_shortlist
38.0,38.0,44,15,30.0,76.0,3.0,31.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,251.75757575757575,413.685,0.41911681511795873,True,False,False
38.0,38.0,46,15,30.0,76.0,4.0,30.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,240.81159420289856,413.685,0.41911681511795873,True,False,False
38.0,38.0,48,15,30.0,76.0,5.0,29.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,230.77777777777777,413.685,0.41911681511795873,True,False,False
38.0,38.0,50,15,30.0,76.0,6.0,28.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,221.54666666666665,413.685,0.41911681511795873,True,False,False
38.0,38.0,52,15,30.0,76.0,7.0,27.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,213.02564102564102,413.685,0.41911681511795873,True,False,False
38.0,38.0,54,15,30.0,76.0,8.0,26.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,205.1358024691358,413.685,0.41911681511795873,True,False,False
38.0,38.0,56,15,30.0,76.0,9.0,25.0,166.16,112.64000000000001,291.50877192982455,197.61403508771932,197.8095238095238,413.685,0.41911681511795873,True,False,False
38.0,38.0,44,20,40.0,66.0,3.0,31.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,188.8181818181818,413.685,0.8921557534906115,True,False,False
38.0,38.0,46,20,40.0,66.0,4.0,30.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,180.6086956521739,413.685,0.8921557534906115,True,False,False
38.0,38.0,48,20,40.0,66.0,5.0,29.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,173.08333333333334,413.685,0.8921557534906115,True,False,False
38.0,38.0,50,20,40.0,66.0,6.0,28.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,166.16,413.685,0.8921557534906115,True,False,False
38.0,38.0,52,20,40.0,66.0,7.0,27.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,159.76923076923077,413.685,0.8921557534906115,True,False,False
38.0,38.0,54,20,40.0,66.0,8.0,26.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,153.85185185185185,413.685,0.8921557534906115,True,False,False
38.0,38.0,56,20,40.0,66.0,9.0,25.0,166.16,112.64000000000001,218.6315789473684,148.21052631578948,148.35714285714286,413.685,0.8921557534906115,True,False,False
38.0,38.0,44,25,50.0,56.0,3.0,31.0,166.16,112.64000000000001,174.90526315789472,118.56842105263159,151.05454545454546,413.685,1.3651946918632647,True,False,False
