diametral_interference_mm,fit_pressure_MPa,head_VM_fit_only_MPa,MS_7075_yield_fit_only,bronze_VM_fit_only_MPa,MS_bronze_proof_fit_only
0.005,1.5307931608911802,4.625818334129989,107.73751705482891,7.248073678462026,56.1186246671608
0.01,3.0615863217823605,9.251636668259978,53.36875852741446,14.496147356924052,27.5593123335804
0.015,4.5923794826735405,13.877455002389969,35.24583901827631,21.744221035386083,18.039541555720263
0.02,6.123172643564721,18.503273336519957,26.18437926370723,28.992294713848104,13.2796561667902
0.025,7.653965804455901,23.129091670649952,20.747503410965777,36.240368392310145,10.423724933432155
0.03,9.184758965347081,27.754910004779937,17.122919509138153,43.488442070772166,8.519770777860131
0.04,12.246345287129442,37.006546673039914,12.592189631853614,57.98458942769621,6.1398280833951
0.05,15.307931608911803,46.258183341299905,9.873751705482888,72.48073678462029,4.711862466716077
0.06,18.369517930694162,55.509820009559874,8.061459754569077,86.97688414154433,3.7598853889300656
0.08,24.492690574258884,74.01309334607983,5.796094815926807,115.96917885539241,2.56991404169755
0.1,30.615863217823605,92.51636668259981,4.436875852741444,144.96147356924058,1.8559312333580387
0.15,45.9237948267354,138.77455002389968,2.6245839018276307,217.44221035386082,0.9039541555720263
0.2,61.23172643564721,185.03273336519962,1.7184379263707221,289.92294713848116,0.42796561667901933
