OD_mm,ID_mm,wall_mm,A_m2,I_m4,J_m4,c_m,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_governing_case,limit_tau_screen_MPa,MS_limit_shear,ultimate_shear_governing_case,ultimate_tau_screen_MPa,MS_ultimate_shear,PASS
40.0,37.0,1.5,0.0001814269757448108,3.366604318664643e-08,6.733208637329286e-08,0.02,1.427830299111661,LC2A,1838.530928883358,-0.17488469942610185,LC2A,2757.796393325037,-0.32482325217815944,LC2A,284.3019962424316,2.0806690418515768,LC2A,426.45299436364746,1.5208550893990922,False
40.0,36.5,1.75,0.00021029035824966693,3.853899393609911e-08,7.707798787219822e-08,0.02,1.6549851194248788,LC2A,1606.0632447852993,-0.05545438205779085,LC2A,2409.094867177949,-0.22709560948873064,LC2A,245.2801536209215,2.570775480327962,LC2A,367.9202304313823,1.9219002172580373,False
40.0,36.0,2.0,0.00023876104167282447,4.3215748542781214e-08,8.643149708556243e-08,0.02,1.8790493979651286,LC2A,1432.2570761558977,0.05916739756772427,LC2A,2148.3856142338464,-0.13330270522034593,LC2A,216.03210898684782,3.0542138039951467,LC2A,324.04816348027174,2.3174889488195833,False
40.0,35.5,2.25,0.00026683902601428323,4.77016452598346e-08,9.54032905196692e-08,0.02,2.100023134732409,LC2A,1297.5665999489036,0.16911147378464997,LC2A,1946.3498999233555,-0.04333748003207283,LC2A,193.3002535158256,3.5309840128531276,LC2A,289.9503802737384,2.7076212840837277,False
40.0,35.0,2.5,0.000294524311274043,5.200194870932321e-08,1.0400389741864642e-07,0.02,2.3179063297267186,LC2A,1190.264272551679,0.2745068763156837,LC2A,1785.3964088275181,0.04290564873645519,LC2A,175.13002968533817,4.0010861069019015,LC2A,262.69504452800726,3.092297223050468,True
40.0,34.5,2.75,0.0003218168974521044,5.6121849882233386e-08,1.1224369976446677e-07,0.02,2.5326989829480615,LC2A,1102.8870534676882,0.3754808302720223,LC2A,1654.3305802015323,0.12553078706504306,LC2A,160.27763546553214,4.464520086141479,LC2A,240.41645319829826,3.4715167657198123,True
40.0,34.0,3.0,0.000348716784548467,6.006646613847344e-08,1.2013293227694687e-07,0.02,2.7444010943964354,LC2A,1030.4595164476807,0.4721587561533498,LC2A,1545.6892746715207,0.2046405642529281,LC2A,147.91387642342747,4.921285950571853,LC2A,221.87081463514122,3.8452799120917556,True
40.0,33.5,3.25,0.00037522397256313083,6.384084120687393e-08,1.2768168241374786e-07,0.02,2.9530126640718395,LC2A,969.5370625083146,0.5646642698478486,LC2A,1454.3055937624717,0.28033613291878456,LC2A,137.46470147985727,5.371383700193023,LC2A,206.1970522197859,4.213586662166297,True
40.0,33.0,3.5,0.00040133846149609606,6.744994518518763e-08,1.3489989037037526e-07,0.02,3.158533691974276,LC2A,917.6591838856677,0.6531191826321927,LC2A,1376.4887758285017,0.3527171690007218,LC2A,128.52008049315418,5.8148133350049935,LC2A,192.7801207397313,4.57643701594344,True
40.0,32.5,3.75,0.00042706025134736246,7.089867454008948e-08,1.4179734908017895e-07,0.02,3.3609641781037425,LC2A,873.0214218147809,0.7376435011715494,LC2A,1309.5321327221711,0.42188187175628467,LC2A,120.77933081747456,6.2515748550077594,LC2A,181.16899622621187,4.93383097342318,True
40.0,32.0,4.0,0.0004523893421169303,7.419185210717655e-08,1.483837042143531e-07,0.02,3.5603041224602414,LC2A,834.2703395833562,0.8183554275195815,LC2A,1251.4055093750342,0.4879269637624526,LC2A,114.01694640972529,6.681668260201326,LC2A,171.02541961458797,5.2857685346055225,True
40.0,31.5,4.25,0.00047732573380479917,7.733422709096817e-08,1.5466845418193635e-07,0.02,3.7565535250437696,LC2A,800.3708575113066,0.8953713591184445,LC2A,1200.5562862669597,0.5509476909156423,LC2A,108.06048725956691,7.105093550585684,LC2A,162.0907308893504,5.63224969949046,True
40.0,31.0,4.5,0.0005018694264109695,8.03304750649058e-08,1.606609501298116e-07,0.02,3.94971238585433,LC2A,770.5178091099455,0.9688058887987867,LC2A,1155.776713664918,0.6110378224317037,LC2A,102.77583901721718,7.521850726160844,LC2A,154.16375852582576,5.973274468078002,True
40.0,30.5,4.75,0.0005260204199354411,8.31851979713531e-08,1.663703959427062e-07,0.02,4.139780704891922,LC2A,744.0754264128549,1.0387718047797523,LC2A,1116.1131396192823,0.6682896508459235,LC2A,98.05712748339197,7.931939786926803,LC2A,147.08569122508797,6.30884284036814,True
40.0,30.0,5.0,0.0005497787143782139,8.590292412159592e-08,1.7180584824319184e-07,0.02,4.326758482156544,LC2A,720.5349792768195,1.1053800906689775,LC2A,1080.8024689152292,0.722793992013024,LC2A,93.81965876000253,8.335360732883556,LC2A,140.7294881400038,6.6389548163608785,True
40.0,29.5,5.25,0.000573144309739288,8.848810819584225e-08,1.769762163916845e-07,0.02,4.510645717648196,LC2A,699.484517340835,1.1687399254625923,LC2A,1049.2267760112527,0.7746401851071618,LC2A,89.99487650839572,8.732113564031106,LC2A,134.9923147625936,6.963610396056215,True
40.0,29.0,5.5,0.0005961172060186632,9.09451312432223e-08,1.818902624864446e-07,0.02,4.69144241136688,LC2A,680.5868638117461,1.2289586835452209,LC2A,1020.8802957176191,0.8239160926219298,LC2A,86.52669450856627,9.122198280369451,LC2A,129.7900417628494,7.282809579454151,True
40.0,28.5,5.75,0.00061869740321634,9.327830068178849e-08,1.8655660136357698e-07,0.02,4.869148563312596,LC2A,663.5633496682772,1.2861419346899816,LC2A,995.3450245024156,0.8707081003703565,LC2A,83.36878594985944,9.5056148818986,LC2A,125.05317892478918,7.596552366554688,True
