hL_mm,spacing_mm,hU_mm,bushing_length_mm,limit_lower_case,limit_lower_R_kN,limit_lower_p_MPa,limit_upper_case,limit_upper_R_kN,limit_upper_p_MPa,ultimate_lower_case,ultimate_lower_R_kN,ultimate_lower_p_MPa,ultimate_upper_case,ultimate_upper_R_kN,ultimate_upper_p_MPa,max_ultimate_reaction_kN,max_ultimate_pressure_MPa
200.0,75.0,275.0,20.0,LC4+,67.78752,58.43751724137931,LC4+,59.447520000000004,51.24786206896552,LC4+,101.68128000000002,87.65627586206898,LC4+,89.17128000000001,76.87179310344828,101.68128000000002,87.65627586206898
200.0,75.0,275.0,30.0,LC4+,67.78752,38.95834482758621,LC4+,59.447520000000004,34.165241379310345,LC4+,101.68128000000002,58.43751724137932,LC4+,89.17128000000001,51.247862068965524,101.68128000000002,58.43751724137932
200.0,75.0,275.0,40.0,LC4+,67.78752,29.218758620689655,LC4+,59.447520000000004,25.62393103448276,LC4+,101.68128000000002,43.82813793103449,LC4+,89.17128000000001,38.43589655172414,101.68128000000002,43.82813793103449
200.0,100.0,300.00000000000006,20.0,LC4+,52.92564,45.625551724137935,LC4+,44.58564,38.435896551724134,LC4+,79.38846000000001,68.4383275862069,LC4+,66.87846,57.65384482758621,79.38846000000001,68.4383275862069
200.0,100.0,300.00000000000006,30.0,LC4+,52.92564,30.41703448275862,LC4+,44.58564,25.62393103448276,LC4+,79.38846000000001,45.625551724137935,LC4+,66.87846,38.43589655172414,79.38846000000001,45.625551724137935
200.0,100.0,300.00000000000006,40.0,LC4+,52.92564,22.812775862068968,LC4+,44.58564,19.217948275862067,LC4+,79.38846000000001,34.21916379310345,LC4+,66.87846,28.826922413793106,79.38846000000001,34.21916379310345
200.0,125.0,325.0,20.0,LC4+,44.008511999999996,37.938372413793104,LC4+,35.668512,30.748717241379314,LC4+,66.01276800000001,56.90755862068967,LC4+,53.502768,46.123075862068966,66.01276800000001,56.90755862068967
200.0,125.0,325.0,30.0,LC4+,44.008511999999996,25.292248275862065,LC4+,35.668512,20.499144827586207,LC4+,66.01276800000001,37.93837241379311,LC4+,53.502768,30.748717241379314,66.01276800000001,37.93837241379311
200.0,125.0,325.0,40.0,LC4+,44.008511999999996,18.969186206896552,LC4+,35.668512,15.374358620689657,LC4+,66.01276800000001,28.453779310344835,LC4+,53.502768,23.061537931034483,66.01276800000001,28.453779310344835
200.0,150.0,350.0,20.0,LC4+,38.06376,32.81358620689655,LC4+,29.723760000000002,25.62393103448276,LC4+,57.09564,49.22037931034483,LC4+,44.585640000000005,38.43589655172414,57.09564,49.22037931034483
200.0,150.0,350.0,30.0,LC4+,38.06376,21.875724137931034,LC4+,29.723760000000002,17.082620689655172,LC4+,57.09564,32.81358620689655,LC4+,44.585640000000005,25.623931034482762,57.09564,32.81358620689655
200.0,150.0,350.0,40.0,LC4+,38.06376,16.406793103448276,LC4+,29.723760000000002,12.81196551724138,LC4+,57.09564,24.610189655172416,LC4+,44.585640000000005,19.21794827586207,57.09564,24.610189655172416
250.0,75.0,325.0,20.0,LC4+,73.34752,63.230620689655176,LC4+,65.00752,56.040965517241375,LC4+,110.02128,94.84593103448276,LC4+,97.51128,84.06144827586206,110.02128,94.84593103448276
250.0,75.0,325.0,30.0,LC4+,73.34752,42.153747126436784,LC4+,65.00752,37.36064367816092,LC4+,110.02128,63.23062068965517,LC4+,97.51128,56.04096551724138,110.02128,63.23062068965517
250.0,75.0,325.0,40.0,LC4+,73.34752,31.615310344827588,LC4+,65.00752,28.020482758620687,LC4+,110.02128,47.42296551724138,LC4+,97.51128,42.03072413793103,110.02128,47.42296551724138
250.0,100.0,350.0,20.0,LC4+,57.09563999999999,49.220379310344825,LC4+,48.75563999999999,42.030724137931024,LC4+,85.64346,73.83056896551726,LC4+,73.13346,63.04608620689656,85.64346,73.83056896551726
250.0,100.0,350.0,30.0,LC4+,57.09563999999999,32.813586206896545,LC4+,48.75563999999999,28.020482758620687,LC4+,85.64346,49.22037931034483,LC4+,73.13346,42.03072413793104,85.64346,49.22037931034483
250.0,100.0,350.0,40.0,LC4+,57.09563999999999,24.610189655172412,LC4+,48.75563999999999,21.015362068965512,LC4+,85.64346,36.91528448275863,LC4+,73.13346,31.52304310344828,85.64346,36.91528448275863
250.0,125.0,375.0,20.0,LC4+,47.344511999999995,40.81423448275862,LC4+,39.004512,33.62457931034482,LC4+,71.016768,61.221351724137925,LC4+,58.506768,50.43686896551724,71.016768,61.221351724137925
250.0,125.0,375.0,30.0,LC4+,47.344511999999995,27.209489655172412,LC4+,39.004512,22.416386206896547,LC4+,71.016768,40.81423448275862,LC4+,58.506768,33.62457931034483,71.016768,40.81423448275862
250.0,125.0,375.0,40.0,LC4+,47.344511999999995,20.40711724137931,LC4+,39.004512,16.81228965517241,LC4+,71.016768,30.610675862068963,LC4+,58.506768,25.21843448275862,71.016768,30.610675862068963
250.0,150.0,400.0,20.0,LC4+,40.84376,35.21013793103448,LC4+,32.50376,28.020482758620687,LC4+,61.26564,52.81520689655172,LC4+,48.75564,42.03072413793103,61.26564,52.81520689655172
250.0,150.0,400.0,30.0,LC4+,40.84376,23.473425287356324,LC4+,32.50376,18.68032183908046,LC4+,61.26564,35.21013793103448,LC4+,48.75564,28.02048275862069,61.26564,35.21013793103448
250.0,150.0,400.0,40.0,LC4+,40.84376,17.60506896551724,LC4+,32.50376,14.010241379310344,LC4+,61.26564,26.40760344827586,LC4+,48.75564,21.015362068965516,61.26564,26.40760344827586
300.0,75.0,375.0,20.0,LC4+,78.90752,68.02372413793104,LC4+,70.56752,60.83406896551725,LC4+,118.36128000000001,102.03558620689655,LC4+,105.85128,91.25110344827587,118.36128000000001,102.03558620689655
300.0,75.0,375.0,30.0,LC4+,78.90752,45.34914942528736,LC4+,70.56752,40.55604597701149,LC4+,118.36128000000001,68.02372413793105,LC4+,105.85128,60.83406896551724,118.36128000000001,68.02372413793105
300.0,75.0,375.0,40.0,LC4+,78.90752,34.01186206896552,LC4+,70.56752,30.417034482758623,LC4+,118.36128000000001,51.01779310344828,LC4+,105.85128,45.625551724137935,118.36128000000001,51.01779310344828
300.0,100.0,400.0,20.0,LC4+,61.26563999999999,52.815206896551715,LC4+,52.925639999999994,45.62555172413793,LC4+,91.89846,79.2228103448276,LC4+,79.38846,68.43832758620688,91.89846,79.2228103448276
