case,level,Fx_kN,Fy_kN,Fz_kN,U_Nc_kN,U_Vx_kN,U_Vy_kN,U_Mx_kNm,U_My_kNm,U_Tz_kNm,U_Mb_kNm,A_Nc_kN,A_Vx_kN,A_Vy_kN,A_Mx_kNm,A_My_kNm,A_Tz_kNm,A_Mb_kNm,AX_Ny_kN,AX_Vx_kN,AX_Vz_kN,AX_Mx_kNm,AX_Mz_kNm,AX_Ty_geom_kNm,AX_Mb_kNm,torque_note
LC0,limit,0.0,0.0,7.452765957446808,7.452765957446808,0.0,0.0,0.894331914893617,-0.0,-0.0,0.894331914893617,7.452765957446808,0.0,0.0,0.894331914893617,-0.0,-0.0,0.894331914893617,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,NO LONGITUDINAL CONTACT TORQUE
LC0,ultimate,0.0,0.0,11.179148936170211,11.179148936170211,0.0,0.0,1.3414978723404254,-0.0,-0.0,1.3414978723404254,11.179148936170211,0.0,0.0,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,NO LONGITUDINAL CONTACT TORQUE
LC1,limit,0.0,0.0,25.02,25.02,0.0,0.0,3.0023999999999997,-0.0,-0.0,3.0023999999999997,25.02,0.0,0.0,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,NO LONGITUDINAL CONTACT TORQUE
LC1,ultimate,0.0,0.0,37.53,37.53,0.0,0.0,4.5036,-0.0,-0.0,4.5036,37.53,0.0,0.0,4.5036,-0.0,-0.0,4.5036,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,NO LONGITUDINAL CONTACT TORQUE
LC2A,limit,-6.255,0.0,25.02,25.02,-6.255,0.0,3.0023999999999997,4.06575,0.7505999999999999,5.054179342138544,25.02,-6.255,0.0,3.0023999999999997,1.094625,0.7505999999999999,3.1957173921711224,0.0,-6.255,25.02,3.0023999999999997,0.7505999999999999,1.094625,3.0948030825886157,WHEEL SPIN-UP MOMENT; NOT YET STRUCTURAL TORSION
LC2A,ultimate,-9.3825,0.0,37.53,37.53,-9.3825,0.0,4.5036,6.098625,1.1259,7.581269013207815,37.53,-9.3825,0.0,4.5036,1.6419375,1.1259,4.793576088256684,0.0,-9.3825,37.53,4.5036,1.1259,1.6419375,4.6422046238829235,WHEEL SPIN-UP MOMENT; NOT YET STRUCTURAL TORSION
LC2B,limit,6.255,0.0,25.02,25.02,6.255,0.0,3.0023999999999997,-4.06575,-0.7505999999999999,5.054179342138544,25.02,6.255,0.0,3.0023999999999997,-1.094625,-0.7505999999999999,3.1957173921711224,0.0,6.255,25.02,3.0023999999999997,-0.7505999999999999,-1.094625,3.0948030825886157,WHEEL SPIN-UP MOMENT; NOT YET STRUCTURAL TORSION
LC2B,ultimate,9.3825,0.0,37.53,37.53,9.3825,0.0,4.5036,-6.098625,-1.1259,7.581269013207815,37.53,9.3825,0.0,4.5036,-1.6419375,-1.1259,4.793576088256684,0.0,9.3825,37.53,4.5036,-1.1259,-1.6419375,4.6422046238829235,WHEEL SPIN-UP MOMENT; NOT YET STRUCTURAL TORSION
LC3,limit,0.0,0.0,25.02,25.02,0.0,0.0,3.0023999999999997,-0.0,-0.0,3.0023999999999997,25.02,0.0,0.0,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,NO LONGITUDINAL CONTACT TORQUE
LC3,ultimate,0.0,0.0,37.53,37.53,0.0,0.0,4.5036,-0.0,-0.0,4.5036,37.53,0.0,0.0,4.5036,-0.0,-0.0,4.5036,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,NO LONGITUDINAL CONTACT TORQUE
LC4+,limit,0.0,8.34,11.0922,11.0922,0.0,8.34,6.752064000000001,-0.0,-0.0,6.752064000000001,11.0922,0.0,8.34,2.790564,-0.0,-0.0,2.790564,8.34,0.0,11.0922,2.790564,-0.0,-0.0,2.790564,NO LONGITUDINAL CONTACT TORQUE
LC4+,ultimate,0.0,12.51,16.638300000000005,16.638300000000005,0.0,12.51,10.128096000000001,-0.0,-0.0,10.128096000000001,16.638300000000005,0.0,12.51,4.185846000000001,-0.0,-0.0,4.185846000000001,12.51,0.0,16.638300000000005,4.185846000000001,-0.0,-0.0,4.185846000000001,NO LONGITUDINAL CONTACT TORQUE
LC4-,limit,0.0,-8.34,11.0922,11.0922,0.0,-8.34,-4.089936,-0.0,-0.0,4.089936,11.0922,0.0,-8.34,-0.12843599999999977,-0.0,-0.0,0.12843599999999977,-8.34,0.0,11.0922,-0.12843599999999977,-0.0,-0.0,0.12843599999999977,NO LONGITUDINAL CONTACT TORQUE
LC4-,ultimate,0.0,-12.51,16.638300000000005,16.638300000000005,0.0,-12.51,-6.134904000000001,-0.0,-0.0,6.134904000000001,16.638300000000005,0.0,-12.51,-0.19265399999999944,-0.0,-0.0,0.19265399999999944,-12.51,0.0,16.638300000000005,-0.19265399999999944,-0.0,-0.0,0.19265399999999944,NO LONGITUDINAL CONTACT TORQUE
LC5,limit,-8.87376,0.0,11.0922,11.0922,-8.87376,0.0,1.331064,5.767944000000001,1.0648512,5.919536245284085,11.0922,-8.87376,0.0,1.331064,1.552908,1.0648512,2.0453006205836832,0.0,-8.87376,11.0922,1.331064,1.0648512,1.552908,1.7045936319948636,BRAKE TORQUE PATH
LC5,ultimate,-13.31064,0.0,16.638300000000005,16.638300000000005,-13.31064,0.0,1.9965960000000005,8.651916,1.5972768,8.879304367926126,16.638300000000005,-13.31064,0.0,1.9965960000000005,2.3293619999999997,1.5972768,3.067950930875525,0.0,-13.31064,16.638300000000005,1.9965960000000005,1.5972768,2.3293619999999997,2.5568904479922954,BRAKE TORQUE PATH
