land_mm,lever_arm_mm,Kt_bending,limit_local_moment_kNm,ultimate_local_moment_kNm,limit_vm_MPa,ultimate_vm_MPa,limit_surface,ultimate_surface,limit_tau_transverse_screen_MPa,ultimate_tau_transverse_screen_MPa,MS_limit_yield,MS_ultimate,Kt_allow_limit,Kt_allow_ultimate
5.0,20.0,1.0,0.8168752,1.2253128,81.44805018448662,99.13449501428921,inner,inner,75.36795708358301,113.05193562537451,17.62536913485183,17.78256402810759,32.308971424890956,26.402384245786234
5.0,20.0,1.5,0.8168752,1.2253128,93.30892213063382,129.37255609816953,outer,outer,75.36795708358301,113.05193562537451,15.257823639589134,13.39254240742597,32.308971424890956,26.402384245786234
5.0,20.0,2.0,0.8168752,1.2253128,113.9557920086784,162.3755995630166,outer,outer,75.36795708358301,113.05193562537451,12.312179866070094,10.467240182705984,32.308971424890956,26.402384245786234
5.0,20.0,2.5,0.8168752,1.2253128,135.46833402285822,196.05806808776578,outer,outer,75.36795708358301,113.05193562537451,10.19818894166093,8.497186308938186,32.308971424890956,26.402384245786234
5.0,20.0,3.0,0.8168752,1.2253128,157.49220908029457,230.1218165623323,outer,outer,75.36795708358301,113.05193562537451,8.632222500775164,7.091366684895112,32.308971424890956,26.402384245786234
10.0,25.0,1.0,1.021094,1.531641,88.05821856290751,113.31196920617003,inner,outer,75.36795708358301,113.05193562537451,16.22723926008425,15.432509407828832,25.847177139912763,21.121907396628984
10.0,25.0,1.5,1.021094,1.531641,108.69329587002949,154.04393175866898,outer,outer,75.36795708358301,113.05193562537451,12.956702553338337,11.08746088691815,25.847177139912763,21.121907396628984
10.0,25.0,2.0,1.021094,1.531641,135.46833402285822,196.05806808776583,outer,outer,75.36795708358301,113.05193562537451,10.19818894166093,8.497186308938184,25.847177139912763,21.121907396628984
10.0,25.0,2.5,1.021094,1.531641,163.05389999298492,238.67823909458676,outer,outer,75.36795708358301,113.05193562537451,8.303671976354236,6.801297709683959,25.847177139912763,21.121907396628984
10.0,25.0,3.0,1.021094,1.531641,191.09931163421467,281.62943769539885,outer,outer,75.36795708358301,113.05193562537451,6.938280818633752,5.611524758338217,25.847177139912763,21.121907396628984
15.0,30.0,1.0,1.2253128,1.8379692,95.27783269268377,129.37255609816953,inner,outer,75.36795708358301,113.05193562537451,14.921856712390225,13.39254240742597,21.53931428326064,17.601589497190822
15.0,30.0,1.5,1.2253128,1.8379692,124.63145109359256,179.15567668798613,outer,outer,75.36795708358301,113.05193562537451,11.171887486576738,9.393195652085428,21.53931428326064,17.601589497190822
15.0,30.0,2.0,1.2253128,1.8379692,157.49220908029454,230.1218165623323,outer,outer,75.36795708358301,113.05193562537451,8.632222500775166,7.091366684895112,21.53931428326064,17.601589497190822
15.0,30.0,2.5,1.2253128,1.8379692,191.09931163421462,281.6294376953988,outer,outer,75.36795708358301,113.05193562537451,6.9382808186337535,5.611524758338219,21.53931428326064,17.601589497190822
15.0,30.0,3.0,1.2253128,1.8379692,225.1187499075387,333.4276917797421,outer,outer,75.36795708358301,113.05193562537451,5.738665706979386,4.5844191886437935,21.53931428326064,17.601589497190822
20.0,35.0,1.0,1.4295316000000002,2.1442974000000006,103.49126202158592,145.76008573702106,outer,outer,75.36795708358301,113.05193562537451,13.65824235174162,11.774416196210273,18.46226938565197,15.087076711877843
20.0,35.0,1.5,1.4295316000000002,2.1442974000000006,140.9356344328681,204.5456648402902,outer,outer,75.36795708358301,113.05193562537451,9.763778842054261,8.103101752138597,18.46226938565197,15.087076711877843
20.0,35.0,2.0,1.4295316000000002,2.1442974000000006,179.83965560051763,264.4195312762869,outer,outer,75.36795708358301,113.05193562537451,7.4352919545717455,6.041839878516508,18.46226938565197,15.087076711877843
20.0,35.0,2.5,1.4295316000000002,2.1442974000000006,219.42831935594324,324.7803583043601,outer,outer,75.36795708358301,113.05193562537451,5.9134194002516836,4.733105319919228,18.46226938565197,15.087076711877843
20.0,35.0,3.0,1.4295316000000002,2.1442974000000006,259.3883379791352,385.3994121230184,outer,outer,75.36795708358301,113.05193562537451,4.848373954738185,3.8313514277122325,18.46226938565197,15.087076711877843
30.0,45.0,1.0,1.8379692,2.7569538,124.63145109359256,179.15567668798613,outer,outer,75.36795708358301,113.05193562537451,11.171887486576738,9.393195652085428,14.359542855507092,11.734392998127214
30.0,45.0,1.5,1.8379692,2.7569538,174.2292375167931,255.82830345468906,outer,outer,75.36795708358301,113.05193562537451,7.706919812203068,6.278318993073366,14.359542855507092,11.734392998127214
30.0,45.0,2.0,1.8379692,2.7569538,225.1187499075387,333.427691779742,outer,outer,75.36795708358301,113.05193562537451,5.738665706979386,4.584419188643794,14.359542855507092,11.734392998127214
30.0,45.0,2.5,1.8379692,2.7569538,276.58790946902246,411.4297885189121,outer,outer,75.36795708358301,113.05193562537451,4.484693828129542,3.5256810565489953,14.359542855507092,11.734392998127214
30.0,45.0,3.0,1.8379692,2.7569538,328.36426041702015,489.6421719520847,outer,outer,75.36795708358301,113.05193562537451,3.6198694037938886,2.802777020975659,14.359542855507092,11.734392998127214
40.0,55.0,1.0,2.2464068000000004,3.3696102,146.43065012499116,213.0536647227161,outer,outer,75.36795708358301,113.05193562537451,9.359852931781086,7.739582125580171,11.74871688177853,9.60086699846772
40.0,55.0,1.5,2.2464068000000004,3.3696102,208.0700723918603,307.5013958379928,outer,outer,75.36795708358301,113.05193562537451,6.290813054282116,5.055257066153271,11.74871688177853,9.60086699846772
40.0,55.0,2.0,2.2464068000000004,3.3696102,270.8507319967757,402.750266837768,outer,outer,75.36795708358301,113.05193562537451,4.600870962453439,3.623212331104509,11.74871688177853,9.60086699846772
40.0,55.0,2.5,2.2464068000000004,3.3696102,334.12995569109546,498.34111915285257,outer,outer,75.36795708358301,113.05193562537451,3.5401496458535817,2.7363964730931265,11.74871688177853,9.60086699846772
40.0,55.0,3.0,2.2464068000000004,3.3696102,397.6698125656339,594.1089035220621,outer,outer,75.36795708358301,113.05193562537451,2.81472254635779,2.134105530082929,11.74871688177853,9.60086699846772
