hL_mm,spacing_mm,hU_mm,bushing_length_mm,ultimate_lower_case,ultimate_lower_R_kN,ultimate_upper_case,ultimate_upper_R_kN,max_ultimate_reaction_kN,max_ultimate_pressure_MPa,overrun_mm,lower_station_from_U_mm,upper_station_from_U_mm,full_extension_hL_mm,full_extension_hU_mm,nominal_hL_mm,nominal_hU_mm,physical_hL_mm,physical_hU_mm,virtual_hL_mm,virtual_hU_mm,physical_lower_surface_reserve_mm,virtual_lower_surface_reserve_mm,required_piston_guide_length_mm,nominal_top_intrusion_above_U_mm,physical_top_intrusion_above_U_mm,virtual_top_intrusion_above_U_mm,physical_full_bushing_engagement,virtual_full_bushing_engagement
200.0,75.0,275.0,20.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,87.65627586206898,0.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,10.0,-0.7789999999999679,335.0,16.338000000000022,39.99999999999994,50.77899999999994,True,False
200.0,75.0,275.0,20.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,87.65627586206898,10.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,10.0,-0.7789999999999679,345.0,26.338000000000022,49.99999999999994,60.77899999999994,True,False
200.0,75.0,275.0,20.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,87.65627586206898,20.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,10.0,-0.7789999999999679,355.0,36.33800000000002,59.99999999999994,70.77899999999994,True,False
200.0,75.0,275.0,20.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,87.65627586206898,30.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,10.0,-0.7789999999999679,365.0,46.33800000000002,69.99999999999994,80.77899999999994,True,False
200.0,75.0,275.0,30.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,58.43751724137932,0.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,5.0,-5.778999999999968,340.0,21.338000000000022,44.99999999999994,55.77899999999994,True,False
200.0,75.0,275.0,30.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,58.43751724137932,10.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,5.0,-5.778999999999968,350.0,31.338000000000022,54.99999999999994,65.77899999999994,True,False
200.0,75.0,275.0,30.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,58.43751724137932,20.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,5.0,-5.778999999999968,360.0,41.33800000000002,64.99999999999994,75.77899999999994,True,False
200.0,75.0,275.0,30.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,58.43751724137932,30.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,5.0,-5.778999999999968,370.0,51.33800000000002,74.99999999999994,85.77899999999994,True,False
200.0,75.0,275.0,40.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,43.82813793103449,0.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,0.0,-10.778999999999968,345.0,26.338000000000022,49.99999999999994,60.77899999999994,False,False
200.0,75.0,275.0,40.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,43.82813793103449,10.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,0.0,-10.778999999999968,355.0,36.33800000000002,59.99999999999994,70.77899999999994,False,False
200.0,75.0,275.0,40.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,43.82813793103449,20.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,0.0,-10.778999999999968,365.0,46.33800000000002,69.99999999999994,80.77899999999994,False,False
200.0,75.0,275.0,40.0,LC4+,101.68128000000002,LC4+,89.17128000000001,101.68128000000002,43.82813793103449,30.0,275.00000000000006,200.00000000000006,250.0,325.0,43.662000000000035,118.66200000000003,20.0,95.0,9.221000000000032,84.22100000000003,0.0,-10.778999999999968,375.0,56.33800000000002,79.99999999999994,90.77899999999994,False,False
200.0,100.0,300.00000000000006,20.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,68.4383275862069,0.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,10.0,-0.7789999999999679,360.00000000000006,41.33800000000008,65.0,75.779,True,False
200.0,100.0,300.00000000000006,20.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,68.4383275862069,10.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,10.0,-0.7789999999999679,370.00000000000006,51.33800000000008,75.0,85.779,True,False
200.0,100.0,300.00000000000006,20.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,68.4383275862069,20.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,10.0,-0.7789999999999679,380.00000000000006,61.33800000000008,85.0,95.779,True,False
200.0,100.0,300.00000000000006,20.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,68.4383275862069,30.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,10.0,-0.7789999999999679,390.00000000000006,71.33800000000008,95.0,105.779,True,False
200.0,100.0,300.00000000000006,30.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,45.625551724137935,0.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,5.0,-5.778999999999968,365.00000000000006,46.33800000000008,70.0,80.779,True,False
200.0,100.0,300.00000000000006,30.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,45.625551724137935,10.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,5.0,-5.778999999999968,375.00000000000006,56.33800000000008,80.0,90.779,True,False
200.0,100.0,300.00000000000006,30.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,45.625551724137935,20.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,5.0,-5.778999999999968,385.00000000000006,66.33800000000008,90.0,100.779,True,False
200.0,100.0,300.00000000000006,30.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,45.625551724137935,30.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,5.0,-5.778999999999968,395.00000000000006,76.33800000000008,100.0,110.779,True,False
200.0,100.0,300.00000000000006,40.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,34.21916379310345,0.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,0.0,-10.778999999999968,370.00000000000006,51.33800000000008,75.0,85.779,False,False
200.0,100.0,300.00000000000006,40.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,34.21916379310345,10.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,0.0,-10.778999999999968,380.00000000000006,61.33800000000008,85.0,95.779,False,False
200.0,100.0,300.00000000000006,40.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,34.21916379310345,20.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,0.0,-10.778999999999968,390.00000000000006,71.33800000000008,95.0,105.779,False,False
200.0,100.0,300.00000000000006,40.0,LC4+,79.38846000000001,LC4+,66.87846,79.38846000000001,34.21916379310345,30.0,275.00000000000006,175.0,250.0,350.00000000000006,43.662000000000035,143.6620000000001,20.0,120.00000000000006,9.221000000000032,109.22100000000009,0.0,-10.778999999999968,400.00000000000006,81.33800000000008,105.0,115.779,False,False
200.0,125.0,325.0,20.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,56.90755862068967,0.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,10.0,-0.7789999999999679,385.0,66.33800000000002,89.99999999999994,100.77899999999994,True,False
200.0,125.0,325.0,20.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,56.90755862068967,10.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,10.0,-0.7789999999999679,395.0,76.33800000000002,99.99999999999994,110.77899999999994,True,False
200.0,125.0,325.0,20.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,56.90755862068967,20.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,10.0,-0.7789999999999679,405.0,86.33800000000002,109.99999999999994,120.77899999999994,True,False
200.0,125.0,325.0,20.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,56.90755862068967,30.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,10.0,-0.7789999999999679,415.0,96.33800000000002,119.99999999999994,130.77899999999994,True,False
200.0,125.0,325.0,30.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,37.93837241379311,0.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,5.0,-5.778999999999968,390.0,71.33800000000002,94.99999999999994,105.77899999999994,True,False
200.0,125.0,325.0,30.0,LC4+,66.01276800000001,LC4+,53.502768,66.01276800000001,37.93837241379311,10.0,275.00000000000006,150.00000000000006,250.0,375.0,43.662000000000035,168.66200000000003,20.0,145.0,9.221000000000032,134.22100000000003,5.0,-5.778999999999968,400.0,81.33800000000002,104.99999999999994,115.77899999999994,True,False
