Do_mm,wall_mm,Di_mm,h_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_yield_limit,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_case,limit_tau_screen_MPa,MS_shear_limit,ultimate_shear_case,ultimate_tau_screen_MPa,MS_shear_ultimate,buckling_method,slenderness,Cc,Pcr_kN,MS_buckling,PASS
58.0,1.5,55.0,200.0,266.24997739173523,106316.94409723722,212633.88819447445,2.0953873220729564,LC4+,1257.8202961721047,0.2060546364346727,LC4+,1886.7304442581565,-0.01310756623099929,LC5,66.65735777279697,12.139440080208143,LC5,99.98603665919545,9.751763317665375,JOHNSON,20.017209687543033,51.647465077611216,373.5655017501765,8.953783686388928,False
58.0,1.75,54.5,200.0,309.2505268377456,122429.38435137436,244858.76870274873,2.4338016462130576,LC4+,1091.973587051075,0.38922774139320393,LC4+,1637.9603805766126,0.13677963281658778,LC5,57.38881088248425,14.261517792277157,LC5,86.08321632372638,11.488220667642306,JOHNSON,20.103532789715,51.647465077611216,433.59342943462485,10.55324885250799,True
58.0,2.0,54.00000000000001,200.0,351.8583772020565,138104.41305180715,276208.8261036143,2.769125428580185,LC4+,967.7608524346219,0.567536025231484,LC4+,1451.641278651933,0.2826860377855518,LC5,50.43938456468352,16.36421579921309,LC5,75.65907684702528,13.208819959628551,JOHNSON,20.190178605002753,51.647465077611216,492.98365916063426,12.13572233308378,True
58.0,2.25,53.50000000000001,200.0,394.0735284846694,153350.0191704796,306700.0383409592,3.1013586691743478,LC4+,871.305933728545,0.7410646952768494,LC4+,1306.9589005928178,0.4246813722722449,LC5,45.036062351725384,18.447534101016004,LC5,67.55409352758807,14.913561193624169,JOHNSON,20.277140261518735,51.647465077611216,551.7363575838474,13.701208568714291,True
58.0,2.5,53.00000000000001,200.0,435.8959806855834,168174.11804825673,336348.23609651346,3.4305013679955416,LC4+,794.2831332355821,0.9098982925904107,LC4+,1191.424699853373,0.5628348146795628,LC5,40.7150347477085,20.511472697685857,LC5,61.072552121562744,16.602444369629122,JOHNSON,20.364410562556024,51.647465077611216,609.851717508941,15.249712696747693,True
58.0,2.75,52.50000000000001,200.0,477.32573380479903,182584.5513949263,365169.1027898526,3.7565535250437683,LC4+,731.3942762155062,1.0741206888430916,LC4+,1097.0914143232594,0.6972149956606619,LC5,37.181150612880636,22.55603158922268,LC5,55.77172591932095,18.27546948764343,JOHNSON,20.451981978472396,51.647465077611216,667.3299588803628,16.78124057768086,True
58.0,3.0,52.00000000000001,200.0,518.3627878423156,196589.08728919824,393178.1745783965,4.079515140319024,LC4+,679.1072418663982,1.2338150832125003,LC4+,1018.6608627995972,0.8278899955797303,LC5,34.23764285602759,24.581210775626435,LC5,51.35646428404138,19.93263654766707,JOHNSON,20.53984663852387,51.647465077611216,724.1713297919275,18.29579882206042,True
58.0,3.25,51.50000000000001,200.0,559.0071427981336,210195.4201787045,420390.840357409,4.399386213821312,LC4+,634.9767107301948,1.3890639993008844,LC4+,952.4650660952923,0.9549273419900006,LC5,31.748288422870676,26.58701025689715,LC5,47.622432634306016,21.57394554970006,JOHNSON,20.627996322657093,51.647465077611216,780.3761075146888,19.793394817870738,True
58.0,3.5,51.00000000000001,200.0,599.2587986722529,223411.1708799993,446822.3417599986,4.71616674555063,LC4+,597.2560203096162,1.5399492820743617,LC4+,895.8840304644245,1.078394007129185,LC5,29.615785432474706,28.57343003303481,LC5,44.423678148712064,23.19939649374239,JOHNSON,20.716422453270347,51.647465077611216,835.9445995424029,21.274036758390697,True
58.0,3.75,50.5,200.0,639.1177554646733,236243.8865785591,472487.7731571182,5.029856735506979,LC4+,564.6642783971703,1.6865520948236452,LC4+,846.9964175957555,1.1983564054324884,LC5,27.768779459266607,30.54047010403942,LC5,41.6531691888999,24.80898937979407,JOHNSON,20.80511608695416,51.647465077611216,890.8771446538211,22.73773367049883,True
58.0,4.0,50.0,200.0,678.5840131753951,248701.04082878242,497402.08165756485,5.3404561836903595,LC4+,536.2408088666339,1.8289529161464597,LC4+,804.3612132999508,1.3148803910633737,LC5,26.153754959465513,32.48813046991098,LC5,39.23063243919826,26.402724207855083,JOHNSON,20.894067906222805,51.647465077611216,945.1741139909433,24.184495443403765,True
58.0,4.25,49.5,200.0,717.6575718044184,260790.03355398998,521580.06710797996,5.647965090100773,LC4+,511.25096950080564,1.9672315369518523,LC4+,766.8764542512084,1.4280312554622494,LC5,24.72978854717176,34.41641113064949,LC5,37.09468282075763,27.98060097792545,JOHNSON,20.983268211249026,51.647465077611216,998.8359121522757,25.614332857774464,True
58.0,4.5,49.0,200.0,756.3384313517425,272518.19104642485,545036.3820928497,5.952383454738214,LC4+,489.1233638410309,2.1014670574866208,LC4+,733.6850457615463,1.5378737249132444,LC5,23.465051178585878,36.32531208625495,LC5,35.197576767878815,29.542619690005147,JOHNSON,21.07270691161502,51.647465077611216,1051.862978300019,27.027257615241645,True
58.0,4.75,48.5,200.0,794.6265918173683,283892.765967252,567785.531934504,6.253711277602688,LC4+,469.4068808396377,2.231737884384036,LC4+,704.1103212594564,1.6444719581292357,LC5,22.334414909788183,38.21483333672737,LC5,33.50162236468227,31.088780344094204,JOHNSON,21.16237351809359,51.647465077611216,1104.25578728002,28.423282368239278,True
58.0,5.0,48.0,200.0,832.5220532012953,294920.9373465589,589841.8746931178,6.551948558694194,LC4+,451.7406225840293,2.3581217277350772,LC4+,677.6109338760439,1.7478895438552908,LC5,21.317777627337918,40.084974882066724,LC5,31.976666441006873,32.61908294019259,JOHNSON,21.2522571344742,51.647465077611216,1156.0148507531874,29.802420750151544,True
58.0,5.25,47.5,200.0,870.0248155035235,305609.8105833549,611219.6211667098,6.8470952980127295,LC4+,435.83242406838974,2.480695598182379,LC4+,653.7486361025847,1.8481894984907004,LC5,20.39886642742333,41.935736722273035,LC5,30.59829964113499,34.13352747830033,JOHNSON,21.34234644944948,51.647465077611216,1207.1407183369633,31.164687405727776,True
58.0,5.5,47.0,200.0,907.1348787240529,315966.4174455717,631932.8348911434,7.139151495558297,LC4+,421.4432311795872,2.599535804037079,LC4+,632.1648467693808,1.945434263729748,LC5,19.564367346301466,43.76711885734629,LC5,29.346551019452196,35.6321139584174,JOHNSON,21.43262972857884,51.647465077611216,1257.633978755322,32.510098021724545,True
58.0,5.75,46.5,200.0,943.8522428628836,325997.7160700632,651995.4321401264,7.428117151330894,LC4+,408.37555396250974,2.7147179484187873,LC4+,612.5633309437645,2.039685704221394,LC5,18.80328211772681,45.5791212872865,LC5,28.20492317659021,37.11484238054382,JOHNSON,21.52309480634643,51.647465077611216,1307.4952609956226,33.838669357730424,True
58.0,6.0,46.0,200.0,980.1769079200158,335710.59096260543,671421.1819252109,7.713992265330524,LC4+,396.46480654173234,2.8263169264188366,LC4+,594.6972098125987,2.131005105248021,LC5,18.10644574116842,47.371744012093664,LC5,27.15966861175263,38.581712744679585,JOHNSON,21.613729078331968,51.647465077611216,1356.7252354705222,35.15041927712556,True
58.0,6.25,45.5,200.0,1016.1088738954488,345111.8529978965,690223.705995793,7.996776837557182,LC4+,385.57272543587794,2.934406922287044,LC4+,578.359088153817,2.219453170423413,LC5,17.46615983379957,49.144987031767755,LC5,26.199239750699352,40.03272505082468,JOHNSON,21.70451949351359,51.647465077611216,1405.324615183013,36.445366778124516,True
58.0,6.5,45.00000000000001,200.0,1051.6481407891831,354208.23941955675,708416.4788391135,8.276470868010872,LC4+,375.5823066976201,3.039061406642169,LC4+,563.3734600464301,2.305090019410116,LC5,16.875910593710383,50.8988503463088,LC5,25.313865890565566,41.46787929897912,JOHNSON,21.795452546723126,51.647465077611216,1453.2941568925028,37.72353202484686,True
58.0,6.75,44.50000000000001,200.0,1086.794708601219,363006.41384012904,726012.8276802581,8.553074356691594,LC4+,366.3938681100019,3.140353133706247,LC4+,549.590802165003,2.3879751856563534,LC5,16.33014943810529,52.633333955716815,LC5,24.495224157157935,42.88717548914291,JOHNSON,21.88651427127487,51.647465077611216,1500.6346622797066,38.98493637835616,True
58.0,7.0,44.00000000000001,200.0,1121.548577331556,371512.966241078,743025.932482156,8.826587303599347,LC4+,357.92195517534884,3.2383541385629995,LC4+,536.8829327630233,2.4681676141526276,LC5,15.824120647743836,54.34843785999176,LC5,23.736180971615752,44.29061362131604,JOHNSON,21.977690231790245,51.647465077611216,1547.3469791079763,40.22960242760395,True
58.0,7.25,43.50000000000001,200.0,1155.9097469801943,379734.4129727905,759468.825945581,9.097009708734129,LC4+,350.0928872231311,3.333135734440508,LC4+,525.1393308346966,2.5457256592081854,LC5,15.35372467129485,56.04416205913367,LC5,23.030587006942277,45.67819369549852,JOHNSON,22.068965517241377,51.647465077611216,1593.4320023785294,41.45755402021128,True
58.0,7.5,43.0,200.0,1189.878217547134,387677.1967545757,775354.3935091514,9.364341572095945,LC4+,342.84279427619254,3.424768510018361,LC4+,514.2641914142888,2.620707082247501,LC5,14.915408768962505,57.72050655314253,LC5,22.373113153443757,47.049915711690346,JOHNSON,22.16032473423788,51.647465077611216,1638.8906754768861,42.66881629301589,True
58.0,7.75,42.5,200.0,1223.453989032375,395347.68667466484,790695.3733493297,9.62858289368479,LC4+,336.1160338595212,3.513322326759413,LC4+,504.1740507892818,2.6931690496269076,LC5,14.506078822004943,59.377471342018325,LC5,21.759118233007413,48.4057796698915,JOHNSON,22.25175200058192,51.647465077611216,1683.723991307656,43.863415702308984,True
58.0,8.0,42.0,200.0,1256.6370614359173,402752.1781902115,805504.356380423,9.889733673500668,LC4+,329.8639046397811,3.598866316266397,LC4+,494.79585695967154,2.7631681304715587,LC5,14.123027678111372,61.01505642576109,LC5,21.18454151716706,49.745785570102015,JOHNSON,22.343230939117827,51.647465077611216,1727.9329934146608,45.041380053681344,True
58.0,1.5,55.0,250.0,266.24997739173523,106316.94409723722,212633.88819447445,2.0953873220729564,LC4+,1371.5651004710296,0.1060357247928112,LC4+,2057.3476507065443,-0.09495121091443004,LC5,66.65735777279697,12.139440080208143,LC5,99.98603665919545,9.751763317665375,JOHNSON,25.02151210942879,51.647465077611216,356.50166265156577,8.499111714670017,False
58.0,1.75,54.5,250.0,309.2505268377456,122429.38435137436,244858.76870274873,2.4338016462130576,LC4+,1190.74889384583,0.27398816647266244,LC4+,1786.1233407687453,0.04248119796620409,LC5,57.38881088248425,14.261517792277157,LC5,86.08321632372638,11.488220667642306,JOHNSON,25.129415987143748,51.647465077611216,413.6023933093676,10.020580690364177,True
