record_type,effective_arm_mm,governing_limit_case,governing_ultimate_case,limit_force_kN,ultimate_force_kN,tube_OD_mm,tube_ID_mm,tube_wall_mm,free_length_mm,limit_axial_stress_MPa,ultimate_axial_stress_MPa,MS_limit_yield,MS_ultimate,buckling_method,slenderness,Pcr_kN,MS_buckling,pin_diameter_mm,bushing_width_mm,ultimate_pin_shear_MPa,ultimate_bearing_pressure_MPa,MS_ultimate_pin_shear,MS_ultimate_bearing,PASS
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,16.0,1.0,350.0,505.70558196368734,758.558372945531,1.9997691425698552,1.4546561825818811,EULER,58.13183589761799,31.976013803005088,-0.21071014228624296,,,,,,,False
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,15.5,1.25,350.0,410.60274117648635,615.9041117647296,2.6945686130915503,2.0231978719298906,EULER,58.93757351637602,38.31279182996821,-0.05429431578333643,,,,,,,False
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,15.0,1.5,350.0,347.353329025563,521.0299935383445,3.3673109575649365,2.5736906187589152,EULER,59.75054396868479,44.065119832837986,0.0876950572160351,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,14.5,1.75,350.0,302.3119083387318,453.4678625080977,4.017996175990015,3.106134423068955,EULER,60.56974848425534,49.27008966332555,0.2161735449418516,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,14.0,2.0,350.0,268.6560904182089,402.9841356273134,4.646624268366787,3.6205292848600115,EULER,61.39406135149205,53.963577046856464,0.33202669699360254,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,13.5,2.25,350.0,242.59597582737726,363.89396374106593,5.2531952346952515,4.116875204132085,EULER,62.22222222222223,58.18024158257066,0.4361100443402852,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,13.0,2.5,350.0,221.85793273245633,332.7868990986845,5.837709074975407,4.5951721808851715,EULER,63.05282887554629,61.953526743322406,0.5292490993204055,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,12.5,2.75,350.0,204.9954072937749,307.4931109406624,6.400165789207253,5.055420215119272,EULER,63.88433066347855,65.31565987568038,0.6122393556419781,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,12.0,3.0,350.0,191.0443309640596,286.56649644608945,6.9405653773907945,5.497619306834392,EULER,64.71502289294341,68.29765219992771,0.6858462883825283,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,11.5,3.25,350.0,179.3375727433154,269.0063591149731,7.458907839526029,5.9217694560305265,EULER,65.54304242983311,70.92929881006192,0.7508053539890895,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,11.0,3.5,350.0,169.39891415532378,254.09837123298567,7.955193175612953,6.327870662707677,EULER,66.36636483959681,73.2391786737948,0.8078219902782025,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,10.5,3.75,350.0,160.87943660131336,241.31915490197002,8.429421385651569,6.715922926865842,EULER,67.1828034032115,75.25465463255259,0.8575716164359173,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,10.0,4.0,350.0,153.51776595326217,230.2766489298933,8.881592469641879,7.085926248505022,EULER,67.99001036500849,77.001873401476,0.9006996330177952,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,9.5,4.25,350.0,147.114351116709,220.6715266750635,9.31170642758388,7.437880627625219,EULER,68.78548077698653,78.50576556941999,0.9378214219489032,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,9.0,4.5,350.0,141.51431923263675,212.27147884895513,9.719763259477574,7.771786064226431,EULER,69.56655929999346,79.79004559895407,0.9695223465238201,,,,,,,True
MEMBER,250.0,LC4+,LC4+,27.008255999999996,40.512384,18.0,8.5,4.75,350.0,136.5957480577189,204.89362208657835,10.105762965322958,8.087642558308657,EULER,70.33045030246596,80.87721182636191,0.9963577514066297,,,,,,,True
