span_mm,bearing_width_mm,journal_diameter_mm,limit_governing_case,limit_governing_side,limit_radial_reaction_kN,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_radial_reaction_kN,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_shear,root_lever_mm,PASS
120.0,20.0,22.0,LC5,LEFT,54.34171811626497,803.0961888873339,0.888939358685986,LC5,LEFT,81.51257717439744,1204.6442833310007,0.5456845026909718,LC5,185.25585721453962,1.2330491667587284,285.9091918780155,2.760026720965824,15.0,True
120.0,20.0,24.0,LC5,LEFT,54.34171811626497,620.2231672133469,1.4458938011230016,LC5,LEFT,81.51257717439744,930.33475082002,1.0014301286271285,LC5,169.817869113328,1.436053636464067,240.24314039749908,3.4747425439593282,15.0,True
120.0,20.0,26.0,LC5,LEFT,54.34171811626497,489.10798292229674,2.101564588940683,LC5,LEFT,81.51257717439744,733.6619743834449,1.5379535331169212,LC5,156.75495610461044,1.639058106169406,204.7042143031945,4.251607568952267,15.0,True
120.0,20.0,28.0,LC5,LEFT,54.34171811626497,392.6366049620656,2.863623464619567,LC5,LEFT,81.51257717439744,588.9549074430981,2.1615323626111342,LC5,145.5581735257097,1.842062575874745,176.50516437367276,5.090621795944643,15.0,True
120.0,20.0,30.0,LC5,LEFT,54.34171811626497,320.06502208934234,3.739661928995626,LC5,LEFT,81.51257717439744,480.09753313401336,2.878378603291522,LC5,135.85429529066238,2.045067045580084,153.7556098543994,5.991785224936451,15.0,True
120.0,20.0,32.0,LC5,LEFT,54.34171811626497,264.4150525115118,4.737192287621199,LC5,LEFT,81.51257717439744,396.62257876726767,3.6946394372888047,LC5,127.36340183499598,2.248071515285423,135.13676647359324,6.955097855927694,15.0,True
120.0,20.0,34.0,LC5,LEFT,54.34171811626497,221.01947091853748,5.863648680794871,LC5,LEFT,81.51257717439744,331.52920637780613,4.616398085537267,LC5,119.8714370211727,2.4510759849907617,119.70592462712756,7.980559688918376,15.0,True
120.0,20.0,36.0,LC5,LEFT,54.34171811626497,186.67580009574715,7.12638809755695,LC5,LEFT,81.51257717439744,280.0137001436206,5.649674637508699,LC5,113.21191274221866,2.6540804546961008,106.77472906555516,9.068170723908487,15.0,True
120.0,20.0,38.0,LC5,LEFT,54.34171811626497,159.13659012888462,8.532691373940981,LC5,LEFT,81.51257717439744,238.70488519332682,6.800426868063334,LC5,107.25339101894399,2.85708492440144,95.83105877351765,10.217930960898038,15.0,True
120.0,20.0,40.0,LC5,LEFT,54.34171811626497,136.7928096537052,10.089764175765726,LC5,LEFT,81.51257717439744,205.18921448055778,8.074551041650532,LC5,101.8907214679968,3.060089394106778,86.48753054309967,11.429840399887023,15.0,True
120.0,25.0,22.0,LC5,LEFT,54.34171811626497,933.0549124682502,0.6258421446890139,LC5,LEFT,81.51257717439744,1399.582368702375,0.3303968681217069,LC5,148.2046857716317,1.7913114584484102,285.9091918780155,2.760026720965824,17.5,True
120.0,25.0,24.0,LC5,LEFT,54.34171811626497,720.3244757123051,1.1059953550792354,LC5,LEFT,81.51257717439744,1080.4867135684574,0.7232974516183419,LC5,135.85429529066238,2.045067045580084,240.24314039749908,3.4747425439593282,17.5,True
120.0,25.0,26.0,LC5,LEFT,54.34171811626497,567.8403730389102,1.6715254357161573,LC5,LEFT,81.51257717439744,851.760559558365,1.1860603653278345,LC5,125.40396488368836,2.2988226327117576,204.7042143031945,4.251607568952267,17.5,True
120.0,25.0,28.0,LC5,LEFT,54.34171811626497,455.6741636669488,2.329133229306307,LC5,LEFT,81.51257717439744,683.511245500423,1.7241687861869242,LC5,116.44653882056777,2.552578219843431,176.50516437367276,5.090621795944643,17.5,True
120.0,25.0,30.0,LC5,LEFT,54.34171811626497,371.31689204080897,3.0854591657879027,LC5,LEFT,81.51257717439744,556.9753380612133,2.3430564564698204,LC5,108.68343623252991,2.806333806975105,153.7556098543994,5.991785224936451,17.5,True
120.0,25.0,32.0,LC5,LEFT,54.34171811626497,306.6452920345098,3.947083941628809,LC5,LEFT,81.51257717439744,459.9679380517645,3.048108239645285,LC5,101.8907214679968,3.060089394106778,135.13676647359324,6.955097855927694,17.5,True
120.0,25.0,34.0,LC5,LEFT,54.34171811626497,256.22709580886914,4.920529189979173,LC5,LEFT,81.51257717439744,384.3406437133036,3.8446606687502625,LC5,95.89714961693815,3.3138449812384527,119.70592462712756,7.980559688918376,17.5,True
120.0,25.0,36.0,LC5,LEFT,54.34171811626497,216.3354470584014,6.012258141822104,LC5,LEFT,81.51257717439744,324.503170587602,4.73800248739739,LC5,90.56953019377492,3.5676005683701257,106.77472906555516,9.068170723908487,17.5,True
120.0,25.0,38.0,LC5,LEFT,54.34171811626497,184.35528980612617,7.228676278263157,LC5,LEFT,81.51257717439744,276.53293470918913,5.733375183531534,LC5,85.80271281515519,3.8213561555017996,95.83105877351765,10.217930960898038,17.5,True
120.0,25.0,40.0,LC5,LEFT,54.34171811626497,158.4146922894802,8.576131974096818,LC5,LEFT,81.51257717439744,237.6220384342202,6.835973516048465,LC5,81.51257717439744,4.075111742633473,86.48753054309967,11.429840399887023,17.5,True
120.0,30.0,22.0,LC5,LEFT,54.34171811626497,1063.0136360491665,0.4270748262817541,LC5,LEFT,81.51257717439744,1594.5204540737493,0.16774920964035456,LC5,123.50390480969308,2.3495737501380924,285.9091918780155,2.760026720965824,20.0,True
120.0,30.0,24.0,LC5,LEFT,54.34171811626497,820.4257842112629,0.8490398878167955,LC5,LEFT,81.51257717439744,1230.6386763168941,0.5130354959854422,LC5,113.21191274221866,2.6540804546961008,240.24314039749908,3.4747425439593282,20.0,True
120.0,30.0,26.0,LC5,LEFT,54.34171811626497,646.5727631555234,1.3462169866179599,LC5,LEFT,81.51257717439744,969.859144733285,0.9198664157691241,LC5,104.5033040697403,2.958587159254109,204.7042143031945,4.251607568952267,20.0,True
120.0,30.0,28.0,LC5,LEFT,54.34171811626497,518.7117223718319,1.9245531469068244,LC5,LEFT,81.51257717439744,778.0675835577478,1.3931083100595507,LC5,97.03878235047313,3.2630938638121174,176.50516437367276,5.090621795944643,20.0,True
120.0,30.0,30.0,LC5,LEFT,54.34171811626497,422.5687619922754,2.5899482792997626,LC5,LEFT,81.51257717439744,633.8531429884129,1.9375889677240874,LC5,90.56953019377492,3.5676005683701257,153.7556098543994,5.991785224936451,20.0,True
120.0,30.0,32.0,LC5,LEFT,54.34171811626497,348.8755315575076,3.348255646440892,LC5,LEFT,81.51257717439744,523.3132973362614,2.5580980064482275,LC5,84.908934556664,3.872107272928134,135.13676647359324,6.955097855927694,20.0,True
120.0,30.0,34.0,LC5,LEFT,54.34171811626497,291.4347206992008,4.205282323123554,LC5,LEFT,81.51257717439744,437.15208104880105,3.259387249244588,LC5,79.91429134744847,4.176613977486142,119.70592462712756,7.980559688918376,20.0,True
