check,case,load_level,Kt_to_allowable,Kt_screen,Kt_capacity_ratio_vs_screen,allowable_MPa,sigma_axial_nominal_MPa,sigma_bending_nominal_MPa,tau_torsion_nominal_MPa
AXLE_KNUCKLE_FACE,LC0,limit,24.54784975443465,1.5,16.3652331696231,1517.0,0.0,61.79767332680324,0.0
KNUCKLE_BIG_END,LC0,limit,72.13636403985116,1.5,48.09090935990077,1517.0,2.433117008891614,20.99588609919954,0.0
PISTON_SMALL_END,LC0,limit,14.441450033775405,1.5,9.62763335585027,1517.0,10.982819831802425,104.28434656117989,0.0
AXLE_KNUCKLE_FACE,LC0,ultimate,20.08705613832447,1.5,13.39137075888298,1862.0,0.0,92.69650999020486,0.0
KNUCKLE_BIG_END,LC0,ultimate,59.0068078323055,1.5,39.337871888203665,1862.0,3.6496755133374204,31.49382914879931,0.0
PISTON_SMALL_END,LC0,ultimate,11.798036369530575,1.5,7.86535757968705,1862.0,16.47422974770364,156.42651984176982,0.0
AXLE_KNUCKLE_FACE,LC1,limit,7.312125458767769,1.5,4.874750305845179,1517.0,0.0,207.46361759712516,0.0
KNUCKLE_BIG_END,LC1,limit,21.406061229955654,1.5,14.270707486637102,1517.0,8.168321386993275,70.48618904731276,0.0
PISTON_SMALL_END,LC1,limit,4.22776317953985,1.5,2.8185087863599,1517.0,36.870895149622434,350.0974491696754,0.0
AXLE_KNUCKLE_FACE,LC1,ultimate,5.983378424181756,1.5,3.988918949454504,1862.0,0.0,311.1954263956878,0.0
KNUCKLE_BIG_END,LC1,ultimate,17.495129593665467,1.5,11.663419729110311,1862.0,12.252482080489912,105.72928357096912,0.0
PISTON_SMALL_END,LC1,ultimate,3.4403633646584106,1.5,2.2935755764389403,1862.0,55.30634272443365,525.1461737545129,0.0
AXLE_KNUCKLE_FACE,LC2A,limit,7.093803673945296,1.5,4.7292024492968645,1517.0,0.0,213.84860220642443,0.0
KNUCKLE_BIG_END,LC2A,limit,19.3088863725399,1.5,12.8725909150266,1517.0,8.168321386993275,76.64543135863948,8.810773630914095
PISTON_SMALL_END,LC2A,limit,3.758268534671294,1.5,2.5055123564475292,1517.0,36.870895149622434,386.6519344678254,43.76218114620942
AXLE_KNUCKLE_FACE,LC2A,ultimate,5.804729703751325,1.5,3.869819802500883,1862.0,0.0,320.7729033096368,0.0
KNUCKLE_BIG_END,LC2A,ultimate,15.781476204131286,1.5,10.520984136087524,1862.0,12.252482080489912,114.9681470379592,13.21616044637114
PISTON_SMALL_END,LC2A,ultimate,3.0586181128215792,1.5,2.039078741881053,1862.0,55.30634272443365,579.977901701738,65.64327171931411
AXLE_KNUCKLE_FACE,LC2B,limit,7.093803673945296,1.5,4.7292024492968645,1517.0,0.0,213.84860220642443,0.0
KNUCKLE_BIG_END,LC2B,limit,19.3088863725399,1.5,12.8725909150266,1517.0,8.168321386993275,76.64543135863948,8.810773630914095
PISTON_SMALL_END,LC2B,limit,3.758268534671294,1.5,2.5055123564475292,1517.0,36.870895149622434,386.6519344678254,43.76218114620942
AXLE_KNUCKLE_FACE,LC2B,ultimate,5.804729703751325,1.5,3.869819802500883,1862.0,0.0,320.7729033096368,0.0
KNUCKLE_BIG_END,LC2B,ultimate,15.781476204131286,1.5,10.520984136087524,1862.0,12.252482080489912,114.9681470379592,13.21616044637114
PISTON_SMALL_END,LC2B,ultimate,3.0586181128215792,1.5,2.039078741881053,1862.0,55.30634272443365,579.977901701738,65.64327171931411
AXLE_KNUCKLE_FACE,LC3,limit,7.312125458767769,1.5,4.874750305845179,1517.0,0.0,207.46361759712516,0.0
KNUCKLE_BIG_END,LC3,limit,21.406061229955654,1.5,14.270707486637102,1517.0,8.168321386993275,70.48618904731276,0.0
PISTON_SMALL_END,LC3,limit,4.22776317953985,1.5,2.8185087863599,1517.0,36.870895149622434,350.0974491696754,0.0
AXLE_KNUCKLE_FACE,LC3,ultimate,5.983378424181756,1.5,3.988918949454504,1862.0,0.0,311.1954263956878,0.0
KNUCKLE_BIG_END,LC3,ultimate,17.495129593665467,1.5,11.663419729110311,1862.0,12.252482080489912,105.72928357096912,0.0
PISTON_SMALL_END,LC3,ultimate,3.4403633646584106,1.5,2.2935755764389403,1862.0,55.30634272443365,525.1461737545129,0.0
AXLE_KNUCKLE_FACE,LC4+,limit,6.203873880967534,1.5,4.135915920645023,1517.0,7.900906103490517,243.25109163262934,0.0
KNUCKLE_BIG_END,LC4+,limit,21.199685903137784,1.5,14.13312393542519,1517.0,3.6212891482336858,71.38684590736176,0.0
PISTON_SMALL_END,LC4+,limit,4.01222072142988,1.5,2.674813814286587,1517.0,16.346096849665944,374.0207748629365,0.0
AXLE_KNUCKLE_FACE,LC4+,ultimate,5.070614149977332,1.5,3.380409433318221,1862.0,11.851359155235775,364.87663744894405,0.0
KNUCKLE_BIG_END,LC4+,ultimate,17.338096794348786,1.5,11.558731196232523,1862.0,5.4319337223505295,107.08026886104264,0.0
PISTON_SMALL_END,LC4+,ultimate,3.275185013272527,1.5,2.183456675515018,1862.0,24.51914527449892,561.0311622944048,0.0
AXLE_KNUCKLE_FACE,LC4-,limit,25.448543879070915,1.5,16.96569591938061,1517.0,7.900906103490517,59.30001736317829,0.0
KNUCKLE_BIG_END,LC4-,limit,170.25122203268816,1.5,113.50081468845877,1517.0,3.6212891482336858,8.889091618744438,0.0
PISTON_SMALL_END,LC4-,limit,23.594802591161056,1.5,15.72986839410737,1517.0,16.346096849665944,63.60103659915765,0.0
AXLE_KNUCKLE_FACE,LC4-,ultimate,20.799866207049877,1.5,13.866577471366584,1862.0,11.851359155235775,88.95002604476743,0.0
KNUCKLE_BIG_END,LC4-,ultimate,139.23942932201703,1.5,92.82628621467802,1862.0,5.4319337223505295,13.333637428116651,0.0
PISTON_SMALL_END,LC4-,ultimate,19.260491683556804,1.5,12.84032778903787,1862.0,24.51914527449892,95.40155489873645,0.0
AXLE_KNUCKLE_FACE,LC5,limit,8.31261057101571,1.5,5.54174038067714,1517.0,0.0,117.78615821565319,80.47859499288481
KNUCKLE_BIG_END,LC5,limit,26.47354427869825,1.5,17.649029519132167,1517.0,3.6212891482336858,52.918455981248776,12.499550857723463
PISTON_SMALL_END,LC5,limit,5.009775484285413,1.5,3.339850322856942,1517.0,16.346096849665944,279.8085708065413,62.08394765275577
AXLE_KNUCKLE_FACE,LC5,ultimate,6.8020570789853885,1.5,4.534704719323592,1862.0,0.0,176.67923732347978,120.71789248932723
KNUCKLE_BIG_END,LC5,ultimate,21.6521600387893,1.5,14.434773359192867,1862.0,5.4319337223505295,79.37768397187315,18.749326286585195
PISTON_SMALL_END,LC5,ultimate,4.090142644863992,1.5,2.7267617632426613,1862.0,24.51914527449892,419.712856209812,93.12592147913364
