check,case,load_level,station_m,lever_y_m,Kt,N_kN,Mb_kNm,T_struct_kNm,T_geom_kNm,sigma_axial_MPa,sigma_bending_MPa,tau_torsion_MPa,vm_MPa,vm_geom_torsion_sens_MPa,allowable_MPa,MS,status,delta_x_mm,delta_z_mm,delta_resultant_mm
AXLE_A_BASELINE_REGRESSION,LC0,limit,0.0,0.12,1.0,0.0,0.894331914893617,0.0,-0.0,0.0,92.69650999020487,0.0,92.69650999020487,92.69650999020487,1517.0,15.365233169623103,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC0,limit,0.0,0.07999999999999999,1.5,0.0,0.5962212765957446,0.0,-0.0,0.0,92.69650999020486,0.0,92.69650999020486,92.69650999020486,1517.0,15.365233169623103,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC0,limit,0.03,,1.5,7.452765957446808,0.894331914893617,-0.0,,2.433117008891614,31.49382914879931,0.0,33.92694615769093,,1517.0,43.71372085624954,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC0,limit,0.05,,1.5,7.452765957446808,0.894331914893617,-0.0,,10.982819831802425,156.42651984176982,0.0,167.40933967357225,,1517.0,8.061621071787062,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC0,limit,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.0,0.025723909547417274,0.025723909547417274
AXLE_A_BASELINE_REGRESSION,LC0,ultimate,0.0,0.12,1.0,0.0,1.3414978723404254,0.0,-0.0,0.0,139.0447649853073,0.0,139.0447649853073,139.0447649853073,1862.0,12.391370758882978,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC0,ultimate,0.0,0.07999999999999999,1.5,0.0,0.8943319148936169,0.0,-0.0,0.0,139.04476498530727,0.0,139.04476498530727,139.04476498530727,1862.0,12.391370758882982,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC0,ultimate,0.03,,1.5,11.179148936170211,1.3414978723404254,-0.0,,3.6496755133374204,47.240743723198975,0.0,50.89041923653639,,1862.0,35.58841935149929,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC0,ultimate,0.05,,1.5,11.179148936170211,1.3414978723404254,-0.0,,16.47422974770364,234.6397797626547,0.0,251.11400951035836,,1862.0,6.41495866212591,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC0,ultimate,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.0,0.038585864321125915,0.038585864321125915
