parameter,value,units,classification
architecture,moving metering pin on inner piston; fixed orifice/support plane in outer barrel; upper nitrogen/oil chamber above orifice plane,-,PHASE2E2_WORKING_NOT_LOCKED
orifice_plane_clearance_at_full_stroke,15.0,mm,WORKING_SELECTION_NOT_LOCKED
orifice_plane_above_U,179.99999999999994,mm,DERIVED_FROM_WORKING_SELECTION
initial_upper_oil_head,25.0,mm,WORKING_SELECTION_NOT_LOCKED
fixed_orifice_bore,14.0,mm,WORKING_SELECTION_NOT_LOCKED
phase1_metering_design_stroke,205.0,mm compression,SOURCE_PHASE1_PY
phase1_equivalent_orifice_start,10.301,mm,SOURCE_PHASE1_PY
phase1_equivalent_orifice_end,9.742,mm,SOURCE_PHASE1_PY
pin_diameter_at_zero_compression,9.481002004007804,mm,DERIVED_FROM_PHASE1_EQUIVALENT_AREA
pin_diameter_at_metering_design_stroke,10.054523161244395,mm,DERIVED_FROM_PHASE1_EQUIVALENT_AREA
pin_diameter_at_full_physical_stroke,10.054523161244395,mm,DERIVED_FROM_CLAMPED_PHASE1_SCHEDULE
pin_diameter_change_over_metering_stroke,0.5735211572365913,mm,DERIVED_FROM_PHASE1_EQUIVALENT_AREA
pin_tip_projection_at_full_extension,15.0,mm,WORKING_SELECTION_NOT_LOCKED
minimum_metering_pin_length,260.0,mm,DERIVED_FROM_WORKING_SELECTION
approx_pin_length_to_mean_diameter,26.569222826196224,-,REPORT_ONLY
pressure_closure_inner_face_above_U,502.08688765136714,mm,WORKING_SELECTION_NOT_LOCKED
max_pin_hardware_displacement_volume,30.99800974859717,cm^3,CONSERVATIVE_PACKAGING_RESERVE
piston_internal_reservoir_capacity,824.6680715673208,cm^3,SOURCE_PHASE2E2_V03
