station_label,extra_above_E2_boundary_mm,station_above_U_mm,station_above_A_static_mm,level,case,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,resultant_moment_kNm,transport_residual_Mx_kNm,transport_residual_My_kNm,transport_residual_Mz_kNm
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC1,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC2A,-6.255,0.0,25.02,3.0023999999999997,7.185621131069623,0.7505999999999999,7.823743168028606,0.0,8.881784197001252e-16,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC2B,6.255,0.0,25.02,3.0023999999999997,-7.185621131069623,-0.7505999999999999,7.823743168028606,0.0,-8.881784197001252e-16,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC3,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC4+,0.0,8.34,11.0922,10.911892174759497,-0.0,-0.0,10.911892174759497,1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC4-,0.0,-8.34,11.0922,-8.249764174759498,-0.0,-0.0,8.249764174759498,-1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,limit,LC5,-8.87376,0.0,11.0922,1.331064,10.194001177944106,1.0648512,10.335535760963882,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC1,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC2A,-9.3825,0.0,37.53,4.5036,10.778431696604434,1.1259,11.735614752042908,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC2B,9.3825,0.0,37.53,4.5036,-10.778431696604434,-1.1259,11.735614752042908,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC3,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC4+,0.0,12.51,16.638300000000005,16.367838262139248,-0.0,-0.0,16.367838262139248,3.552713678800501e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC4-,0.0,-12.51,16.638300000000005,-12.374646262139246,-0.0,-0.0,12.374646262139246,-1.7763568394002505e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,973.780356685791,ultimate,LC5,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.291001766916157,1.5972768,15.503303641445822,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC1,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC2A,-6.255,0.0,25.02,3.0023999999999997,7.341996131069623,0.7505999999999999,7.967603987940246,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC2B,6.255,0.0,25.02,3.0023999999999997,-7.341996131069623,-0.7505999999999999,7.967603987940246,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC3,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC4+,0.0,8.34,11.0922,11.120392174759496,-0.0,-0.0,11.120392174759496,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC4-,0.0,-8.34,11.0922,-8.458264174759497,-0.0,-0.0,8.458264174759497,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,limit,LC5,-8.87376,0.0,11.0922,1.331064,10.415845177944105,1.0648512,10.554405251890744,0.0,-1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC1,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC2A,-9.3825,0.0,37.53,4.5036,11.012994196604433,1.1259,11.951405981910368,0.0,-1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC2B,9.3825,0.0,37.53,4.5036,-11.012994196604433,-1.1259,11.951405981910368,0.0,1.7763568394002505e-15,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC3,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC4+,0.0,12.51,16.638300000000005,16.680588262139246,-0.0,-0.0,16.680588262139246,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC4-,0.0,-12.51,16.638300000000005,-12.687396262139245,-0.0,-0.0,12.687396262139245,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,998.780356685791,ultimate,LC5,-13.31064,0.0,16.638300000000005,1.9965960000000005,15.623767766916156,1.5972768,15.831607877836115,0.0,0.0,0.0
