evidence_id,evidence_type,quantity,value,units,meaning,engineering_use
E2-BOUNDARY-001,E2_PRESSURE_BOUNDARY,Pressure closure inner face,492.780356685791,mm above U,Continuity-derived inner face of the preliminary upper pressure closure.,"Packaging boundary only. This does NOT by itself define trunnion loads, pin diameter, lug spacing, or airframe reaction distribution."
E2-BOUNDARY-002,E2_PRESSURE_BOUNDARY,Preliminary pressure closure thickness,6.0,mm,Global plate screen only; not detailed head geometry.,"Packaging boundary only. This does NOT by itself define trunnion loads, pin diameter, lug spacing, or airframe reaction distribution."
E2-BOUNDARY-003,E2_PRESSURE_BOUNDARY,Preliminary E3 solid-head interface,498.780356685791,mm above U,Minimum preliminary solid-head boundary outside the live pressure cavity.,"Packaging boundary only. This does NOT by itself define trunnion loads, pin diameter, lug spacing, or airframe reaction distribution."
CSV::phase2_bushing_load_transfer.csv,GUIDE_REACTION_SOURCE,table_schema,hL_mm | spacing_mm | hU_mm | bushing_length_mm | limit_lower_case | limit_lower_R_kN | limit_lower_p_MPa | limit_upper_case | limit_upper_R_kN | limit_upper_p_MPa | ultimate_lower_case | ultimate_lower_R_kN | ultimate_lower_p_MPa | ultimate_upper_case | ultimate_upper_R_kN | ultimate_upper_p_MPa | max_ultimate_reaction_kN | max_ultimate_pressure_MPa,,Internal piston/barrel guide reaction data.,Guide reactions are INTERNAL to the strut assembly unless a source explicitly identifies a guide station as an external airframe attachment.
CSV::phase2_bushing_load_transfer.csv::row0,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=75.0 ; hU_mm=275.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=67.78752 ; limit_lower_p_MPa=58.43751724137931 ; limit_upper_case=LC4+ ; limit_upper_R_kN=59.44752 ; limit_upper_p_MPa=51.24786206896552 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=101.68128000000002 ; ultimate_lower_p_MPa=87.65627586206898 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=89.17128000000001 ; ultimate_upper_p_MPa=76.87179310344828 ; max_ultimate_reaction_kN=101.68128000000002 ; max_ultimate_pressure_MPa=87.65627586206898,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row1,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=75.0 ; hU_mm=275.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=67.78752 ; limit_lower_p_MPa=38.95834482758621 ; limit_upper_case=LC4+ ; limit_upper_R_kN=59.44752 ; limit_upper_p_MPa=34.165241379310345 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=101.68128000000002 ; ultimate_lower_p_MPa=58.43751724137932 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=89.17128000000001 ; ultimate_upper_p_MPa=51.24786206896552 ; max_ultimate_reaction_kN=101.68128000000002 ; max_ultimate_pressure_MPa=58.43751724137932,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row2,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=75.0 ; hU_mm=275.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=67.78752 ; limit_lower_p_MPa=29.218758620689652 ; limit_upper_case=LC4+ ; limit_upper_R_kN=59.44752 ; limit_upper_p_MPa=25.62393103448276 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=101.68128000000002 ; ultimate_lower_p_MPa=43.82813793103449 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=89.17128000000001 ; ultimate_upper_p_MPa=38.43589655172414 ; max_ultimate_reaction_kN=101.68128000000002 ; max_ultimate_pressure_MPa=43.82813793103449,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row3,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=100.0 ; hU_mm=300.00000000000006 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=52.92564 ; limit_lower_p_MPa=45.625551724137935 ; limit_upper_case=LC4+ ; limit_upper_R_kN=44.58564 ; limit_upper_p_MPa=38.43589655172413 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=79.38846000000001 ; ultimate_lower_p_MPa=68.4383275862069 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=66.87846 ; ultimate_upper_p_MPa=57.65384482758621 ; max_ultimate_reaction_kN=79.38846000000001 ; max_ultimate_pressure_MPa=68.4383275862069,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row4,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=100.0 ; hU_mm=300.00000000000006 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=52.92564 ; limit_lower_p_MPa=30.41703448275862 ; limit_upper_case=LC4+ ; limit_upper_R_kN=44.58564 ; limit_upper_p_MPa=25.62393103448276 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=79.38846000000001 ; ultimate_lower_p_MPa=45.625551724137935 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=66.87846 ; ultimate_upper_p_MPa=38.43589655172414 ; max_ultimate_reaction_kN=79.38846000000001 ; max_ultimate_pressure_MPa=45.625551724137935,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row5,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=100.0 ; hU_mm=300.00000000000006 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=52.92564 ; limit_lower_p_MPa=22.812775862068968 ; limit_upper_case=LC4+ ; limit_upper_R_kN=44.58564 ; limit_upper_p_MPa=19.217948275862067 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=79.38846000000001 ; ultimate_lower_p_MPa=34.21916379310345 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=66.87846 ; ultimate_upper_p_MPa=28.826922413793103 ; max_ultimate_reaction_kN=79.38846000000001 ; max_ultimate_pressure_MPa=34.21916379310345,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row6,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=125.0 ; hU_mm=325.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=44.008512 ; limit_lower_p_MPa=37.938372413793104 ; limit_upper_case=LC4+ ; limit_upper_R_kN=35.668512 ; limit_upper_p_MPa=30.748717241379317 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=66.01276800000001 ; ultimate_lower_p_MPa=56.90755862068967 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=53.502768 ; ultimate_upper_p_MPa=46.123075862068966 ; max_ultimate_reaction_kN=66.01276800000001 ; max_ultimate_pressure_MPa=56.90755862068967,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row7,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=125.0 ; hU_mm=325.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=44.008512 ; limit_lower_p_MPa=25.292248275862065 ; limit_upper_case=LC4+ ; limit_upper_R_kN=35.668512 ; limit_upper_p_MPa=20.499144827586207 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=66.01276800000001 ; ultimate_lower_p_MPa=37.93837241379311 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=53.502768 ; ultimate_upper_p_MPa=30.748717241379317 ; max_ultimate_reaction_kN=66.01276800000001 ; max_ultimate_pressure_MPa=37.93837241379311,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row8,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=125.0 ; hU_mm=325.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=44.008512 ; limit_lower_p_MPa=18.969186206896552 ; limit_upper_case=LC4+ ; limit_upper_R_kN=35.668512 ; limit_upper_p_MPa=15.374358620689655 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=66.01276800000001 ; ultimate_lower_p_MPa=28.453779310344835 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=53.502768 ; ultimate_upper_p_MPa=23.061537931034483 ; max_ultimate_reaction_kN=66.01276800000001 ; max_ultimate_pressure_MPa=28.453779310344835,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row9,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=150.0 ; hU_mm=350.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=38.06376 ; limit_lower_p_MPa=32.81358620689655 ; limit_upper_case=LC4+ ; limit_upper_R_kN=29.72376 ; limit_upper_p_MPa=25.62393103448276 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=57.09564 ; ultimate_lower_p_MPa=49.22037931034483 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=44.585640000000005 ; ultimate_upper_p_MPa=38.43589655172414 ; max_ultimate_reaction_kN=57.09564 ; max_ultimate_pressure_MPa=49.22037931034483,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
