span_mm,head_od_mm,bearing_width_mm,shaft_diameter_mm,lower_ligament_mm,Kt_bending,z_trunnion_above_U_mm,head_to_bearing_edge_clearance_mm,actual_root_lever_mm,packaging_pass,strength_pass,PASS,limit_governing_case,limit_governing_side,limit_Rgov_kN,limit_root_moment_kNm,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_Rgov_kN,ultimate_root_moment_kNm,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_transverse_shear
150.0,106.0,25.0,34.0,20.0,1.0,535.780357,9.5,22.0,True,True,True,LC5,LEFT,76.02712803184674,1.6725968167006284,443.23930460552987,2.422530412437331,LC5,LEFT,114.04069204777014,2.5088952250509426,664.858956908295,1.8005939916318652,134.16552005620017,2.0833928108109507,167.47533889756141,5.419011947118003
150.0,106.0,25.0,34.0,20.0,1.5,535.780357,9.5,22.0,True,True,True,LC5,LEFT,76.02712803184674,1.6725968167006284,659.9720961200211,1.298582029328891,LC5,LEFT,114.04069204777014,2.5088952250509426,989.9581441800317,0.8808876021139946,134.16552005620017,2.0833928108109507,167.47533889756141,5.419011947118003
150.0,106.0,25.0,34.0,20.0,2.0,535.780357,9.5,22.0,True,True,True,LC5,LEFT,76.02712803184674,1.6725968167006284,876.7048876345121,0.730342811357086,LC5,LEFT,114.04069204777014,2.5088952250509426,1315.0573314517685,0.4159078509105223,134.16552005620017,2.0833928108109507,167.47533889756141,5.419011947118003
150.0,106.0,25.0,34.0,20.0,2.5,535.780357,9.5,22.0,True,True,True,LC5,LEFT,76.02712803184674,1.6725968167006284,1093.437679149003,0.38736759207040095,LC5,LEFT,114.04069204777014,2.5088952250509426,1640.1565187235053,0.13525750667329617,134.16552005620017,2.0833928108109507,167.47533889756141,5.419011947118003
150.0,106.0,25.0,34.0,20.0,3.0,535.780357,9.5,22.0,True,False,False,LC5,LEFT,76.02712803184674,1.6725968167006284,1310.1704706634944,0.15786459393468344,LC5,LEFT,114.04069204777014,2.5088952250509426,1965.255705995242,-0.05254059595412863,134.16552005620017,2.0833928108109507,167.47533889756141,5.419011947118003
150.0,106.0,25.0,36.0,20.0,1.0,536.780357,9.5,22.0,True,True,True,LC5,LEFT,76.0860281717769,1.6738926197790915,374.16138147878615,3.054400253720491,LC5,LEFT,114.12904225766535,2.5108389296686378,561.2420722181794,2.317641517217118,126.8100469529615,2.262241517452091,149.49959856503088,6.190830019275651
150.0,106.0,25.0,36.0,20.0,1.5,536.780357,9.5,22.0,True,True,True,LC5,LEFT,76.0860281717769,1.6738926197790915,556.8831130582683,1.724090503784538,LC5,LEFT,114.12904225766535,2.5108389296686378,835.3246695874027,1.2290733983945543,126.8100469529615,2.262241517452091,149.49959856503088,6.190830019275651
150.0,106.0,25.0,36.0,20.0,2.0,536.780357,9.5,22.0,True,True,True,LC5,LEFT,76.0860281717769,1.6738926197790915,739.6048446377505,1.0510952720205724,LC5,LEFT,114.12904225766535,2.5108389296686378,1109.407266956626,0.6783737185244143,126.8100469529615,2.262241517452091,149.49959856503088,6.190830019275651
150.0,106.0,25.0,36.0,20.0,2.5,536.780357,9.5,22.0,True,True,True,LC5,LEFT,76.0860281717769,1.6738926197790915,922.3265762172326,0.6447536470451936,LC5,LEFT,114.12904225766535,2.5108389296686378,1383.4898643258493,0.34587180434987896,126.8100469529615,2.262241517452091,149.49959856503088,6.190830019275651
150.0,106.0,25.0,36.0,20.0,3.0,536.780357,9.5,22.0,True,True,True,LC5,LEFT,76.0860281717769,1.6738926197790915,1105.0483077967149,0.37279066380785575,LC5,LEFT,114.12904225766535,2.5108389296686378,1657.5724616950727,0.12332947308733333,126.8100469529615,2.262241517452091,149.49959856503088,6.190830019275651
150.0,106.0,25.0,38.0,20.0,1.0,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,318.7904448546159,3.758611885910905,LC5,LEFT,114.21739306818768,2.5127826475001287,478.1856672819239,2.893885006181544,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,38.0,20.0,1.5,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,474.273471249206,2.1985765427788295,LC5,LEFT,114.21739306818768,2.5127826475001287,711.410206873809,1.6173366392679327,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,38.0,20.0,2.0,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,629.756497643796,1.4088675633769294,LC5,LEFT,114.21739306818768,2.5127826475001287,944.6347464656942,0.9711322359955359,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,38.0,20.0,2.5,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,785.2395240383861,0.9318946048439636,LC5,LEFT,114.21739306818768,2.5127826475001287,1177.8592860575795,0.5808339943834142,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,38.0,20.0,3.0,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,940.7225504329763,0.612590236411136,LC5,LEFT,114.21739306818768,2.5127826475001287,1411.0838256494646,0.3195530741364687,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,40.0,20.0,1.0,538.780357,9.5,22.0,True,True,True,LC5,LEFT,76.20382965196293,1.6764842523431847,273.88226961519393,4.538876255594761,LC5,LEFT,114.3057444779444,2.5147263785147764,410.82340442279076,3.5323610581926816,114.3057444779444,2.6191094497426737,121.28216171642647,7.863844328110137
150.0,106.0,25.0,40.0,20.0,1.5,538.780357,9.5,22.0,True,True,True,LC5,LEFT,76.20382965196293,1.6764842523431847,407.2926475032631,2.7245946110231376,LC5,LEFT,114.3057444779444,2.5147263785147764,610.9389712548943,2.047767596451367,114.3057444779444,2.6191094497426737,121.28216171642647,7.863844328110137
