parameter,value,units,classification
head_OD,106.0,mm,SOURCE_B10
cross_shaft_diameter,38.0,mm,SOURCE_B10
bearing_center_span,150.0,mm,SOURCE_B10
bearing_width,25.0,mm,SOURCE_B10
half_head_lug_thickness,53.0,mm,B11_IDEALIZATION
lower_edge_ligament,20.0,mm,SOURCE_B10_WORKING
upper_edge_ligament,20.0,mm,SOURCE_B10_WORKING
side_ligament,34.0,mm,DERIVED_B11
vertical_head_height,78.0,mm,DERIVED_B11
head_to_bearing_gap,9.5,mm,DERIVED_B11
lower_center_to_edge,39.0,mm,DERIVED_B11
upper_center_to_edge,39.0,mm,DERIVED_B11
lower_ligament_over_d,0.5263157894736842,-,DERIVED_B11
side_ligament_over_d,0.8947368421052632,-,DERIVED_B11
