parameter,value,units,classification
model_bottom_A,700.0,mm,B12_MODEL_BOUNDARY
outer_OD_at_model_bottom,95.11266091499965,mm,DERIVED_PRIMARY_106
pressure_closure_A,973.78,mm,SOURCE_B7B_E3
head_OD,106.0,mm,SOURCE_B10_PRIMARY_106
inner_bore_ID,64.0,mm,FROZEN_E2
trunnion_center_A,1012.78,mm,DERIVED_B10
head_top_A,1051.78,mm,DERIVED_B10
head_axial_height_above_closure,78.0,mm,DERIVED_B10
shaft_diameter,38.0,mm,SOURCE_B10
bearing_center_span,150.0,mm,SOURCE_B10
bearing_width,25.0,mm,SOURCE_B10
left_journal_outer_x,-87.5,mm,DERIVED_B12
left_journal_inner_x,-62.5,mm,DERIVED_B12
right_journal_inner_x,62.5,mm,DERIVED_B12
right_journal_outer_x,87.5,mm,DERIVED_B12
ultimate_pressure,13.938,MPa,SOURCE_B9_E2C
pressure_closure_thrust,44.83841884747217,kN,DERIVED_FOR_LOAD_AUDIT
