journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,station_above_A_static_mm,limit_Mx_kNm_gov_case,limit_Mx_kNm_gov_value,limit_My_kNm_gov_case,limit_My_kNm_gov_value,limit_Mz_kNm_gov_case,limit_Mz_kNm_gov_value,ultimate_Mx_kNm_gov_case,ultimate_Mx_kNm_gov_value,ultimate_My_kNm_gov_case,ultimate_My_kNm_gov_value,ultimate_Mz_kNm_gov_case,ultimate_Mz_kNm_gov_value,limit_Mx_kNm_penalty_pct_vs_E2_boundary,limit_My_kNm_penalty_pct_vs_E2_boundary,ultimate_Mx_kNm_penalty_pct_vs_E2_boundary,ultimate_My_kNm_penalty_pct_vs_E2_boundary
22.0,5.0,16.0,514.780356685791,989.780356685791,LC4+,11.045332174759496,LC5,10.335981337944107,LC5,1.0648512,LC4+,16.56799826213925,LC5,15.503972006916158,LC5,1.5972768,1.2228859840519801,1.3927814753169843,1.2228859840520023,1.3927814753169843
22.0,10.0,21.0,519.780356685791,994.780356685791,LC4+,11.087032174759496,LC5,10.380350137944106,LC5,1.0648512,LC4+,16.630548262139246,LC5,15.570525206916155,LC5,1.5972768,1.6050378540682253,1.8280256863535405,1.6050378540682253,1.8280256863535183
22.0,15.0,26.0,524.780356685791,999.780356685791,LC4+,11.128732174759497,LC5,10.424718937944107,LC5,1.0648512,LC4+,16.693098262139248,LC5,15.637078406916157,LC5,1.5972768,1.9871897240844927,2.2632698973900967,1.9871897240844927,2.2632698973900967
22.0,20.0,31.0,529.780356685791,1004.780356685791,LC4+,11.170432174759496,LC5,10.469087737944106,LC5,1.0648512,LC4+,16.755648262139246,LC5,15.703631606916156,LC5,1.5972768,2.3693415941007157,2.698514108426653,2.3693415941007157,2.6985141084266306
24.0,5.0,17.0,515.780356685791,990.780356685791,LC4+,11.053672174759496,LC5,10.344855097944105,LC5,1.0648512,LC4+,16.580508262139247,LC5,15.517282646916156,LC5,1.5972768,1.2993163580552247,1.4798303175242777,1.299316358055247,1.4798303175242777
24.0,10.0,22.0,520.780356685791,995.780356685791,LC4+,11.095372174759497,LC5,10.389223897944106,LC5,1.0648512,LC4+,16.643058262139245,LC5,15.583835846916157,LC5,1.5972768,1.681468228071492,1.9150745285608561,1.68146822807147,1.9150745285608561
24.0,15.0,27.0,525.780356685791,1000.780356685791,LC4+,11.137072174759496,LC5,10.433592697944105,LC5,1.0648512,LC4+,16.705608262139247,LC5,15.650389046916155,LC5,1.5972768,2.063620098087715,2.35031873959739,2.0636200980877373,2.35031873959739
24.0,20.0,32.0,530.780356685791,1005.780356685791,LC4+,11.178772174759496,LC5,10.477961497944106,LC5,1.0648512,LC4+,16.76815826213925,LC5,15.716942246916156,LC5,1.5972768,2.4457719681039825,2.7855629506339685,2.4457719681039825,2.7855629506339463
26.0,5.0,18.0,516.780356685791,991.780356685791,LC4+,11.062012174759497,LC5,10.353728857944105,LC5,1.0648512,LC4+,16.593018262139246,LC5,15.530593286916156,LC5,1.5972768,1.3757467320584915,1.5668791597315934,1.3757467320584693,1.5668791597315934
26.0,10.0,23.0,521.780356685791,996.780356685791,LC4+,11.103712174759496,LC5,10.398097657944104,LC5,1.0648512,LC4+,16.655568262139244,LC5,15.597146486916156,LC5,1.5972768,1.7578986020747145,2.0021233707681496,1.7578986020747145,2.0021233707681496
26.0,15.0,28.0,526.780356685791,1001.780356685791,LC4+,11.145412174759496,LC5,10.442466457944105,LC5,1.0648512,LC4+,16.718118262139246,LC5,15.663699686916157,LC5,1.5972768,2.140050472090982,2.437367581804706,2.140050472090982,2.437367581804706
26.0,20.0,33.0,531.780356685791,1006.780356685791,LC4+,11.187112174759498,LC5,10.486835257944108,LC5,1.0648512,LC4+,16.780668262139248,LC5,15.730252886916158,LC5,1.5972768,2.5222023421072493,2.872611792841284,2.522202342107227,2.872611792841284
28.0,5.0,19.0,517.780356685791,992.780356685791,LC4+,11.070352174759496,LC5,10.362602617944106,LC5,1.0648512,LC4+,16.605528262139245,LC5,15.543903926916155,LC5,1.5972768,1.452177106061714,1.653928001938909,1.452177106061714,1.653928001938887
28.0,10.0,24.0,522.780356685791,997.780356685791,LC4+,11.112052174759496,LC5,10.406971417944106,LC5,1.0648512,LC4+,16.668078262139247,LC5,15.610457126916158,LC5,1.5972768,1.8343289760779813,2.0891722129754653,1.8343289760779813,2.0891722129754653
28.0,15.0,29.0,527.780356685791,1002.780356685791,LC4+,11.153752174759498,LC5,10.451340217944107,LC5,1.0648512,LC4+,16.73062826213925,LC5,15.67701032691616,LC5,1.5972768,2.2164808460942487,2.5244164240120437,2.2164808460942487,2.5244164240120437
28.0,20.0,34.0,532.780356685791,1007.780356685791,LC4+,11.195452174759497,LC5,10.495709017944106,LC5,1.0648512,LC4+,16.793178262139246,LC5,15.743563526916157,LC5,1.5972768,2.5986327161104716,2.9596606350485777,2.5986327161104716,2.9596606350485777
30.0,5.0,20.0,518.780356685791,993.780356685791,LC4+,11.078692174759496,LC5,10.371476377944106,LC5,1.0648512,LC4+,16.618038262139248,LC5,15.557214566916157,LC5,1.5972768,1.5286074800649807,1.7409768441462248,1.5286074800649807,1.7409768441462248
30.0,10.0,25.0,523.780356685791,998.780356685791,LC4+,11.120392174759496,LC5,10.415845177944105,LC5,1.0648512,LC4+,16.680588262139246,LC5,15.623767766916156,LC5,1.5972768,1.9107593500812259,2.1762210551827588,1.9107593500812259,2.176221055182781
30.0,15.0,30.0,528.780356685791,1003.780356685791,LC4+,11.162092174759497,LC5,10.460213977944106,LC5,1.0648512,LC4+,16.743138262139247,LC5,15.690320966916158,LC5,1.5972768,2.292911220097471,2.611465266219337,2.292911220097471,2.611465266219337
30.0,20.0,35.0,533.780356685791,1008.780356685791,LC4+,11.203792174759496,LC5,10.504582777944105,LC5,1.0648512,LC4+,16.805688262139245,LC5,15.756874166916155,LC5,1.5972768,2.6750630901137162,3.046709477255871,2.6750630901137162,3.046709477255871
32.0,5.0,21.0,519.780356685791,994.780356685791,LC4+,11.087032174759496,LC5,10.380350137944106,LC5,1.0648512,LC4+,16.630548262139246,LC5,15.570525206916155,LC5,1.5972768,1.6050378540682253,1.8280256863535405,1.6050378540682253,1.8280256863535183
32.0,10.0,26.0,524.780356685791,999.780356685791,LC4+,11.128732174759497,LC5,10.424718937944107,LC5,1.0648512,LC4+,16.693098262139248,LC5,15.637078406916157,LC5,1.5972768,1.9871897240844927,2.2632698973900967,1.9871897240844927,2.2632698973900967
32.0,15.0,31.0,529.780356685791,1004.780356685791,LC4+,11.170432174759496,LC5,10.469087737944106,LC5,1.0648512,LC4+,16.755648262139246,LC5,15.703631606916156,LC5,1.5972768,2.3693415941007157,2.698514108426653,2.3693415941007157,2.6985141084266306
32.0,20.0,36.0,534.780356685791,1009.780356685791,LC4+,11.212132174759496,LC5,10.513456537944107,LC5,1.0648512,LC4+,16.818198262139248,LC5,15.770184806916157,LC5,1.5972768,2.751493464116961,3.133758319463209,2.751493464116983,3.133758319463209
34.0,5.0,22.0,520.780356685791,995.780356685791,LC4+,11.095372174759497,LC5,10.389223897944106,LC5,1.0648512,LC4+,16.643058262139245,LC5,15.583835846916157,LC5,1.5972768,1.681468228071492,1.9150745285608561,1.68146822807147,1.9150745285608561
34.0,10.0,27.0,525.780356685791,1000.780356685791,LC4+,11.137072174759496,LC5,10.433592697944105,LC5,1.0648512,LC4+,16.705608262139247,LC5,15.650389046916155,LC5,1.5972768,2.063620098087715,2.35031873959739,2.0636200980877373,2.35031873959739
34.0,15.0,32.0,530.780356685791,1005.780356685791,LC4+,11.178772174759496,LC5,10.477961497944106,LC5,1.0648512,LC4+,16.76815826213925,LC5,15.716942246916156,LC5,1.5972768,2.4457719681039825,2.7855629506339685,2.4457719681039825,2.7855629506339463
34.0,20.0,37.0,535.780356685791,1010.780356685791,LC4+,11.220472174759498,LC5,10.522330297944107,LC5,1.0648512,LC4+,16.83070826213925,LC5,15.78349544691616,LC5,1.5972768,2.82792383812025,3.2208071616705247,2.82792383812025,3.2208071616705247
36.0,5.0,23.0,521.780356685791,996.780356685791,LC4+,11.103712174759496,LC5,10.398097657944104,LC5,1.0648512,LC4+,16.655568262139244,LC5,15.597146486916156,LC5,1.5972768,1.7578986020747145,2.0021233707681496,1.7578986020747145,2.0021233707681496
36.0,10.0,28.0,526.780356685791,1001.780356685791,LC4+,11.145412174759496,LC5,10.442466457944105,LC5,1.0648512,LC4+,16.718118262139246,LC5,15.663699686916157,LC5,1.5972768,2.140050472090982,2.437367581804706,2.140050472090982,2.437367581804706
36.0,15.0,33.0,531.780356685791,1006.780356685791,LC4+,11.187112174759498,LC5,10.486835257944108,LC5,1.0648512,LC4+,16.780668262139248,LC5,15.730252886916158,LC5,1.5972768,2.5222023421072493,2.872611792841284,2.522202342107227,2.872611792841284
36.0,20.0,38.0,536.780356685791,1011.780356685791,LC4+,11.228812174759497,LC5,10.531204057944107,LC5,1.0648512,LC4+,16.843218262139246,LC5,15.796806086916158,LC5,1.5972768,2.9043542121234722,3.3078560038778404,2.9043542121234722,3.3078560038778404
38.0,5.0,24.0,522.780356685791,997.780356685791,LC4+,11.112052174759496,LC5,10.406971417944106,LC5,1.0648512,LC4+,16.668078262139247,LC5,15.610457126916158,LC5,1.5972768,1.8343289760779813,2.0891722129754653,1.8343289760779813,2.0891722129754653
38.0,10.0,29.0,527.780356685791,1002.780356685791,LC4+,11.153752174759498,LC5,10.451340217944107,LC5,1.0648512,LC4+,16.73062826213925,LC5,15.67701032691616,LC5,1.5972768,2.2164808460942487,2.5244164240120437,2.2164808460942487,2.5244164240120437
38.0,15.0,34.0,532.780356685791,1007.780356685791,LC4+,11.195452174759497,LC5,10.495709017944106,LC5,1.0648512,LC4+,16.793178262139246,LC5,15.743563526916157,LC5,1.5972768,2.5986327161104716,2.9596606350485777,2.5986327161104716,2.9596606350485777
38.0,20.0,39.0,537.780356685791,1012.780356685791,LC4+,11.237152174759496,LC5,10.540077817944105,LC5,1.0648512,LC4+,16.855728262139245,LC5,15.810116726916156,LC5,1.5972768,2.980784586126717,3.394904846085134,2.980784586126717,3.394904846085134
40.0,5.0,25.0,523.780356685791,998.780356685791,LC4+,11.120392174759496,LC5,10.415845177944105,LC5,1.0648512,LC4+,16.680588262139246,LC5,15.623767766916156,LC5,1.5972768,1.9107593500812259,2.1762210551827588,1.9107593500812259,2.176221055182781
40.0,10.0,30.0,528.780356685791,1003.780356685791,LC4+,11.162092174759497,LC5,10.460213977944106,LC5,1.0648512,LC4+,16.743138262139247,LC5,15.690320966916158,LC5,1.5972768,2.292911220097471,2.611465266219337,2.292911220097471,2.611465266219337
40.0,15.0,35.0,533.780356685791,1008.780356685791,LC4+,11.203792174759496,LC5,10.504582777944105,LC5,1.0648512,LC4+,16.805688262139245,LC5,15.756874166916155,LC5,1.5972768,2.6750630901137162,3.046709477255871,2.6750630901137162,3.046709477255871
40.0,20.0,40.0,538.780356685791,1013.780356685791,LC4+,11.245492174759496,LC5,10.548951577944106,LC5,1.0648512,LC4+,16.868238262139247,LC5,15.823427366916157,LC5,1.5972768,3.0572149601299614,3.4819536882924496,3.0572149601299836,3.4819536882924496
