journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_kN,My_kNm,Mz_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN
22.0,5.0,16.0,514.780356685791,limit,LC0,120.0,0.0,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404
22.0,5.0,16.0,514.780356685791,limit,LC0,150.0,0.0,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404
22.0,5.0,16.0,514.780356685791,limit,LC0,180.0,0.0,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404
22.0,5.0,16.0,514.780356685791,limit,LC1,120.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC1,150.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC1,180.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC2A,120.0,6.255,7.285701131069623,0.7505999999999999,6.255,-6.255,-73.22417609224686,48.20417609224686,73.49084969836977,48.60830811427552,73.49084969836977
22.0,5.0,16.0,514.780356685791,limit,LC2A,150.0,6.255,7.285701131069623,0.7505999999999999,5.004,-5.004,-61.08134087379749,36.06134087379749,61.285970816664424,36.40687190100542,61.285970816664424
22.0,5.0,16.0,514.780356685791,limit,LC2A,180.0,6.255,7.285701131069623,0.7505999999999999,4.17,-4.17,-52.98611739483124,27.966117394831244,53.14995330740035,28.275300566775282,53.14995330740035
22.0,5.0,16.0,514.780356685791,limit,LC2B,120.0,6.255,-7.285701131069623,-0.7505999999999999,-6.255,6.255,48.20417609224686,-73.22417609224686,48.60830811427552,73.49084969836977,73.49084969836977
22.0,5.0,16.0,514.780356685791,limit,LC2B,150.0,6.255,-7.285701131069623,-0.7505999999999999,-5.004,5.004,36.06134087379749,-61.08134087379749,36.40687190100542,61.285970816664424,61.285970816664424
22.0,5.0,16.0,514.780356685791,limit,LC2B,180.0,6.255,-7.285701131069623,-0.7505999999999999,-4.17,4.17,27.966117394831244,-52.98611739483124,28.275300566775282,53.14995330740035,53.14995330740035
22.0,5.0,16.0,514.780356685791,limit,LC3,120.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC3,150.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC3,180.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,5.0,16.0,514.780356685791,limit,LC4+,120.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,5.0,16.0,514.780356685791,limit,LC4+,150.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,5.0,16.0,514.780356685791,limit,LC4+,180.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
