ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
5.0,120.0,20.0,1.0,24.0,515.780356685791,1557.6640920938396,0.19537967746118268,288.0666641089573,0.43607535731253777,PASS
5.0,120.0,20.0,1.5,26.0,516.780356685791,1829.514665678591,0.017756257946891063,266.12001162024427,0.5545070627023516,PASS
5.0,120.0,20.0,2.0,30.0,518.780356685791,1587.498300135412,0.17291464176130034,231.00537174804816,0.7908044062338866,PASS
5.0,120.0,20.0,2.5,32.0,519.780356685791,1633.5152910773702,0.13987301506797323,216.74005122027773,0.9086709413465253,PASS
5.0,120.0,20.0,3.0,34.0,520.780356685791,1633.6371298392344,0.13978800186993712,204.15300489684134,1.0263499809818484,PASS
5.0,120.0,25.0,1.0,24.0,515.780356685791,1812.3709450545798,0.02738349733582024,230.45333128716584,0.7950941966406722,PASS
5.0,120.0,25.0,1.5,28.0,517.780356685791,1708.4905489218131,0.08985092201713551,197.84687733622678,1.0909374115977197,PASS
5.0,120.0,25.0,2.0,30.0,518.780356685791,1848.9428995628446,0.007061927353323227,184.80429739843854,1.2385055077923584,PASS
5.0,120.0,25.0,2.5,34.0,520.780356685791,1588.6655590760563,0.1720528523844318,163.32240391747308,1.53293747622731,PASS
5.0,120.0,25.0,3.0,36.0,521.780356685791,1605.512439328888,0.15975432789441668,154.37161632611642,1.6798024626248265,PASS
5.0,120.0,30.0,1.0,26.0,516.780356685791,1629.0208654180728,0.14301789469230353,177.41334108016287,1.3317605940535273,PASS
5.0,120.0,30.0,1.5,30.0,518.780356685791,1587.498300135412,0.17291464176130034,154.00358116536543,1.68620660935083,PASS
5.0,120.0,30.0,2.0,32.0,519.780356685791,1741.3129489451758,0.06930807648787773,144.49336748018516,1.863006412019788,PASS
5.0,120.0,30.0,2.5,34.0,520.780356685791,1813.5234128919467,0.026730610017738687,136.1020032645609,2.0395249714727726,PASS
5.0,120.0,30.0,3.0,36.0,521.780356685791,1833.0032338787673,0.015819266210389316,128.64301360509702,2.2157629551497915,PASS
5.0,150.0,20.0,1.0,22.0,514.780356685791,1644.7714590347866,0.13207217317151843,254.96699743211664,0.6225058213671075,PASS
5.0,150.0,20.0,1.5,26.0,516.780356685791,1490.2223074921442,0.24947800783730756,216.08106545282456,0.9144918446379033,PASS
5.0,150.0,20.0,2.0,28.0,517.780356685791,1586.9566818267676,0.17331495013249265,200.80445100534857,1.060140776357008,PASS
5.0,150.0,20.0,2.5,30.0,518.780356685791,1610.9294909288712,0.1558544371339059,187.56471953074825,1.2055610384781583,PASS
5.0,150.0,20.0,3.0,32.0,519.780356685791,1592.0049116995212,0.16959438147225914,175.97995546930082,1.35075316667112,PASS
5.0,150.0,25.0,1.0,24.0,515.780356685791,1477.1374387547587,0.2605462099516509,187.12302689558643,1.2107671324755542,PASS
5.0,150.0,25.0,1.5,26.0,516.780356685791,1734.4142815185141,0.07356127070735496,172.86485236225965,1.3931148057973792,PASS
5.0,150.0,25.0,2.0,28.0,517.780356685791,1847.846648948038,0.007659375338326724,160.64356080427885,1.5751759704462605,PASS
5.0,150.0,25.0,2.5,32.0,519.780356685791,1548.2422870150986,0.20265414245324886,140.78396437544063,1.9384414583389007,PASS
5.0,150.0,25.0,3.0,32.0,519.780356685791,1854.580659806061,0.004000548671048376,140.78396437544063,1.9384414583389007,PASS
5.0,150.0,30.0,1.0,24.0,515.780356685791,1683.9537908155241,0.10573105399658833,155.935855746322,1.6529205589706653,PASS
5.0,150.0,30.0,1.5,28.0,517.780356685791,1586.9566818267679,0.17331495013249265,133.8696340035657,2.090211164535513,PASS
5.0,150.0,30.0,2.0,30.0,518.780356685791,1717.0694100860749,0.08440578410086519,125.04314635383217,2.3083415577172377,PASS
5.0,150.0,30.0,2.5,32.0,519.780356685791,1767.0554104372143,0.05373039747479913,117.3199703128672,2.526129750006681,PASS
5.0,150.0,30.0,3.0,34.0,520.780356685791,1767.3230745124629,0.05357080822002791,110.50540383062052,2.7435765424122307,PASS
5.0,180.0,20.0,1.0,22.0,514.780356685791,1396.2856517080088,0.3335380176128755,215.60967092998527,0.9186775611954685,PASS
5.0,180.0,20.0,1.5,24.0,515.780356685791,1603.430202418475,0.16126040110228734,197.79558177847508,1.0914796673942724,PASS
