journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
22.0,5.0,514.780356685791,120.0,20.0,3.0,True,False,-0.6887578881230293,3.0,LC5,0.31745436249244063,314.00361892420034
22.0,5.0,514.780356685791,120.0,25.0,3.0,True,False,-0.7329977929965983,3.0,LC5,0.6468179531155507,251.2028951393603
22.0,5.0,514.780356685791,120.0,30.0,3.0,True,False,-0.7662263437594141,3.0,LC5,0.9761815437386607,209.3357459494669
22.0,5.0,514.780356685791,150.0,20.0,3.0,True,False,-0.6172097587251586,3.0,LC5,0.6225058213671075,254.96699743211664
22.0,5.0,514.780356685791,150.0,25.0,3.0,True,False,-0.6715563192728509,3.0,LC5,1.0281322767088845,203.9735979456933
22.0,5.0,514.780356685791,150.0,30.0,3.0,True,False,-0.7123897249864047,3.0,LC5,1.433758732050661,169.97799828807777
22.0,5.0,514.780356685791,180.0,20.0,3.0,True,False,-0.5479293698247276,3.0,LC5,0.9186775611954685,215.60967092998527
22.0,5.0,514.780356685791,180.0,25.0,3.0,True,False,-0.6120397163505426,3.0,LC5,1.3983469514943354,172.48773674398822
22.0,5.0,514.780356685791,180.0,30.0,3.0,True,False,-0.660224886563476,3.0,LC5,1.8780163417932028,143.73978061999017
22.0,10.0,519.780356685791,120.0,20.0,3.0,True,False,-0.6899893211933266,3.0,LC5,0.3122112721757362,315.258256320404
22.0,10.0,519.780356685791,120.0,25.0,3.0,True,False,-0.7340550709092699,3.0,LC5,0.6402640902196701,252.20660505632318
22.0,10.0,519.780356685791,120.0,30.0,3.0,True,False,-0.7671526220013722,3.0,LC5,0.9683169082636041,210.17217088026933
22.0,10.0,519.780356685791,150.0,20.0,3.0,True,False,-0.6187001918614112,3.0,LC5,0.6161428020863953,255.97084431898298
22.0,10.0,519.780356685791,150.0,25.0,3.0,True,False,-0.6728364598161063,3.0,LC5,1.020178502607994,204.7766754551864
22.0,10.0,519.780356685791,150.0,30.0,3.0,True,False,-0.7135115762081792,3.0,LC5,1.4242142031295928,170.64722954598867
22.0,10.0,519.780356685791,180.0,20.0,3.0,True,False,-0.5496619980610213,3.0,LC5,0.911261134421129,216.4463192076556
22.0,10.0,519.780356685791,180.0,25.0,3.0,True,False,-0.6135284331999664,3.0,LC5,1.3890764180264115,173.15705536612447
22.0,10.0,519.780356685791,180.0,30.0,3.0,True,False,-0.6615298884078302,3.0,LC5,1.8668917016316935,144.29754613843707
