journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,support_span_mm,bearing_width_mm,root_clearance_mm,Kt_bending,limit_vm_case,limit_vm_MPa,MS_limit_yield,ultimate_vm_case,ultimate_vm_MPa,MS_ultimate_strength,limit_bearing_case,limit_bearing_pressure_MPa,MS_limit_bearing,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,MS_limit_transverse_shear,MS_ultimate_transverse_shear,PASS
22.0,5.0,16.0,514.780356685791,120.0,20.0,5.0,1.0,LC5,1345.0027723745393,0.1278787160578172,LC5,2017.5041585618092,-0.07707749096916916,LC5,209.33574594946694,0.9761815437386605,LC5,314.00361892420034,0.31745436249244063,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,20.0,5.0,1.5,LC5,2005.832234860891,-0.24370544373806646,LC5,3008.748352291336,-0.38113800757647964,LC5,209.33574594946694,0.9761815437386605,LC5,314.00361892420034,0.31745436249244063,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,20.0,5.0,2.0,LC5,2666.661697347242,-0.43112393990242914,LC5,3999.9925460208624,-0.5344991325415613,LC5,209.33574594946694,0.9761815437386605,LC5,314.00361892420034,0.31745436249244063,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,20.0,5.0,2.5,LC5,3327.491159833593,-0.5441009676263528,LC5,4991.23673975039,-0.6269461664338691,LC5,209.33574594946694,0.9761815437386605,LC5,314.00361892420034,0.31745436249244063,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,20.0,5.0,3.0,LC5,3988.3206223199454,-0.6196394062427247,LC5,5982.480933479916,-0.6887578881230293,LC5,209.33574594946694,0.9761815437386605,LC5,314.00361892420034,0.31745436249244063,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,25.0,5.0,1.0,LC5,1565.27925986999,-0.030843863525030102,LC5,2347.9188898049847,-0.20695727263617036,LC5,167.46859675957356,1.4702269296733257,LC5,251.2028951393603,0.6468179531155507,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,25.0,5.0,1.5,LC5,2336.246966104067,-0.3506679636144143,LC5,3504.3704491560993,-0.4686634797846799,LC5,167.46859675957356,1.4702269296733257,LC5,251.2028951393603,0.6468179531155507,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,25.0,5.0,2.0,LC5,3107.2146723381434,-0.5117813991080072,LC5,4660.8220085072135,-0.6004996550820081,LC5,167.46859675957356,1.4702269296733257,LC5,251.2028951393603,0.6468179531155507,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,25.0,5.0,2.5,LC5,3878.18237857222,-0.6088373748532956,LC5,5817.2735678583285,-0.6799187835538721,LC5,167.46859675957356,1.4702269296733257,LC5,251.2028951393603,0.6468179531155507,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,25.0,5.0,3.0,LC5,4649.150084806297,-0.6737038012694734,LC5,6973.725127209443,-0.7329977929965983,LC5,167.46859675957356,1.4702269296733257,LC5,251.2028951393603,0.6468179531155507,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,30.0,5.0,1.0,LC5,1785.5557473654403,-0.1504045716644189,LC5,2678.3336210481607,-0.3047916117069427,LC5,139.5571639663113,1.9642723156079906,LC5,209.3357459494669,0.9761815437386607,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,30.0,5.0,1.5,LC5,2666.661697347242,-0.43112393990242914,LC5,3999.9925460208624,-0.5344991325415613,LC5,139.5571639663113,1.9642723156079906,LC5,209.3357459494669,0.9761815437386607,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,30.0,5.0,2.0,LC5,3547.767647329044,-0.572407172396963,LC5,5321.651470993565,-0.6501086156902418,LC5,139.5571639663113,1.9642723156079906,LC5,209.3357459494669,0.9761815437386607,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,30.0,5.0,2.5,LC5,4428.873597310845,-0.6574749839505235,LC5,6643.310395966268,-0.7197180488314106,LC5,139.5571639663113,1.9642723156079906,LC5,209.3357459494669,0.9761815437386607,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,120.0,30.0,5.0,3.0,LC5,5309.979547292647,-0.7143115173064161,LC5,7964.96932093897,-0.7662263437594141,LC5,139.5571639663113,1.9642723156079906,LC5,209.3357459494669,0.9761815437386607,1.710974228299266,1.2183405902409286,False
22.0,5.0,16.0,514.780356685791,150.0,20.0,5.0,1.0,LC5,1096.5143060231912,0.38347488187529,LC5,1644.7714590347866,0.13207217317151843,LC5,169.97799828807777,1.433758732050661,LC5,254.96699743211664,0.6225058213671075,2.3386898189553036,1.7319887685760382,True
22.0,5.0,16.0,514.780356685791,150.0,20.0,5.0,1.5,LC5,1633.0995353338685,-0.07109152432042865,LC5,2449.6493030008023,-0.2398911967851628,LC5,169.97799828807777,1.433758732050661,LC5,254.96699743211664,0.6225058213671075,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,20.0,5.0,2.0,LC5,2169.6847646445453,-0.3008200892960011,LC5,3254.527146966818,-0.4278738766289405,LC5,169.97799828807777,1.433758732050661,LC5,254.96699743211664,0.6225058213671075,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,20.0,5.0,2.5,LC5,2706.269993955223,-0.43944986886437776,LC5,4059.4049909328337,-0.5413120878160717,LC5,169.97799828807777,1.433758732050661,LC5,254.96699743211664,0.6225058213671075,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,20.0,5.0,3.0,LC5,3242.8552232659003,-0.5322023662615997,LC5,4864.28283489885,-0.6172097587251586,LC5,169.97799828807777,1.433758732050661,LC5,254.96699743211664,0.6225058213671075,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,25.0,5.0,1.0,LC5,1275.3760491267506,0.18945310368552803,LC5,1913.0640736901257,-0.02669229661065553,LC5,135.98239863046223,2.0421984150633263,LC5,203.9735979456933,1.0281322767088845,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,25.0,5.0,1.5,LC5,1901.3921499892072,-0.20216353054333847,LC5,2852.0882249838105,-0.34714502037868433,LC5,135.98239863046223,2.0421984150633263,LC5,203.9735979456933,1.0281322767088845,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,25.0,5.0,2.0,LC5,2527.408250851664,-0.3997803878780507,LC5,3791.112376277496,-0.5088512776220305,LC5,135.98239863046223,2.0421984150633263,LC5,203.9735979456933,1.0281322767088845,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,25.0,5.0,2.5,LC5,3153.424351714121,-0.518935661426158,LC5,4730.136527571181,-0.6063538569876978,LC5,135.98239863046223,2.0421984150633263,LC5,203.9735979456933,1.0281322767088845,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,25.0,5.0,3.0,LC5,3779.4404525765776,-0.5986178327096521,LC5,5669.160678864865,-0.6715563192728509,LC5,135.98239863046223,2.0421984150633263,LC5,203.9735979456933,1.0281322767088845,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,30.0,5.0,1.0,LC5,1454.2377922303094,0.04315814655967265,LC5,2181.356688345464,-0.14640278229219483,LC5,113.31866552538519,2.6506380980759916,LC5,169.97799828807777,1.433758732050661,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,30.0,5.0,1.5,LC5,2169.6847646445453,-0.3008200892960011,LC5,3254.5271469668187,-0.4278738766289406,LC5,113.31866552538519,2.6506380980759916,LC5,169.97799828807777,1.433758732050661,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,30.0,5.0,2.0,LC5,2885.131737058782,-0.4742007858724364,LC5,4327.697605588173,-0.5697481271344657,LC5,113.31866552538519,2.6506380980759916,LC5,169.97799828807777,1.433758732050661,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,30.0,5.0,2.5,LC5,3600.5787094730185,-0.5786788395963081,LC5,5400.868064209528,-0.6552406061649421,LC5,113.31866552538519,2.6506380980759916,LC5,169.97799828807777,1.433758732050661,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,150.0,30.0,5.0,3.0,LC5,4316.025681887255,-0.6485192369530419,LC5,6474.038522830882,-0.7123897249864047,LC5,113.31866552538519,2.6506380980759916,LC5,169.97799828807777,1.433758732050661,2.3386898189553036,1.7319887685760382,False
22.0,5.0,16.0,514.780356685791,180.0,20.0,5.0,1.0,LC5,930.8571011386728,0.6296808587959708,LC5,1396.2856517080088,0.3335380176128755,LC5,143.73978061999023,1.8780163417932019,LC5,215.60967092998527,0.9186775611954685,2.948133285601267,2.2306852022806245,True
22.0,5.0,16.0,514.780356685791,180.0,20.0,5.0,1.5,LC5,1384.6137280070902,0.09561242194489639,LC5,2076.9205920106356,-0.10348040885018828,LC5,143.73978061999023,1.8780163417932019,LC5,215.60967092998527,0.9186775611954685,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,20.0,5.0,2.0,LC5,1838.3703548755084,-0.17481262903484485,LC5,2757.555532313262,-0.3247642782961463,LC5,143.73978061999023,1.8780163417932019,LC5,215.60967092998527,0.9186775611954685,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,20.0,5.0,2.5,LC5,2292.126981743926,-0.33816930210131024,LC5,3438.1904726158887,-0.45843605383987673,LC5,143.73978061999023,1.8780163417932019,LC5,215.60967092998527,0.9186775611954685,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,20.0,5.0,3.0,LC5,2745.883608612344,-0.4475366708035272,LC5,4118.825412918516,-0.5479293698247276,LC5,143.73978061999023,1.8780163417932019,LC5,215.60967092998527,0.9186775611954685,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,25.0,5.0,1.0,LC5,1082.109310094812,0.4018916442619682,LC5,1623.1639651422179,0.1471422727382048,LC5,114.99182449599218,2.5975204272415024,LC5,172.48773674398822,1.3983469514943354,2.948133285601267,2.2306852022806245,True
22.0,5.0,16.0,514.780356685791,180.0,25.0,5.0,1.5,LC5,1611.4920414412998,-0.05863636866415245,LC5,2417.238062161949,-0.2296993708866849,LC5,114.99182449599218,2.5975204272415024,LC5,172.48773674398822,1.3983469514943354,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,25.0,5.0,2.0,LC5,2140.874772787787,-0.29141114684414493,LC5,3211.3121591816803,-0.4201747112387596,LC5,114.99182449599218,2.5975204272415024,LC5,172.48773674398822,1.3983469514943354,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,25.0,5.0,2.5,LC5,2670.2575041342748,-0.43188999650734916,LC5,4005.386256201412,-0.5351259826397206,LC5,114.99182449599218,2.5975204272415024,LC5,172.48773674398822,1.3983469514943354,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,25.0,5.0,3.0,LC5,3199.6402354807624,-0.5258841968612565,LC5,4799.460353221143,-0.6120397163505426,LC5,114.99182449599218,2.5975204272415024,LC5,172.48773674398822,1.3983469514943354,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,30.0,5.0,1.0,LC5,1233.3615190509513,0.2299718911023778,LC5,1850.0422785764267,0.006463485490058485,LC5,95.8265204133268,3.3170245126898035,LC5,143.73978061999017,1.8780163417932028,2.948133285601267,2.2306852022806245,True
22.0,5.0,16.0,514.780356685791,180.0,30.0,5.0,1.5,LC5,1838.3703548755086,-0.17481262903484496,LC5,2757.5555323132626,-0.3247642782961464,LC5,95.8265204133268,3.3170245126898035,LC5,143.73978061999017,1.8780163417932028,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,30.0,5.0,2.0,LC5,2443.3791907000655,-0.37913852840608164,LC5,3665.068786050098,-0.49196042183789224,LC5,95.8265204133268,3.3170245126898035,LC5,143.73978061999017,1.8780163417932028,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,30.0,5.0,2.5,LC5,3048.388026524623,-0.5023599401387602,LC5,4572.582039786934,-0.5927902476547446,LC5,95.8265204133268,3.3170245126898035,LC5,143.73978061999017,1.8780163417932028,2.948133285601267,2.2306852022806245,False
22.0,5.0,16.0,514.780356685791,180.0,30.0,5.0,3.0,LC5,3653.39686234918,-0.584769994293872,LC5,5480.095293523769,-0.660224886563476,LC5,95.8265204133268,3.3170245126898035,LC5,143.73978061999017,1.8780163417932028,2.948133285601267,2.2306852022806245,False
22.0,10.0,21.0,519.780356685791,120.0,20.0,5.0,1.0,LC5,1350.2836118692503,0.12346768239300321,LC5,2025.4254178038755,-0.08068695907898404,LC5,210.1721708802694,0.9683169082636036,LC5,315.258256320404,0.3122112721757362,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,20.0,5.0,1.5,LC5,2013.7534941029571,-0.24668038841776907,LC5,3020.6302411544348,-0.383572350355476,LC5,210.1721708802694,0.9683169082636036,LC5,315.258256320404,0.3122112721757362,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,20.0,5.0,2.0,LC5,2677.223376336664,-0.433368162922676,LC5,4015.8350645049954,-0.5363355391615128,LC5,210.1721708802694,0.9683169082636036,LC5,315.258256320404,0.3122112721757362,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,20.0,5.0,2.5,LC5,3340.6932585703707,-0.5459026367930617,LC5,5011.039887855555,-0.6284204393358298,LC5,210.1721708802694,0.9683169082636036,LC5,315.258256320404,0.3122112721757362,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,20.0,5.0,3.0,LC5,4004.163140804077,-0.6211443073981819,LC5,6006.244711206114,-0.6899893211933266,LC5,210.1721708802694,0.9683169082636036,LC5,315.258256320404,0.3122112721757362,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,25.0,5.0,1.0,LC5,1571.4402392804864,-0.03464353140493137,LC5,2357.160358920729,-0.21006647131442835,LC5,168.1377367042155,1.4603961353295043,LC5,252.20660505632318,0.6402640902196701,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,25.0,5.0,1.5,LC5,2345.488435219811,-0.35322639957598767,LC5,3518.2326528297153,-0.470757001103269,LC5,168.1377367042155,1.4603961353295043,LC5,252.20660505632318,0.6402640902196701,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,25.0,5.0,2.0,LC5,3119.5366311591356,-0.5137098295792976,LC5,4679.304946738702,-0.6020776544393108,LC5,168.1377367042155,1.4603961353295043,LC5,252.20660505632318,0.6402640902196701,1.7001853287898046,1.2095122312487883,False
22.0,10.0,21.0,519.780356685791,120.0,25.0,5.0,2.5,LC5,3893.58482709846,-0.6103847566278698,LC5,5840.377240647689,-0.6811849777372416,LC5,168.1377367042155,1.4603961353295043,LC5,252.20660505632318,0.6402640902196701,1.7001853287898046,1.2095122312487883,False
