journal_diameter_mm,support_span_mm,bearing_width_mm,root_clearance_mm,root_lever_mm,head_root_to_root_width_mm,half_head_engagement_mm,boss_extension_each_side_vs_74mm_barrel_mm,ligament_mm,station_above_U_mm,station_above_E2_boundary_mm,level,governing_radial_case,per_journal_radial_reaction_kN,governing_thrust_case,full_locating_journal_thrust_kN,journal_root_bending_moment_kNm,journal_interface_resultant_force_kN,moment_transfer_force_couple_requirement_kN,force_only_avg_projected_shaft_head_pressure_MPa,governing_brace_case,brace_effective_arm_mm,brace_force_abs_kN,contact_pressure_interpretation
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,5.0,520.780356685791,22.000000000000057,limit,LC5,92.54936221990144,LC5,8.87376,1.3882404332985216,92.97380310521949,30.849787406633816,60.48977922869375,LC4+,250.0,44.38148869903799,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,5.0,520.780356685791,22.000000000000057,ultimate,LC5,138.82404332985212,LC5,13.31064,2.082360649947782,139.46070465782918,46.274681109950706,90.7346688430406,LC4+,250.0,66.57223304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,10.0,525.780356685791,27.000000000000057,limit,LC5,92.91740550478086,LC5,8.87376,1.3937610825717128,93.340172821125,30.97246850159362,60.73033039528161,LC4+,250.0,44.54828869903798,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,10.0,525.780356685791,27.000000000000057,ultimate,LC5,139.3761082571713,LC5,13.31064,2.0906416238575694,140.01025923168748,46.45870275239043,91.09549559292242,LC4+,250.0,66.82243304855699,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,15.0,530.780356685791,32.00000000000006,limit,LC5,93.28546220877315,LC5,8.87376,1.3992819331315973,93.70656901222051,31.095154069591054,60.970890332531475,LC4+,250.0,44.71508869903799,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,15.0,530.780356685791,32.00000000000006,ultimate,LC5,139.9281933131597,LC5,13.31064,2.0989228996973956,140.55985351833073,46.64273110438657,91.4563354987972,LC4+,250.0,67.072633048557,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,20.0,535.780356685791,37.00000000000006,limit,LC5,93.6535321736677,LC5,8.87376,1.4048029826050157,94.07299136915871,31.217844057889238,61.21145893703771,LC4+,250.0,44.881888699038,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
34.0,120.0,20.0,5.0,15.0,90.0,45.0,8.0,20.0,535.780356685791,37.00000000000006,ultimate,LC5,140.48029826050154,LC5,13.31064,2.1072044739075233,141.10948705373806,46.82676608683385,91.81718840555655,LC4+,250.0,67.322833048557,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,25.0,5.0,17.5,85.0,42.5,5.5,5.0,521.780356685791,23.000000000000057,limit,LC5,92.62296979566986,LC5,8.87376,1.6209019714242228,93.04707491537373,38.13886991586406,60.53788875533978,LC4+,250.0,44.41484869903798,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,25.0,5.0,17.5,85.0,42.5,5.5,5.0,521.780356685791,23.000000000000057,ultimate,LC5,138.9344546935048,LC5,13.31064,2.4313529571363337,139.57061237306058,57.20830487379608,90.80683313300966,LC4+,250.0,66.62227304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
