level,ligament_mm,x_from_journal_root_mm,q_N_per_mm,projected_pressure_MPa
limit,5.0,0.0,3333.144933823415,92.58735927287265
limit,5.0,0.85,3286.993696278168,91.30538045217133
limit,5.0,1.7,3240.8424587329205,90.02340163147001
limit,5.0,2.55,3194.6912211876734,88.74142281076871
limit,5.0,3.4,3148.5399836424263,87.4594439900674
limit,5.0,4.25,3102.388746097179,86.17746516936609
limit,5.0,5.1,3056.2375085519316,84.89548634866476
limit,5.0,5.95,3010.0862710066845,83.61350752796346
limit,5.0,6.8,2963.9350334614373,82.33152870726215
limit,5.0,7.6499999999999995,2917.78379591619,81.04954988656083
limit,5.0,8.5,2871.6325583709427,79.76757106585951
limit,5.0,9.35,2825.4813208256955,78.48559224515822
limit,5.0,10.2,2779.3300832804484,77.2036134244569
limit,5.0,11.049999999999999,2733.1788457352013,75.92163460375559
limit,5.0,11.9,2687.0276081899538,74.63965578305427
limit,5.0,12.75,2640.8763706447066,73.35767696235297
limit,5.0,13.6,2594.7251330994595,72.07569814165166
limit,5.0,14.45,2548.573895554212,70.79371932095033
limit,5.0,15.299999999999999,2502.422658008965,69.51174050024902
limit,5.0,16.15,2456.2714204637177,68.22976167954772
limit,5.0,17.0,2410.12018291847,66.9477828588464
limit,5.0,17.849999999999998,2363.9689453732235,65.6658040381451
limit,5.0,18.7,2317.817707827976,64.38382521744377
limit,5.0,19.55,2271.6664702827284,63.10184639674245
limit,5.0,20.4,2225.5152327374817,61.81986757604116
limit,5.0,21.25,2179.363995192234,60.537888755339836
limit,5.0,22.099999999999998,2133.212757646987,59.25590993463853
limit,5.0,22.95,2087.06152010174,57.97393111393722
limit,5.0,23.8,2040.9102825564923,56.6919522932359
limit,5.0,24.65,1994.7590450112452,55.40997347253459
limit,5.0,25.5,1948.607807465998,54.127994651833276
limit,5.0,26.349999999999998,1902.4565699207508,52.846015831131965
limit,5.0,27.2,1856.3053323755034,51.56403701043065
limit,5.0,28.05,1810.154094830256,50.282058189729334
limit,5.0,28.9,1764.002857285009,49.00007936902803
limit,5.0,29.75,1717.8516197397619,47.71810054832672
limit,5.0,30.599999999999998,1671.7003821945145,46.436121727625405
limit,5.0,31.45,1625.5491446492674,45.15414290692409
limit,5.0,32.3,1579.3979071040203,43.87216408622279
limit,5.0,33.15,1533.246669558773,42.59018526552147
limit,5.0,34.0,1487.0954320135256,41.30820644482016
limit,5.0,34.85,1440.9441944682783,40.02622762411884
limit,5.0,35.699999999999996,1394.7929569230314,38.74424880341754
limit,5.0,36.55,1348.641719377784,37.46226998271622
limit,5.0,37.4,1302.4904818325367,36.18029116201491
limit,5.0,38.25,1256.3392442872891,34.898312341313584
limit,5.0,39.1,1210.188006742042,33.61633352061228
limit,5.0,39.949999999999996,1164.036769196795,32.33435469991097
limit,5.0,40.8,1117.8855316515478,31.052375879209663
limit,5.0,41.65,1071.7342941063007,29.77039705850835
limit,5.0,42.5,1025.5830565610531,28.488418237807032
ultimate,5.0,0.0,4999.7174007351205,138.8810389093089
ultimate,5.0,0.85,4930.49054441725,136.95807067825695
ultimate,5.0,1.7,4861.263688099379,135.03510244720496
ultimate,5.0,2.55,4792.036831781508,133.112134216153
ultimate,5.0,3.4,4722.809975463637,131.18916598510103
ultimate,5.0,4.25,4653.583119145766,129.26619775404907
ultimate,5.0,5.1,4584.356262827896,127.3432295229971
ultimate,5.0,5.95,4515.129406510025,125.42026129194512
ultimate,5.0,6.8,4445.902550192154,123.49729306089317
ultimate,5.0,7.6499999999999995,4376.675693874283,121.57432482984119
ultimate,5.0,8.5,4307.448837556412,119.65135659878923
ultimate,5.0,9.35,4238.221981238541,117.72838836773725
ultimate,5.0,10.2,4168.995124920671,115.8054201366853
ultimate,5.0,11.049999999999999,4099.7682686028,113.88245190563333
ultimate,5.0,11.9,4030.541412284929,111.95948367458135
ultimate,5.0,12.75,3961.3145559670584,110.0365154435294
ultimate,5.0,13.6,3892.087699649187,108.11354721247741
ultimate,5.0,14.45,3822.8608433313166,106.19057898142546
ultimate,5.0,15.299999999999999,3753.6339870134457,104.26761075037349
ultimate,5.0,16.15,3684.407130695575,102.34464251932152
ultimate,5.0,17.0,3615.180274377704,100.42167428826956
ultimate,5.0,17.849999999999998,3545.9534180598334,98.49870605721759
ultimate,5.0,18.7,3476.7265617419625,96.57573782616562
ultimate,5.0,19.55,3407.499705424091,94.65276959511364
ultimate,5.0,20.4,3338.2728491062207,92.72980136406169
ultimate,5.0,21.25,3269.04599278835,90.80683313300972
ultimate,5.0,22.099999999999998,3199.819136470479,88.88386490195775
ultimate,5.0,22.95,3130.5922801526085,86.9608966709058
ultimate,5.0,23.8,3061.365423834737,85.03792843985381
ultimate,5.0,24.65,2992.1385675168667,83.11496020880185
ultimate,5.0,25.5,2922.911711198996,81.19199197774988
ultimate,5.0,26.349999999999998,2853.684854881125,79.26902374669791
ultimate,5.0,27.2,2784.457998563254,77.34605551564594
ultimate,5.0,28.05,2715.231142245383,75.42308728459398
ultimate,5.0,28.9,2646.0042859275127,73.50011905354202
ultimate,5.0,29.75,2576.777429609642,71.57715082249005
ultimate,5.0,30.599999999999998,2507.550573291771,69.65418259143809
ultimate,5.0,31.45,2438.3237169739,67.7312143603861
ultimate,5.0,32.3,2369.0968606560295,65.80824612933415
ultimate,5.0,33.15,2299.8700043381587,63.88527789828218
ultimate,5.0,34.0,2230.6431480202873,61.9623096672302
ultimate,5.0,34.85,2161.4162917024164,60.03934143617823
ultimate,5.0,35.699999999999996,2092.1894353845464,58.11637320512629
ultimate,5.0,36.55,2022.962579066675,56.193404974074305
ultimate,5.0,37.4,1953.7357227488042,54.27043674302234
ultimate,5.0,38.25,1884.5088664309333,52.34746851197037
ultimate,5.0,39.1,1815.2820101130624,50.4245002809184
ultimate,5.0,39.949999999999996,1746.055153795192,48.50153204986644
ultimate,5.0,40.8,1676.828297477321,46.57856381881447
ultimate,5.0,41.65,1607.6014411594501,44.655595587762505
ultimate,5.0,42.5,1538.3745848415792,42.73262735671054
limit,10.0,0.0,3346.389495094637,92.95526375262881
limit,10.0,0.85,3300.0548713164035,91.6681908699001
limit,10.0,1.7,3253.72024753817,90.3811179871714
limit,10.0,2.55,3207.3856237599366,89.09404510444269
limit,10.0,3.4,3161.050999981703,87.80697222171398
limit,10.0,4.25,3114.7163762034697,86.51989933898527
limit,10.0,5.1,3068.3817524252363,85.23282645625656
limit,10.0,5.95,3022.047128647003,83.94575357352785
limit,10.0,6.8,2975.7125048687694,82.65868069079914
limit,10.0,7.6499999999999995,2929.377881090536,81.37160780807045
limit,10.0,8.5,2883.0432573123026,80.08453492534174
limit,10.0,9.35,2836.708633534069,78.79746204261303
limit,10.0,10.2,2790.3740097558357,77.51038915988433
limit,10.0,11.049999999999999,2744.0393859776023,76.22331627715562
limit,10.0,11.9,2697.704762199369,74.93624339442691
limit,10.0,12.75,2651.3701384211354,73.6491705116982
limit,10.0,13.6,2605.035514642902,72.3620976289695
limit,10.0,14.45,2558.7008908646685,71.07502474624079
limit,10.0,15.299999999999999,2512.366267086435,69.78795186351209
limit,10.0,16.15,2466.0316433082016,68.50087898078338
limit,10.0,17.0,2419.697019529968,67.21380609805468
limit,10.0,17.849999999999998,2373.3623957517348,65.92673321532597
limit,10.0,18.7,2327.0277719735013,64.63966033259726
limit,10.0,19.55,2280.693148195268,63.35258744986855
limit,10.0,20.4,2234.3585244170345,62.06551456713984
limit,10.0,21.25,2188.023900638801,60.77844168441114
limit,10.0,22.099999999999998,2141.6892768605676,59.491368801682434
limit,10.0,22.95,2095.354653082334,58.204295918953726
limit,10.0,23.8,2049.0200293041007,56.91722303622502
limit,10.0,24.65,2002.6854055258673,55.63015015349632
limit,10.0,25.5,1956.3507817476338,54.34307727076761
limit,10.0,26.349999999999998,1910.0161579694006,53.05600438803891
limit,10.0,27.2,1863.681534191167,51.76893150531019
limit,10.0,28.05,1817.3469104129335,50.481858622581484
limit,10.0,28.9,1771.0122866347,49.19478573985278
limit,10.0,29.75,1724.6776628564667,47.907712857124075
limit,10.0,30.599999999999998,1678.3430390782335,46.620639974395374
limit,10.0,31.45,1632.0084152999998,45.33356709166666
limit,10.0,32.3,1585.6737915217666,44.04649420893796
limit,10.0,33.15,1539.339167743533,42.75942132620925
limit,10.0,34.0,1493.0045439652995,41.47234844348054
