section,OD_mm,ID_mm,Kt_bending,level,governing_case,sigma_ax_MPa,sigma_bending_MPa,tau_torsion_MPa,vm_MPa,7075_screen_allowable_MPa,MS,PASS
FROZEN_HOLLOW_BARREL,74.0,64.0,1.0,limit,LC4+,10.234078027616942,622.6587778571912,0.0,632.8928558848082,503.0,-0.20523672320998643,False
FROZEN_HOLLOW_BARREL,74.0,64.0,1.0,ultimate,LC4+,15.351117041425415,933.9881667857869,0.0,949.3392838272123,572.0,-0.39747568678079814,False
FROZEN_HOLLOW_BARREL,74.0,64.0,1.5,limit,LC4+,10.234078027616942,933.9881667857868,0.0,944.2222448134037,503.0,-0.4672864330797434,False
FROZEN_HOLLOW_BARREL,74.0,64.0,1.5,ultimate,LC4+,15.351117041425415,1400.9822501786803,0.0,1416.3333672201056,572.0,-0.5961402779610514,False
FROZEN_HOLLOW_BARREL,74.0,64.0,2.0,limit,LC4+,10.234078027616942,1245.3175557143825,0.0,1255.5516337419995,503.0,-0.5993792796072612,False
FROZEN_HOLLOW_BARREL,74.0,64.0,2.0,ultimate,LC4+,15.351117041425415,1867.9763335715738,0.0,1883.3274506129992,572.0,-0.696282237157526,False
FROZEN_HOLLOW_BARREL,74.0,64.0,2.5,limit,LC4+,10.234078027616942,1556.646944642978,0.0,1566.881022670595,503.0,-0.6789800931134606,False
FROZEN_HOLLOW_BARREL,74.0,64.0,2.5,ultimate,LC4+,15.351117041425415,2334.970416964467,0.0,2350.3215340058923,572.0,-0.7566290434206753,False
FROZEN_HOLLOW_BARREL,74.0,64.0,3.0,limit,LC4+,10.234078027616942,1867.9763335715736,0.0,1878.2104115991904,503.0,-0.732191879624539,False
FROZEN_HOLLOW_BARREL,74.0,64.0,3.0,ultimate,LC4+,15.351117041425415,2801.9645003573605,0.0,2817.3156173987854,572.0,-0.7969698544005783,False
SOLID_74MM_HEAD_NECK,74.0,0.0,1.0,limit,LC4+,2.5790773699984246,274.2868660255063,0.0,276.8659433955047,503.0,0.8167637154327119,True
SOLID_74MM_HEAD_NECK,74.0,0.0,1.0,ultimate,LC4+,3.8686160549976374,411.43029903825953,0.0,415.2989150932571,572.0,0.37732119977138634,True
SOLID_74MM_HEAD_NECK,74.0,0.0,1.5,limit,LC4+,2.5790773699984246,411.4302990382594,0.0,414.0093764082578,503.0,0.2149483288610059,True
SOLID_74MM_HEAD_NECK,74.0,0.0,1.5,ultimate,LC4+,3.8686160549976374,617.1454485573892,0.0,621.0140646123868,572.0,-0.07892585273890629,False
SOLID_74MM_HEAD_NECK,74.0,0.0,2.0,limit,LC4+,2.5790773699984246,548.5737320510126,0.0,551.152809421011,503.0,-0.08736743893512189,False
SOLID_74MM_HEAD_NECK,74.0,0.0,2.0,ultimate,LC4+,3.8686160549976374,822.8605980765191,0.0,826.7292141315166,572.0,-0.3081168655677796,False
SOLID_74MM_HEAD_NECK,74.0,0.0,2.5,limit,LC4+,2.5790773699984246,685.7171650637657,0.0,688.2962424337642,503.0,-0.26921001599336136,False
SOLID_74MM_HEAD_NECK,74.0,0.0,2.5,ultimate,LC4+,3.8686160549976374,1028.5757475956486,0.0,1032.4443636506464,572.0,-0.4459749889306862,False
SOLID_74MM_HEAD_NECK,74.0,0.0,3.0,limit,LC4+,2.5790773699984246,822.8605980765188,0.0,825.4396754465173,503.0,-0.3906277890896088,False
SOLID_74MM_HEAD_NECK,74.0,0.0,3.0,ultimate,LC4+,3.8686160549976374,1234.2908971147783,0.0,1238.159513169776,572.0,-0.5380239832461977,False
