Kt_bending,station_above_A_mm,station_above_U_mm,frozen_74_limit_case,frozen_74_limit_surface,frozen_74_limit_vm_MPa,frozen_74_limit_MS,frozen_74_ultimate_case,frozen_74_ultimate_surface,frozen_74_ultimate_vm_MPa,frozen_74_ultimate_MS,frozen_74_PASS,minimum_passing_OD_mm,minimum_OD_limit_case,minimum_OD_limit_vm_MPa,minimum_OD_limit_MS,minimum_OD_ultimate_case,minimum_OD_ultimate_vm_MPa,minimum_OD_ultimate_MS
1.0,250.0,-225.0,LC4+,OUTER,292.37427177639455,0.7203976155080098,LC4+,OUTER,438.56140766459185,0.3042643287880471,True,74.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471
1.0,260.0,-215.0,LC4+,OUTER,297.07034420784856,0.6932016601699915,LC4+,OUTER,445.6055163117729,0.28364658663649456,True,74.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456
1.0,270.0,-205.0,LC4+,OUTER,301.7683884424068,0.6668412572843054,LC4+,OUTER,452.6525826636101,0.26366229180466916,True,74.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916
1.0,280.0,-195.0,LC4+,OUTER,306.46831379907775,0.641278975188833,LC4+,OUTER,459.70247069861665,0.24428306667728616,True,74.0,LC4+,306.46831379907775,0.641278975188833,LC4+,459.70247069861665,0.24428306667728616
1.0,290.0,-185.0,LC4+,OUTER,311.1700350402296,0.6164795557354026,LC4+,OUTER,466.7550525603445,0.22548218141901932,True,74.0,LC4+,311.1700350402296,0.6164795557354026,LC4+,466.7550525603445,0.22548218141901932
1.0,300.0,-175.0,LC4+,OUTER,315.87347197159596,0.5924097609729977,LC4+,OUTER,473.81020795739386,0.20723443774228612,True,74.0,LC4+,315.87347197159596,0.5924097609729977,LC4+,473.81020795739386,0.20723443774228612
1.0,310.0,-165.0,LC4+,OUTER,320.5785490768347,0.5690382324347081,LC4+,OUTER,480.867823615252,0.18951606223015638,True,74.0,LC4+,320.5785490768347,0.5690382324347081,LC4+,480.867823615252,0.18951606223015638
1.0,320.0,-155.0,LC4+,OUTER,325.28519518322923,0.5463353618558207,LC4+,OUTER,487.92779277484374,0.17230460832542027,True,74.0,LC4+,325.28519518322923,0.5463353618558207,LC4+,487.92779277484374,0.17230460832542027
1.0,330.0,-145.0,LC4+,OUTER,329.99334315549385,0.52427317227119,LC4+,OUTER,494.9900147332408,0.15557886618836392,True,74.0,LC4+,329.99334315549385,0.52427317227119,LC4+,494.9900147332408,0.15557886618836392
1.0,340.0,-135.0,LC4+,OUTER,334.7029296149834,0.5028252085472111,LC4+,OUTER,502.0543944224753,0.13931877970709672,True,74.0,LC4+,334.7029296149834,0.5028252085472111,LC4+,502.0543944224753,0.13931877970709672
1.0,350.0,-125.0,LC4+,OUTER,339.41389468189226,0.4819664364990861,LC4+,OUTER,509.12084202283864,0.1235053700165365,True,74.0,LC4+,339.41389468189226,0.4819664364990861,LC4+,509.12084202283864,0.1235053700165365
1.0,360.0,-115.0,LC4+,OUTER,344.1261817382891,0.46167314982890706,LC4+,OUTER,516.1892726074336,0.10812066494650097,True,74.0,LC4+,344.1261817382891,0.46167314982890706,LC4+,516.1892726074336,0.10812066494650097
1.0,370.0,-105.0,LC4+,OUTER,348.8397372100578,0.4419228841957097,LC4+,OUTER,523.2596058150867,0.09314763387666791,True,74.0,LC4+,348.8397372100578,0.4419228841957097,LC4+,523.2596058150867,0.09314763387666791
1.0,380.0,-95.0,LC4+,OUTER,353.55451036601926,0.422694337796077,LC4+,OUTER,530.3317655490289,0.07857012752731074,True,74.0,LC4+,353.55451036601926,0.422694337796077,LC4+,530.3317655490289,0.07857012752731074
1.0,390.0,-85.0,LC4+,OUTER,358.2704531326773,0.40396729789415664,LC4+,OUTER,537.405679699016,0.06437282226038099,True,74.0,LC4+,358.2704531326773,0.40396729789415664,LC4+,537.405679699016,0.06437282226038099
1.0,400.0,-75.0,LC4+,OUTER,362.9875199232027,0.38572257279374167,LC4+,OUTER,544.4812798848039,0.05054116850632262,True,74.0,LC4+,362.9875199232027,0.38572257279374167,LC4+,544.4812798848039,0.05054116850632262
1.0,410.0,-65.0,LC4+,OUTER,367.705667479393,0.36794192879333076,LC4+,OUTER,551.5585012190897,0.037061342968568445,True,74.0,LC4+,367.705667479393,0.36794192879333076,LC4+,551.5585012190897,0.037061342968568445
1.0,420.0,-55.0,LC4+,OUTER,372.4248547254863,0.3506080317081963,LC4+,OUTER,558.6372820882294,0.023920204290375446,True,74.0,LC4+,372.4248547254863,0.3506080317081963,LC4+,558.6372820882294,0.023920204290375446
1.0,430.0,-45.0,LC4+,OUTER,377.14504263280213,0.33370439258228135,LC4+,OUTER,565.7175639492034,0.011105251898031465,True,74.0,LC4+,377.14504263280213,0.33370439258228135,LC4+,565.7175639492034,0.011105251898031465
1.0,440.0,-35.0,LC4+,OUTER,381.8661940942952,0.3172153172474672,LC4+,OUTER,572.7992911414427,-0.001395412239163063,False,74.5,LC4+,362.02468503297797,0.38940801772724454,LC4+,543.037027549467,0.05333517049699643
1.0,450.0,-25.0,LC4+,OUTER,386.588273808183,0.30112585941905246,LC4+,OUTER,579.8824107122746,-0.013593119168061274,False,74.5,LC4+,366.5011538574506,0.37243769823338724,LC4+,549.7517307861759,0.04046966652020867
1.0,460.0,-15.0,LC4+,OUTER,391.3112481698992,0.2854217770443641,LC4+,OUTER,586.966872254849,-0.025498666044564633,False,74.5,LC4+,370.9784723897344,0.35587382405189616,LC4+,556.4677085846016,0.027912296034041884
1.0,470.0,-5.0,LC4+,OUTER,396.03508517168456,0.2700894916467951,LC4+,OUTER,594.052627757527,-0.03712234695564409,False,74.5,LC4+,375.45661023154423,0.33970207553357423,LC4+,563.1849153473164,0.01565220305527415
1.0,480.0,5.0,LC4+,OUTER,400.7597543091962,0.2551160504303607,LC4+,OUTER,601.1396314637944,-0.04847398164855388,False,74.5,LC4+,379.9355384123272,0.3239087927966253,LC4+,569.9033076184909,0.0036790317821995266
1.0,490.0,15.0,LC4+,OUTER,405.48522649457453,0.24048909093049353,LC4+,OUTER,608.2278397418618,-0.05956294232969872,False,75.0,LC4+,365.2600639581379,0.37710100181564976,LC4+,547.8900959372068,0.044005000713786435
1.0,500.0,25.0,LC4+,OUTER,410.21147397544894,0.22619680801542974,LC4+,OUTER,615.3172109631735,-0.0703981786814768,False,75.0,LC4+,369.5170044331191,0.36123640851564853,LC4+,554.2755066496787,0.03197776762220128
1.0,510.0,35.0,LC4+,OUTER,414.93847025942244,0.21222792305934157,LC4+,OUTER,622.4077053891336,-0.08098824123267945,False,75.0,LC4+,373.77462195184677,0.34573074376569446,LC4+,560.6619329277701,0.02022264471037416
1.0,520.0,45.0,LC4+,OUTER,419.66619004360325,0.19857165512365516,LC4+,OUTER,629.499285065405,-0.09134130320645384,False,75.0,LC4+,378.0328936385871,0.33057204403192997,LC4+,567.0493404578808,0.008730562208434378
1.0,530.0,55.0,LC4+,OUTER,424.39460914880044,0.1852176939967658,LC4+,OUTER,636.5919137232007,-0.10146518095937707,False,75.5,LC4+,363.98560926543166,0.38192276616407095,LC4+,545.9784138981477,0.04766046685997116
1.0,540.0,65.0,LC4+,OUTER,429.12370445802384,0.17215617495491364,LC4+,OUTER,643.6855566870358,-0.1113673531156919,False,75.5,LC4+,368.0409440267665,0.36669576622816824,LC4+,552.0614160401498,0.03611660474819378
1.0,550.0,75.0,LC4+,OUTER,433.85345385896926,0.15937765511832924,LC4+,OUTER,650.780180788454,-0.12105497849213498,False,75.5,LC4+,372.0968429997158,0.3517986230277803,LC4+,558.1452644995736,0.02482281295147848
1.0,560.0,85.0,LC4+,OUTER,438.5838361901876,0.14687309128711012,LC4+,OUTER,657.8757542852815,-0.1305349129009583,False,75.5,LC4+,376.153287933327,0.3372207983707869,LC4+,564.2299318999903,0.013771102277124303
1.0,570.0,95.0,LC4+,OUTER,443.31483119066814,0.13463381915066464,LC4+,OUTER,664.9722467860024,-0.13981372491162358,False,75.5,LC4+,380.2102613531164,0.32295219547702825,LC4+,570.3153920296746,0.0029538181747648107
1.0,580.0,105.0,LC4+,OUTER,448.04641945258896,0.12265153377311178,LC4+,OUTER,672.0696291788835,-0.1488977106451691,False,76.0,LC4+,366.5510275993688,0.3722509613307279,LC4+,549.8265413990533,0.04032809792071057
1.0,590.0,115.0,LC4+,OUTER,452.778582376999,0.11091827126483844,LC4+,OUTER,679.1678735654987,-0.15779290766933407,False,76.0,LC4+,370.4217214098926,0.3579117285171354,LC4+,555.6325821148391,0.029457268007688553
1.0,600.0,125.0,LC4+,OUTER,457.511302132231,0.09942639155747401,LC4+,OUTER,686.2669531983465,-0.1665051080571569,False,76.0,LC4+,374.2928743439851,0.3438674216857509,LC4+,561.4393115159775,0.01881002677832977
1.0,610.0,135.0,LC4+,OUTER,462.24456161484403,0.08816856220607017,LC4+,OUTER,693.3668424222662,-0.17503987066683646,False,76.0,LC4+,378.16447230192745,0.33010908438380104,LC4+,567.2467084528912,0.008379584184935895
1.0,620.0,145.0,LC4+,OUTER,466.97834441292264,0.0771377431481608,LC4+,OUTER,700.4675166193841,-0.18340253269615936,False,76.5,LC4+,365.04813100730695,0.37790049386646984,LC4+,547.5721965109605,0.04461110999552109
1.0,630.0,155.0,LC4+,OUTER,471.71263477156737,0.06632717235480445,LC4+,OUTER,707.568952157351,-0.19159822056070486,False,76.5,LC4+,368.7481996868576,0.3640744563014804,LC4+,553.1222995302865,0.034129342616894265
1.0,640.0,165.0,LC4+,OUTER,476.4474175604261,0.05573035231365542,LC4+,OUTER,714.6711263406393,-0.1996318601412712,False,76.5,LC4+,372.448657169669,0.3505217170667858,LC4+,558.6729857545033,0.023854767610605343
1.0,650.0,175.0,LC4+,OUTER,481.1826782431272,0.04534103728864736,LC4+,OUTER,721.7740173646912,-0.20750818644253688,False,76.5,LC4+,376.1494919809153,0.33723429307601127,LC4+,564.2242379713731,0.013781332855504536
1.0,660.0,185.0,LC4+,OUTER,485.9184028484866,0.03515322130501719,LC4+,OUTER,728.87760427273,-0.21523175270182926,False,76.5,LC4+,379.85069309181495,0.32420450758113595,LC4+,569.7760396377224,0.003903218471053238
