Kt_bending,station_above_U_mm,station_above_A_mm,OD_mm,limit_case,limit_vm_MPa,MS_limit_7075,ultimate_case,ultimate_vm_MPa,MS_ultimate_7075,PASS
1.0,498.780356685791,973.780356685791,74.0,LC4+,276.8659433955047,0.8167637154327119,LC4+,415.2989150932571,0.37732119977138634,True
1.0,498.780356685791,973.780356685791,80.0,LC4+,219.29192033704817,1.2937461591238613,LC4+,328.93788050557225,0.7389301564199453,True
1.0,498.780356685791,973.780356685791,85.0,LC4+,182.94008280229463,1.7495341222929133,LC4+,274.4101242034419,1.084471196754866,True
1.0,498.780356685791,973.780356685791,90.0,LC4+,154.20945608964303,2.2617973810088703,LC4+,231.3141841344646,1.4728271728788247,True
1.0,498.780356685791,973.780356685791,96.0,LC4+,127.16045425462333,2.955632298959893,LC4+,190.74068138193502,1.9988358846985532,True
1.0,503.780356685791,978.780356685791,74.0,LC4+,277.91413578323005,0.8099115346631178,LC4+,416.8712036748453,0.37212643847223714,True
1.0,503.780356685791,978.780356685791,80.0,LC4+,220.12151547791467,1.2851014763727955,LC4+,330.182273216872,0.7323764671772555,True
1.0,503.780356685791,978.780356685791,85.0,LC4+,183.6317216577778,1.7391781521136505,LC4+,275.4475824866668,1.0766201497799965,True
1.0,503.780356685791,978.780356685791,90.0,LC4+,154.79210727225436,2.249519687171802,LC4+,232.18816090838158,1.463519232686906,True
1.0,503.780356685791,978.780356685791,96.0,LC4+,127.64054403521737,2.94075412167796,LC4+,191.4608160528261,1.9875564713052256,True
1.0,508.780356685791,983.780356685791,74.0,LC4+,278.9623281709555,0.8031108476114677,LC4+,418.44349225643333,0.36697071548543314,True
1.0,508.780356685791,983.780356685791,80.0,LC4+,220.95111061878114,1.2765217092203396,LC4+,331.42666592817176,0.7258719916156848,True
1.0,508.780356685791,983.780356685791,85.0,LC4+,184.3233605132611,1.7288998996077427,LC4+,276.4850407698916,1.0688280219690247,True
1.0,508.780356685791,983.780356685791,90.0,LC4+,155.37475845486566,2.237334075380815,LC4+,233.0621376822985,1.4542811015478145,True
1.0,508.780356685791,983.780356685791,96.0,LC4+,128.12063381581143,2.925987446511715,LC4+,192.18095072371713,1.9763615896682585,True
1.5,498.780356685791,973.780356685791,74.0,LC4+,414.0093764082578,0.2149483288610059,LC4+,621.0140646123868,-0.07892585273890629,False
1.5,498.780356685791,973.780356685791,80.0,LC4+,327.83451896821975,0.5343106686357235,LC4+,491.75177845232963,0.1631884724448427,True
1.5,498.780356685791,973.780356685791,85.0,LC4+,273.43275204578714,0.8395747994218745,LC4+,410.1491280686807,0.394614692205848,True
1.5,498.780356685791,973.780356685791,90.0,LC4+,230.44239230248238,1.1827581070229218,LC4+,345.66358845372355,0.6547881208974307,True
1.5,498.780356685791,973.780356685791,96.0,LC4+,189.97445809210691,1.6477243575350866,LC4+,284.9616871381603,1.007287385699231,True
1.5,503.780356685791,978.780356685791,74.0,LC4+,415.5816649898459,0.2103517608561727,LC4+,623.3724974847692,-0.08241059349273638,False
1.5,503.780356685791,978.780356685791,80.0,LC4+,329.0789116795195,0.5285087623294964,LC4+,493.6183675192793,0.1587899430781603,True
1.5,503.780356685791,978.780356685791,85.0,LC4+,274.470210329012,0.832621468818221,LC4+,411.705315493518,0.38934324740095727,True
1.5,503.780356685791,978.780356685791,90.0,LC4+,231.3163690763993,1.1745110473953053,LC4+,346.9745536145991,0.6485358768855056,True
