level,ligament_mm,contact_regime,x_from_root_mm,q_N_per_mm,projected_pressure_MPa
limit,5.0,PARTIAL_ROOT_TRIANGULAR,0.0,2862.616175421789,84.1945933947585
limit,5.0,PARTIAL_ROOT_TRIANGULAR,0.575,2831.263712548122,83.27246213376829
limit,5.0,PARTIAL_ROOT_TRIANGULAR,1.15,2799.9112496744547,82.35033087277807
limit,5.0,PARTIAL_ROOT_TRIANGULAR,1.7249999999999999,2768.558786800788,81.42819961178787
limit,5.0,PARTIAL_ROOT_TRIANGULAR,2.3,2737.20632392712,80.50606835079765
limit,5.0,PARTIAL_ROOT_TRIANGULAR,2.875,2705.853861053453,79.58393708980743
limit,5.0,PARTIAL_ROOT_TRIANGULAR,3.4499999999999997,2674.501398179786,78.66180582881724
limit,5.0,PARTIAL_ROOT_TRIANGULAR,4.0249999999999995,2643.148935306119,77.73967456782702
limit,5.0,PARTIAL_ROOT_TRIANGULAR,4.6,2611.7964724324515,76.81754330683681
limit,5.0,PARTIAL_ROOT_TRIANGULAR,5.175,2580.4440095587843,75.8954120458466
limit,5.0,PARTIAL_ROOT_TRIANGULAR,5.75,2549.091546685117,74.97328078485639
limit,5.0,PARTIAL_ROOT_TRIANGULAR,6.324999999999999,2517.73908381145,74.05114952386619
limit,5.0,PARTIAL_ROOT_TRIANGULAR,6.8999999999999995,2486.3866209377825,73.12901826287596
limit,5.0,PARTIAL_ROOT_TRIANGULAR,7.475,2455.034158064115,72.20688700188575
limit,5.0,PARTIAL_ROOT_TRIANGULAR,8.049999999999999,2423.6816951904484,71.28475574089555
limit,5.0,PARTIAL_ROOT_TRIANGULAR,8.625,2392.329232316781,70.36262447990532
limit,5.0,PARTIAL_ROOT_TRIANGULAR,9.2,2360.976769443114,69.44049321891511
limit,5.0,PARTIAL_ROOT_TRIANGULAR,9.774999999999999,2329.6243065694466,68.5183619579249
limit,5.0,PARTIAL_ROOT_TRIANGULAR,10.35,2298.2718436957794,67.59623069693468
limit,5.0,PARTIAL_ROOT_TRIANGULAR,10.924999999999999,2266.919380822112,66.67409943594447
limit,5.0,PARTIAL_ROOT_TRIANGULAR,11.5,2235.566917948445,65.75196817495426
limit,5.0,PARTIAL_ROOT_TRIANGULAR,12.075,2204.2144550747776,64.82983691396404
limit,5.0,PARTIAL_ROOT_TRIANGULAR,12.649999999999999,2172.8619922011108,63.907705652973846
limit,5.0,PARTIAL_ROOT_TRIANGULAR,13.225,2141.5095293274435,62.98557439198363
limit,5.0,PARTIAL_ROOT_TRIANGULAR,13.799999999999999,2110.1570664537758,62.063443130993406
limit,5.0,PARTIAL_ROOT_TRIANGULAR,14.374999999999998,2078.804603580109,61.14131187000321
limit,5.0,PARTIAL_ROOT_TRIANGULAR,14.95,2047.4521407064415,60.21918060901299
limit,5.0,PARTIAL_ROOT_TRIANGULAR,15.524999999999999,2016.0996778327744,59.297049348022774
limit,5.0,PARTIAL_ROOT_TRIANGULAR,16.099999999999998,1984.7472149591072,58.37491808703256
limit,5.0,PARTIAL_ROOT_TRIANGULAR,16.674999999999997,1953.3947520854401,57.452786826042356
limit,5.0,PARTIAL_ROOT_TRIANGULAR,17.25,1922.0422892117729,56.53065556505214
limit,5.0,PARTIAL_ROOT_TRIANGULAR,17.825,1890.6898263381054,55.60852430406192
limit,5.0,PARTIAL_ROOT_TRIANGULAR,18.4,1859.3373634644386,54.686393043071725
limit,5.0,PARTIAL_ROOT_TRIANGULAR,18.974999999999998,1827.984900590771,53.764261782081505
limit,5.0,PARTIAL_ROOT_TRIANGULAR,19.549999999999997,1796.6324377171043,52.8421305210913
limit,5.0,PARTIAL_ROOT_TRIANGULAR,20.125,1765.2799748434368,51.91999926010108
limit,5.0,PARTIAL_ROOT_TRIANGULAR,20.7,1733.9275119697693,50.99786799911086
limit,5.0,PARTIAL_ROOT_TRIANGULAR,21.275,1702.5750490961025,50.07573673812066
limit,5.0,PARTIAL_ROOT_TRIANGULAR,21.849999999999998,1671.222586222435,49.15360547713044
limit,5.0,PARTIAL_ROOT_TRIANGULAR,22.424999999999997,1639.8701233487682,48.23147421614024
limit,5.0,PARTIAL_ROOT_TRIANGULAR,23.0,1608.5176604751007,47.30934295515002
limit,5.0,PARTIAL_ROOT_TRIANGULAR,23.575,1577.1651976014334,46.38721169415981
limit,5.0,PARTIAL_ROOT_TRIANGULAR,24.15,1545.8127347277662,45.46508043316959
limit,5.0,PARTIAL_ROOT_TRIANGULAR,24.724999999999998,1514.4602718540991,44.542949172179384
limit,5.0,PARTIAL_ROOT_TRIANGULAR,25.299999999999997,1483.1078089804319,43.62081791118917
limit,5.0,PARTIAL_ROOT_TRIANGULAR,25.874999999999996,1451.7553461067648,42.698686650198965
limit,5.0,PARTIAL_ROOT_TRIANGULAR,26.45,1420.4028832330973,41.776555389208745
limit,5.0,PARTIAL_ROOT_TRIANGULAR,27.025,1389.05042035943,40.85442412821853
limit,5.0,PARTIAL_ROOT_TRIANGULAR,27.599999999999998,1357.697957485763,39.93229286722833
limit,5.0,PARTIAL_ROOT_TRIANGULAR,28.174999999999997,1326.3454946120958,39.010161606238114
limit,5.0,PARTIAL_ROOT_TRIANGULAR,28.749999999999996,1294.9930317384285,38.088030345247894
limit,5.0,PARTIAL_ROOT_TRIANGULAR,29.325,1263.6405688647612,37.16589908425768
limit,5.0,PARTIAL_ROOT_TRIANGULAR,29.9,1232.288105991094,36.24376782326747
limit,5.0,PARTIAL_ROOT_TRIANGULAR,30.474999999999998,1200.9356431174267,35.321636562277256
limit,5.0,PARTIAL_ROOT_TRIANGULAR,31.049999999999997,1169.5831802437597,34.39950530128705
limit,5.0,PARTIAL_ROOT_TRIANGULAR,31.624999999999996,1138.2307173700924,33.47737404029684
limit,5.0,PARTIAL_ROOT_TRIANGULAR,32.199999999999996,1106.8782544964254,32.55524277930663
limit,5.0,PARTIAL_ROOT_TRIANGULAR,32.775,1075.525791622758,31.633111518316415
limit,5.0,PARTIAL_ROOT_TRIANGULAR,33.349999999999994,1044.173328749091,30.71098025732621
limit,5.0,PARTIAL_ROOT_TRIANGULAR,33.925,1012.8208658754238,29.788848996335993
limit,5.0,PARTIAL_ROOT_TRIANGULAR,34.5,981.4684030017563,28.866717735345773
limit,5.0,PARTIAL_ROOT_TRIANGULAR,35.074999999999996,950.1159401280895,27.944586474355575
limit,5.0,PARTIAL_ROOT_TRIANGULAR,35.65,918.763477254422,27.022455213365355
limit,5.0,PARTIAL_ROOT_TRIANGULAR,36.224999999999994,887.4110143807548,26.10032395237514
limit,5.0,PARTIAL_ROOT_TRIANGULAR,36.8,856.0585515070876,25.17819269138493
limit,5.0,PARTIAL_ROOT_TRIANGULAR,37.375,824.7060886334201,24.25606143039471
limit,5.0,PARTIAL_ROOT_TRIANGULAR,37.949999999999996,793.3536257597533,23.33393016940451
limit,5.0,PARTIAL_ROOT_TRIANGULAR,38.525,762.0011628860858,22.411798908414287
limit,5.0,PARTIAL_ROOT_TRIANGULAR,39.099999999999994,730.648700012419,21.48966764742409
limit,5.0,PARTIAL_ROOT_TRIANGULAR,39.675,699.2962371387515,20.56753638643387
limit,5.0,PARTIAL_ROOT_TRIANGULAR,40.25,667.943774265084,19.64540512544365
limit,5.0,PARTIAL_ROOT_TRIANGULAR,40.824999999999996,636.5913113914171,18.723273864453443
limit,5.0,PARTIAL_ROOT_TRIANGULAR,41.4,605.2388485177497,17.801142603463227
limit,5.0,PARTIAL_ROOT_TRIANGULAR,41.974999999999994,573.8863856440828,16.879011342473024
limit,5.0,PARTIAL_ROOT_TRIANGULAR,42.55,542.5339227704153,15.956880081482803
limit,5.0,PARTIAL_ROOT_TRIANGULAR,43.125,511.18145989674815,15.034748820492593
limit,5.0,PARTIAL_ROOT_TRIANGULAR,43.699999999999996,479.828997023081,14.112617559502382
limit,5.0,PARTIAL_ROOT_TRIANGULAR,44.275,448.47653414941385,13.190486298512171
limit,5.0,PARTIAL_ROOT_TRIANGULAR,44.849999999999994,417.12407127574664,12.26835503752196
limit,5.0,PARTIAL_ROOT_TRIANGULAR,45.425,385.7716084020795,11.34622377653175
