upper_OD_mm,taper_start_A_mm,taper_end_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak_sensitivity,minimum_profile_MS_limit,governing_limit_station_A_mm,governing_limit_station_U_mm,governing_limit_OD_mm,governing_limit_local_Kt,governing_limit_case,governing_limit_vm_MPa,minimum_profile_MS_ultimate,governing_ultimate_station_A_mm,governing_ultimate_station_U_mm,governing_ultimate_OD_mm,governing_ultimate_local_Kt,governing_ultimate_case,governing_ultimate_vm_MPa,annular_closure_Kt3_MS_ultimate,annular_closure_Kt3_PASS,solid_neck_Kt3_MS_ultimate,solid_neck_Kt3_PASS,head_width_reserve_each_side_mm,head_width_fit_PASS,added_annular_mass_kg_vs_74mm,PROFILE_PASS,ELIGIBLE_WITHIN_SENSITIVITY_MODEL
90.0,300.0,973.780356685791,673.780356685791,1.020327567459071,1.25,0.3602189941498568,420.0,-55.0,75.34175900712809,1.1463801210007827,LC4+,369.79339515426875,0.031206447519838365,420.0,-55.0,75.34175900712809,1.1463801210007827,LC4+,554.6900927314032,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.902016138356045,True,False
90.0,300.0,973.780356685791,673.780356685791,1.020327567459071,1.5,0.19571583356587707,460.0,-15.0,76.27822334364241,1.362151912740683,LC4+,420.6685115977329,-0.09350635281685693,460.0,-15.0,76.27822334364241,1.362151912740683,LC4+,631.0027673965996,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.902016138356045,False,False
90.0,300.0,973.780356685791,673.780356685791,1.020327567459071,2.0,-0.06118912005996757,500.0,25.0,77.39233959574894,1.8348920903648644,LC4+,535.7841613767084,-0.2882706118943691,500.0,25.0,77.39233959574894,1.8348920903648644,LC4+,803.6762420650628,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.902016138356045,False,False
90.0,350.0,973.780356685791,623.780356685791,1.1020939483708927,1.25,0.2922556336873323,460.0,-15.0,75.31718583631415,1.1452468733410759,LC4+,389.2418704840434,-0.02031779659489208,460.0,-15.0,75.31718583631415,1.1452468733410759,LC4+,583.8628057260652,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.7608710243733487,False,False
90.0,350.0,973.780356685791,623.780356685791,1.1020939483708927,1.5,0.1415980421344738,490.0,15.0,76.05610004354325,1.3481311405802665,LC4+,440.6104262928908,-0.1345340223977216,490.0,15.0,76.05610004354325,1.3481311405802665,LC4+,660.9156394393361,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.7608710243733487,False,False
90.0,350.0,973.780356685791,623.780356685791,1.1020939483708927,2.0,-0.09909791694269243,530.0,55.0,77.22799158588171,1.82117776705039,LC4+,558.3292673639023,-0.317009951611955,530.0,55.0,77.22799158588171,1.82117776705039,LC4+,837.4939010458534,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.7608710243733487,False,False
90.0,400.0,973.780356685791,573.780356685791,1.1981050405667484,1.25,0.2287466089291299,490.0,15.0,75.05746675741806,1.1322511288015713,LC4+,409.3602345225365,-0.06846512881714717,490.0,15.0,75.05746675741806,1.1322511288015713,LC4+,614.0403517838046,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.619725910858532,False,False
90.0,400.0,973.780356685791,573.780356685791,1.1981050405667484,1.5,0.09091029750476154,520.0,45.0,75.8067601789285,1.3308000614758495,LC4+,461.08282335450644,-0.1729613118983122,520.0,45.0,75.8067601789285,1.3308000614758495,LC4+,691.6242350317598,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.619725910858532,False,False
90.0,400.0,973.780356685791,573.780356685791,1.1981050405667484,2.0,-0.13502302781863462,550.0,75.0,76.70871789965693,1.772326115368772,LC4+,581.518371213393,-0.3442454233429544,550.0,75.0,76.70871789965693,1.772326115368772,LC4+,872.2775568200897,-0.3832449083298285,False,-0.17573984726035186,False,12.5,True,1.619725910858532,False,False
96.0,300.0,973.780356685791,673.780356685791,1.4028183520974156,1.25,0.41372119606487145,390.0,-85.0,75.07272129803225,1.1157324897197893,LC4+,355.79858419051305,0.07176742763301047,390.0,-85.0,75.07272129803225,1.1157324897197893,LC4+,533.6978762857697,-0.19309782928601182,False,9.52670606424455e-05,True,9.5,True,2.6881782775806027,True,False
