upper_OD_mm,taper_start_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak,minimum_profile_MS_limit,minimum_profile_MS_ultimate,governing_ultimate_station_A_mm,governing_ultimate_station_U_mm,governing_ultimate_OD_mm,governing_ultimate_local_Kt,governing_ultimate_case,governing_ultimate_vm_MPa,PROFILE_PASS,added_annular_mass_kg_vs_74mm
102.0,275.0,698.780356685791,1.721355401408711,1.5,0.3602102155536018,0.03119979230836356,380.0,-95.0,75.70661196314005,1.255366394532576,LC4+,554.693672619508,True,3.644495106203208
102.0,275.0,698.780356685791,1.721355401408711,1.75,0.2320317764853823,-0.06597458429471326,400.0,-75.0,76.36737972217057,1.4406518194656326,LC4+,612.4030357012076,False,3.644495106203208
102.0,275.0,698.780356685791,1.721355401408711,2.0,0.11802285014366731,-0.15240679883077846,420.0,-55.0,77.11653298630819,1.6577853004570522,LC4+,674.8520389391379,False,3.644495106203208
102.0,275.0,698.780356685791,1.721355401408711,2.25,0.018870651921779835,-0.22757586096851168,430.0,-45.0,77.52179235754207,1.8630656689337712,LC4+,740.5257954745017,False,3.644495106203208
102.0,300.0,673.780356685791,1.785184120478301,1.5,0.3221329000336428,0.0023326955854787723,400.0,-75.0,75.66722523733489,1.252777829770493,LC4+,570.6688034015348,True,3.514107373536636
102.0,300.0,673.780356685791,1.785184120478301,1.75,0.19941498223300136,-0.09070196177961976,420.0,-55.0,76.34807826247416,1.4391403630023478,LC4+,629.0566744424982,False,3.514107373536636
102.0,300.0,673.780356685791,1.785184120478301,2.0,0.08925567606603102,-0.1742157101262164,430.0,-45.0,76.72479078234925,1.6228596078034458,LC4+,692.6748389551307,False,3.514107373536636
102.0,300.0,673.780356685791,1.785184120478301,2.25,-0.0063349983084955985,-0.24668471707416784,440.0,-35.0,77.12422936044773,1.823045674145738,LC4+,759.3102290164428,False,3.514107373536636
102.0,325.0,648.780356685791,1.8539270089814206,1.5,0.28589437989646904,-0.025140377334950226,420.0,-55.0,75.62525317241727,1.249974531649361,LC4+,586.7511451918369,False,3.3837196736286987
102.0,325.0,648.780356685791,1.8539270089814206,1.75,0.16837795302356362,-0.11423169101460795,440.0,-35.0,76.32736356108815,1.4375083018884187,LC4+,645.7670636864401,False,3.3837196736286987
102.0,325.0,648.780356685791,1.8539270089814206,2.0,0.06188367049925647,-0.1949669191178598,450.0,-25.0,76.71767899575606,1.6221911466718884,LC4+,710.5298075120256,False,3.3837196736286987
102.0,325.0,648.780356685791,1.8539270089814206,2.25,-0.03062786787044025,-0.26510157776261367,460.0,-15.0,77.13252739110455,1.823921592319366,LC4+,778.3388597550057,False,3.3837196736286987
102.0,350.0,623.780356685791,1.9281740774229965,1.5,0.2513541711990215,-0.051325929853094476,440.0,-35.0,75.58044418125448,1.246928776136067,LC4+,602.9468054412237,False,3.253331938911919
102.0,350.0,623.780356685791,1.9281740774229965,1.75,0.1383124912710867,-0.1370248575121784,450.0,-25.0,75.92809324675709,1.4038378983057656,LC4+,662.8232631950602,False,3.253331938911919
102.0,350.0,623.780356685791,1.9281740774229965,2.0,0.03582159520165029,-0.2147250464475231,470.0,-5.0,76.71000573708575,1.6214684391419834,LC4+,728.4072889531876,False,3.253331938911919
102.0,350.0,623.780356685791,1.9281740774229965,2.25,-0.05373431546271612,-0.2826189906490041,480.0,5.0,77.14150047281832,1.8248667105092413,LC4+,797.344775710581,False,3.253331938911919
104.0,275.0,698.780356685791,1.844227278702398,1.5,0.3751266785127967,0.04250823076119237,370.0,-105.0,75.51267979281077,1.2349368840295833,LC4+,548.6767232354141,True,3.9391849130387016
104.0,275.0,698.780356685791,1.844227278702398,1.75,0.25011648728884484,-0.05226424025285725,390.0,-85.0,76.17013066728596,1.4124650896059499,LC4+,603.5437558593446,False,3.9391849130387016
104.0,275.0,698.780356685791,1.844227278702398,2.0,0.1372579243928982,-0.13782434360140816,410.0,-65.0,76.92650056909036,1.6234797085038832,LC4+,663.4378919828364,False,3.9391849130387016
104.0,275.0,698.780356685791,1.844227278702398,2.25,0.03871148753594955,-0.21253416716956508,420.0,-55.0,77.3391424853302,1.8222316255713151,LC4+,726.3807217438585,False,3.9391849130387016
104.0,300.0,673.780356685791,1.912605720341083,1.5,0.3357214430215534,0.01263441406007737,390.0,-85.0,75.46280177004397,1.2314649794395787,LC4+,564.863283390312,True,3.7982541736845303
104.0,300.0,673.780356685791,1.912605720341083,1.75,0.21611123407523003,-0.07804423341148947,410.0,-65.0,76.13770385086535,1.4098143759367328,LC4+,620.4202205020714,False,3.7982541736845303
104.0,300.0,673.780356685791,1.912605720341083,2.0,0.10794054335133185,-0.1600503766773207,430.0,-45.0,76.91941869537419,1.6228596078034458,LC4+,680.9932216378381,False,3.7982541736845303
104.0,300.0,673.780356685791,1.912605720341083,2.25,0.012691524519872877,-0.2322603684223099,440.0,-35.0,77.3473886004797,1.823045674145738,LC4+,745.0442525997402,False,3.7982541736845303
104.0,325.0,648.780356685791,1.9862478286736236,1.5,0.29826912115450477,-0.01575886375032931,410.0,-65.0,75.4099132332778,1.2277002341167744,LC4+,581.1583959796025,False,3.657323470117116
104.0,325.0,648.780356685791,1.9862478286736236,1.75,0.18375930624044323,-0.10257081090850417,430.0,-45.0,76.10301230723924,1.406947781045127,LC4+,637.3761929663319,False,3.657323470117116
104.0,325.0,648.780356685791,1.9862478286736236,2.0,0.07936503660351457,-0.18171398152788532,440.0,-35.0,76.49360381545159,1.5833444025178915,LC4+,699.0220865169193,False,3.657323470117116
104.0,325.0,648.780356685791,1.9862478286736236,2.25,-0.01250524685731702,-0.25136249330998717,450.0,-25.0,76.91179892402435,1.7777389333398603,LC4+,764.0546925427384,False,3.657323470117116
104.0,350.0,623.780356685791,2.0657854425287785,1.5,0.2626293512817841,-0.04277801334237186,430.0,-45.0,75.35376324455935,1.223604278478822,LC4+,597.5625382334522,False,3.5163927285232273
104.0,350.0,623.780356685791,2.0657854425287785,1.75,0.15293446629149554,-0.1259396756544262,450.0,-25.0,76.06581419295401,1.4038378983057656,LC4+,654.4170740483704,False,3.5163927285232273
104.0,350.0,623.780356685791,2.0657854425287785,2.0,0.05210626294803644,-0.20237934737405316,460.0,-15.0,76.46972344308902,1.5809874933643038,LC4+,717.1328853093851,False,3.5163927285232273
104.0,350.0,623.780356685791,2.0657854425287785,2.25,-0.03677582832012938,-0.26976245699021084,470.0,-5.0,76.90357757544902,1.7768355489274794,LC4+,783.3067547340991,False,3.5163927285232273
106.0,275.0,698.780356685791,1.9670821894460577,1.5,0.388468608163655,0.0526229872360644,370.0,-105.0,75.6135251123315,1.2349368840295833,LC4+,543.4044353353282,True,4.238457216916993
106.0,275.0,698.780356685791,1.9670821894460577,1.75,0.266687221728773,-0.039701668881566676,390.0,-85.0,76.31480604510503,1.4124650896059499,LC4+,595.6482287476301,False,4.238457216916993
106.0,275.0,698.780356685791,1.9670821894460577,2.0,0.15526418991888713,-0.12417347033319615,400.0,-75.0,76.70557682533779,1.5875357592875101,LC4+,653.0973664586405,False,4.238457216916993
106.0,275.0,698.780356685791,1.9670821894460577,2.25,0.05744517153610129,-0.1983318248924456,410.0,-65.0,77.12160060702973,1.779349635629854,LC4+,713.5121709468617,False,4.238457216916993
106.0,300.0,673.780356685791,2.0400083970976794,1.5,0.34830239467702917,0.022172259450312426,390.0,-85.0,75.5603218880469,1.2314649794395787,LC4+,559.5925683872512,True,4.086819524580368
106.0,300.0,673.780356685791,2.0400083970976794,1.75,0.23198244929254175,-0.0660119801254685,400.0,-75.0,75.90540027123988,1.3791667446557396,LC4+,612.4275556305747,False,4.086819524580368
106.0,300.0,673.780356685791,2.0400083970976794,2.0,0.12460176328230244,-0.1474192066302492,420.0,-55.0,76.6835180142562,1.5855204840031303,LC4+,670.9041588178643,False,4.086819524580368
106.0,300.0,673.780356685791,2.0400083970976794,2.25,0.03013794608194087,-0.2190339229173358,430.0,-45.0,77.11404660839914,1.7785745097543075,LC4+,732.4261792992766,False,4.086819524580368
106.0,325.0,648.780356685791,2.118547456059601,1.5,0.3101039317143608,-0.0067866813245671676,410.0,-65.0,75.50390744882965,1.2277002341167744,LC4+,575.9085075125951,False,3.9351818711503825
106.0,325.0,648.780356685791,2.118547456059601,1.75,0.1984607045505118,-0.09142541682850502,420.0,-55.0,75.85743219704833,1.3749617974740416,LC4+,629.5575625760533,False,3.9351818711503825
106.0,325.0,648.780356685791,2.118547456059601,2.0,0.09543330432651564,-0.16953233919845334,440.0,-35.0,76.65984406981504,1.5833444025178915,LC4+,688.7685421102609,False,3.9351818711503825
106.0,325.0,648.780356685791,2.118547456059601,2.25,0.0041754918244329975,-0.23871652574741475,450.0,-25.0,77.10591885229265,1.7777389333398603,LC4+,751.3626912256036,False,3.9351818711503825
106.0,350.0,623.780356685791,2.2033729684872907,1.5,0.2737296337156352,-0.03436268988026092,430.0,-45.0,75.44401412752997,1.223604278478822,LC4+,592.354908002749,False,3.7835441763787867
106.0,350.0,623.780356685791,2.2033729684872907,1.75,0.16655983388463635,-0.11561003978527218,440.0,-35.0,75.80622192143369,1.3703931642041005,LC4+,646.7735113830552,False,3.7835441763787867
106.0,350.0,623.780356685791,2.2033729684872907,2.0,0.06764504687990969,-0.19059911621562853,460.0,-15.0,76.63437167262829,1.5809874933643038,LC4+,706.6955466191259,False,3.7835441763787867
106.0,350.0,623.780356685791,2.2033729684872907,2.25,-0.020541726531961735,-0.25745509287777624,470.0,-5.0,77.09714941381229,1.7768355489274794,LC4+,770.3237804388417,False,3.7835441763787867
108.0,275.0,698.780356685791,2.089919007700151,1.5,0.40054756578760675,0.061780261935733716,360.0,-115.0,75.38684488216346,1.2136881948949885,LC4+,538.7178689469944,True,4.542312017838079
108.0,275.0,698.780356685791,2.089919007700151,1.75,0.2816343251313591,-0.028370001358333674,380.0,-95.0,76.07231452667006,1.3830495917988639,LC4+,588.7014612554707,False,4.542312017838079
108.0,275.0,698.780356685791,2.089919007700151,2.0,0.17249990148712468,-0.11110676785866713,400.0,-75.0,76.8746753769214,1.5875357592875101,LC4+,643.4968557720471,False,4.542312017838079
108.0,275.0,698.780356685791,2.089919007700151,2.25,0.0751447041594333,-0.18491349134632795,410.0,-65.0,77.31670064496909,1.779349635629854,LC4+,701.7660014331573,False,4.542312017838079
108.0,300.0,673.780356685791,2.1673908954016827,1.5,0.35926556012981803,0.0304836320666082,380.0,-95.0,75.32412752882081,1.2092710329650789,LC4+,555.0791707898056,True,4.3798034262241465
108.0,300.0,673.780356685791,2.1673908954016827,1.75,0.24568633817946983,-0.05562281585333717,400.0,-75.0,76.02448778819237,1.3791667446557396,LC4+,605.6901941323985,False,4.3798034262241465
