candidate,Kt_case,Kt_peak,level,station_A_mm,station_U_mm,local_OD_mm,local_Kt,governing_load_case,vm_MPa,MS
PRIMARY_106,NOMINAL_KT1,1.0,limit,315.0,-160.0,74.3025602656966,1.0,LC4+,312.58571656502784,0.6091586190418905
PRIMARY_106,NOMINAL_KT1,1.0,ultimate,315.0,-160.0,74.3025602656966,1.0,LC4+,468.87857484754176,0.2199320478356015
PRIMARY_106,SENSITIVITY_KT1p5,1.5,limit,365.0,-110.0,75.45574645165732,1.224414936791236,LC4+,362.2839335771865,0.38841376440126685
PRIMARY_106,SENSITIVITY_KT1p5,1.5,ultimate,365.0,-110.0,75.45574645165732,1.224414936791236,LC4+,543.4259003657799,0.052581409194863316
PRIMARY_106,AT_B7A_KT_CAPACITY,1.64019775390625,limit,375.0,-100.0,75.77846107774194,1.3140221667483647,LC4+,381.2615914118075,0.31930415056338757
PRIMARY_106,AT_B7A_KT_CAPACITY,1.64019775390625,ultimate,375.0,-100.0,75.77846107774194,1.3140221667483647,LC4+,571.8923871177113,0.0001881698108119334
COMPARATOR_104,NOMINAL_KT1,1.0,limit,315.0,-160.0,74.28365024909056,1.0,LC4+,313.21450998396983,0.6059281545600914
COMPARATOR_104,NOMINAL_KT1,1.0,ultimate,315.0,-160.0,74.28365024909056,1.0,LC4+,469.8217649759547,0.21748297469631872
COMPARATOR_104,SENSITIVITY_KT1p5,1.5,limit,375.0,-100.0,75.66730726038307,1.2452540366100298,LC4+,365.80653492656586,0.37504377853986437
COMPARATOR_104,SENSITIVITY_KT1p5,1.5,ultimate,375.0,-100.0,75.66730726038307,1.2452540366100298,LC4+,548.709802389849,0.04244538280291876
COMPARATOR_104,AT_B7A_KT_CAPACITY,1.60980224609375,limit,385.0,-90.0,75.9961645811162,1.3235293105898487,LC4+,381.32463475275983,0.319086033678708
COMPARATOR_104,AT_B7A_KT_CAPACITY,1.60980224609375,ultimate,385.0,-90.0,75.9961645811162,1.3235293105898487,LC4+,571.98695212914,2.2811483393780918e-05
