candidate,station,station_A_mm,station_U_mm,level,case,pressure_diff_MPa_if_inside_live_pressure_region,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Mb_kNm
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC0,9.292,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC1,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC2A,9.292,-6.255,0.0,25.02,3.0023999999999997,2.81475,0.7505999999999999,4.115485794228914
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC2B,9.292,6.255,0.0,25.02,3.0023999999999997,-2.81475,-0.7505999999999999,4.115485794228914
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC3,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC4+,9.292,0.0,8.34,11.0922,5.084064,-0.0,-0.0,5.084064
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC4-,9.292,0.0,-8.34,11.0922,-2.421936,-0.0,-0.0,2.421936
PRIMARY_106,TAPER_START,275.0,-200.0,limit,LC5,9.292,-8.87376,0.0,11.0922,1.331064,3.9931920000000005,1.0648512,4.209193951454364
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC0,13.938,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC1,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC2A,13.938,-9.3825,0.0,37.53,4.5036,4.222125,1.1259,6.173228691343372
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC2B,13.938,9.3825,0.0,37.53,4.5036,-4.222125,-1.1259,6.173228691343372
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC3,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC4+,13.938,0.0,12.51,16.638300000000005,7.626096,-0.0,-0.0,7.626096
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC4-,13.938,0.0,-12.51,16.638300000000005,-3.632904,-0.0,-0.0,3.632904
PRIMARY_106,TAPER_START,275.0,-200.0,ultimate,LC5,13.938,-13.31064,0.0,16.638300000000005,1.9965960000000005,5.989788,1.5972768,6.313790927181546
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC0,9.292,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC1,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC2A,9.292,-6.255,0.0,25.02,3.0023999999999997,2.81475,0.7505999999999999,4.115485794228914
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC2B,9.292,6.255,0.0,25.02,3.0023999999999997,-2.81475,-0.7505999999999999,4.115485794228914
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC3,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC4+,9.292,0.0,8.34,11.0922,5.084064,-0.0,-0.0,5.084064
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC4-,9.292,0.0,-8.34,11.0922,-2.421936,-0.0,-0.0,2.421936
COMPARATOR_104,TAPER_START,275.0,-200.0,limit,LC5,9.292,-8.87376,0.0,11.0922,1.331064,3.9931920000000005,1.0648512,4.209193951454364
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC0,13.938,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC1,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC2A,13.938,-9.3825,0.0,37.53,4.5036,4.222125,1.1259,6.173228691343372
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC2B,13.938,9.3825,0.0,37.53,4.5036,-4.222125,-1.1259,6.173228691343372
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC3,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC4+,13.938,0.0,12.51,16.638300000000005,7.626096,-0.0,-0.0,7.626096
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC4-,13.938,0.0,-12.51,16.638300000000005,-3.632904,-0.0,-0.0,3.632904
COMPARATOR_104,TAPER_START,275.0,-200.0,ultimate,LC5,13.938,-13.31064,0.0,16.638300000000005,1.9965960000000005,5.989788,1.5972768,6.313790927181546
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC0,9.292,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC1,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC2A,9.292,-6.255,0.0,25.02,3.0023999999999997,7.185621131069623,0.7505999999999999,7.787654126839114
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC2B,9.292,6.255,0.0,25.02,3.0023999999999997,-7.185621131069623,-0.7505999999999999,7.787654126839114
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC3,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC4+,9.292,0.0,8.34,11.0922,10.911892174759497,-0.0,-0.0,10.911892174759497
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC4-,9.292,0.0,-8.34,11.0922,-8.249764174759498,-0.0,-0.0,8.249764174759498
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,limit,LC5,9.292,-8.87376,0.0,11.0922,1.331064,10.194001177944106,1.0648512,10.280534586684771
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC0,13.938,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC1,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC2A,13.938,-9.3825,0.0,37.53,4.5036,10.778431696604434,1.1259,11.68148119025867
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC2B,13.938,9.3825,0.0,37.53,4.5036,-10.778431696604434,-1.1259,11.68148119025867
PRIMARY_106,E2_CLOSURE_OUTER_FACE,973.780356685791,498.78035668579105,ultimate,LC3,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036
