level,rank,case,nominal_Kt1_VM_MPa,nominal_Kt1_MS,Mb_kNm,Mz_kNm
limit,1,LC4+,293.3396108585656,0.7147360307998862,5.918064000000001,-0.0
limit,2,LC5,256.62944365943514,0.9600245117139228,5.058821540113865,1.0648512
limit,3,LC2B,242.28965127772148,1.0760275865989941,4.56615,-0.7505999999999999
limit,4,LC2A,242.28965127772148,1.0760275865989941,4.56615,0.7505999999999999
limit,5,LC4-,168.55940965803796,1.9841110681418064,3.2559360000000006,-0.0
limit,6,LC1,167.28656173297566,2.006816535585765,3.0023999999999997,-0.0
limit,7,LC3,167.28656173297566,2.006816535585765,3.0023999999999997,-0.0
limit,8,LC0,69.96284848176147,6.189530027942279,0.894331914893617,-0.0
ultimate,1,LC4+,440.0094162878485,0.2999721797449102,8.877096000000002,-0.0
ultimate,2,LC5,384.9441654891527,0.4859297822403763,7.588232310170795,1.5972768
ultimate,3,LC2B,363.4344769165821,0.5738737965999006,6.849225,-1.1259
ultimate,4,LC2A,363.4344769165821,0.5738737965999006,6.849225,1.1259
ultimate,5,LC4-,252.83911448705695,1.2623081921499182,4.883904,-0.0
ultimate,6,LC1,250.92984259946346,1.2795216147847017,4.5036,-0.0
ultimate,7,LC3,250.92984259946346,1.2795216147847017,4.5036,-0.0
ultimate,8,LC0,104.9442727226422,4.450511830328673,1.3414978723404254,-0.0
