level,case,application_station_A_mm,application_outer_OD_mm,application_inner_ID_mm,structural_Fx_kN,structural_Fy_kN,structural_Fz_kN,Mx_kNm,My_kNm,Mz_kNm,internal_pressure_MPa,closed_end_pressure_thrust_kN_plus_z,remote_total_Fz_kN_if_pressure_thrust_added,material_screen_allowable_MPa
limit,LC0,700.0,95.11264671119827,64.0,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,9.292,29.89227923164811,37.34504518909492,503.0
limit,LC1,700.0,95.11264671119827,64.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,9.292,29.89227923164811,54.912279231648114,503.0
limit,LC2A,700.0,95.11264671119827,64.0,-6.255,0.0,25.02,3.0023999999999997,5.473125,0.7505999999999999,9.292,29.89227923164811,54.912279231648114,503.0
limit,LC2B,700.0,95.11264671119827,64.0,6.255,0.0,25.02,3.0023999999999997,-5.473125,-0.7505999999999999,9.292,29.89227923164811,54.912279231648114,503.0
limit,LC3,700.0,95.11264671119827,64.0,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,9.292,29.89227923164811,54.912279231648114,503.0
limit,LC4+,700.0,95.11264671119827,64.0,0.0,8.34,11.0922,8.628563999999999,-0.0,-0.0,9.292,29.89227923164811,40.98447923164811,503.0
limit,LC4-,700.0,95.11264671119827,64.0,0.0,-8.34,11.0922,-5.966436,-0.0,-0.0,9.292,29.89227923164811,40.98447923164811,503.0
limit,LC5,700.0,95.11264671119827,64.0,-8.87376,0.0,11.0922,1.331064,7.76454,1.0648512,9.292,29.89227923164811,40.98447923164811,503.0
ultimate,LC0,700.0,95.11264671119827,64.0,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,13.938,44.83841884747216,56.01756778364238,572.0
ultimate,LC1,700.0,95.11264671119827,64.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,13.938,44.83841884747216,82.36841884747216,572.0
ultimate,LC2A,700.0,95.11264671119827,64.0,-9.3825,0.0,37.53,4.5036,8.209687500000001,1.1259,13.938,44.83841884747216,82.36841884747216,572.0
ultimate,LC2B,700.0,95.11264671119827,64.0,9.3825,0.0,37.53,4.5036,-8.209687500000001,-1.1259,13.938,44.83841884747216,82.36841884747216,572.0
ultimate,LC3,700.0,95.11264671119827,64.0,0.0,0.0,37.53,4.5036,-0.0,-0.0,13.938,44.83841884747216,82.36841884747216,572.0
ultimate,LC4+,700.0,95.11264671119827,64.0,0.0,12.51,16.638300000000005,12.942846,-0.0,-0.0,13.938,44.83841884747216,61.47671884747217,572.0
ultimate,LC4-,700.0,95.11264671119827,64.0,0.0,-12.51,16.638300000000005,-8.949653999999999,-0.0,-0.0,13.938,44.83841884747216,61.47671884747217,572.0
ultimate,LC5,700.0,95.11264671119827,64.0,-13.31064,0.0,16.638300000000005,1.9965960000000005,11.646809999999999,1.5972768,13.938,44.83841884747216,61.47671884747217,572.0
