level,case,reference_station_A_mm,reference_OD_mm,reference_ID_mm,pressure_MPa,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Mb_kNm,nominal_Kt1_surface,nominal_Kt1_sigma_z_MPa,nominal_Kt1_sigma_theta_MPa,nominal_Kt1_sigma_r_MPa,nominal_Kt1_tau_torsion_MPa,nominal_Kt1_VM_MPa,allowable_MPa,nominal_Kt1_MS
limit,LC0,375.0,75.77846107774194,64.0,9.292,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.894331914893617,INNER,-18.63990456648341,55.5269443166544,-9.292,0.0,69.96284848176147,503.0,6.189530027942279
limit,LC1,375.0,75.77846107774194,64.0,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,OUTER,-139.3064829082441,46.2349443166544,0.0,0.0,167.28656173297566,503.0,2.006816535585765
limit,LC2A,375.0,75.77846107774194,64.0,9.292,-6.255,0.0,25.02,3.0023999999999997,3.4402500000000003,0.7505999999999999,4.56615,OUTER,260.0593987701583,46.2349443166544,0.0,17.884313170862324,242.28965127772148,503.0,1.0760275865989941
limit,LC2B,375.0,75.77846107774194,64.0,9.292,6.255,0.0,25.02,3.0023999999999997,-3.4402500000000003,-0.7505999999999999,4.56615,OUTER,260.0593987701583,46.2349443166544,0.0,17.884313170862324,242.28965127772148,503.0,1.0760275865989941
limit,LC3,375.0,75.77846107774194,64.0,9.292,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,3.0023999999999997,OUTER,-139.3064829082441,46.2349443166544,0.0,0.0,167.28656173297566,503.0,2.006816535585765
limit,LC4+,375.0,75.77846107774194,64.0,9.292,0.0,8.34,11.0922,5.918064000000001,-0.0,-0.0,5.918064000000001,OUTER,-267.4765311206146,46.2349443166544,0.0,0.0,293.3396108585656,503.0,0.7147360307998862
limit,LC4-,375.0,75.77846107774194,64.0,9.292,0.0,-8.34,11.0922,-3.2559360000000006,-0.0,-0.0,3.2559360000000006,OUTER,-140.61713636196444,46.2349443166544,0.0,0.0,168.55940965803796,503.0,1.9841110681418064
limit,LC5,375.0,75.77846107774194,64.0,9.292,-8.87376,0.0,11.0922,1.331064,4.880568000000001,1.0648512,5.058821540113865,OUTER,-226.53072445313316,46.2349443166544,0.0,25.37187895173002,256.62944365943514,503.0,0.9600245117139228
ultimate,LC0,375.0,75.77846107774194,64.0,13.938,0.0,0.0,11.179148936170211,1.3414978723404254,-0.0,-0.0,1.3414978723404254,INNER,-27.959856849725114,83.2904164749816,-13.938,0.0,104.9442727226422,572.0,4.450511830328673
ultimate,LC1,375.0,75.77846107774194,64.0,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,OUTER,-208.95972436236616,69.3524164749816,0.0,0.0,250.92984259946346,572.0,1.2795216147847017
ultimate,LC2A,375.0,75.77846107774194,64.0,13.938,-9.3825,0.0,37.53,4.5036,5.160375,1.1259,6.849225,OUTER,-320.7366816802557,69.3524164749816,0.0,26.826469756293488,363.4344769165821,572.0,0.5738737965999006
ultimate,LC2B,375.0,75.77846107774194,64.0,13.938,9.3825,0.0,37.53,4.5036,-5.160375,-1.1259,6.849225,OUTER,-320.7366816802557,69.3524164749816,0.0,26.826469756293488,363.4344769165821,572.0,0.5738737965999006
ultimate,LC3,375.0,75.77846107774194,64.0,13.938,0.0,0.0,37.53,4.5036,-0.0,-0.0,4.5036,OUTER,-208.95972436236616,69.3524164749816,0.0,0.0,250.92984259946346,572.0,1.2795216147847017
ultimate,LC4+,375.0,75.77846107774194,64.0,13.938,0.0,12.51,16.638300000000005,8.877096000000002,-0.0,-0.0,8.877096000000002,OUTER,-401.2147966809219,69.3524164749816,0.0,0.0,440.0094162878485,572.0,0.2999721797449102
ultimate,LC4-,375.0,75.77846107774194,64.0,13.938,0.0,-12.51,16.638300000000005,-4.883904,-0.0,-0.0,4.883904,OUTER,-210.92570454294668,69.3524164749816,0.0,0.0,252.83911448705695,572.0,1.2623081921499182
ultimate,LC5,375.0,75.77846107774194,64.0,13.938,-13.31064,0.0,16.638300000000005,1.9965960000000005,7.320852,1.5972768,7.588232310170795,OUTER,-339.7960866796997,69.3524164749816,0.0,38.05781842759502,384.9441654891527,572.0,0.4859297822403763
