station_A_mm,station_U_mm,outer_diameter_mm,outer_radius_mm,inner_diameter_mm,inner_radius_mm,is_below_taper,is_in_taper
50.0,-425.0,74.0,37.0,64.0,32.0,True,False
55.0,-420.0,74.0,37.0,64.0,32.0,True,False
60.0,-415.0,74.0,37.0,64.0,32.0,True,False
65.0,-410.0,74.0,37.0,64.0,32.0,True,False
70.0,-405.0,74.0,37.0,64.0,32.0,True,False
75.0,-400.0,74.0,37.0,64.0,32.0,True,False
80.0,-395.0,74.0,37.0,64.0,32.0,True,False
85.0,-390.0,74.0,37.0,64.0,32.0,True,False
90.0,-385.0,74.0,37.0,64.0,32.0,True,False
95.0,-380.0,74.0,37.0,64.0,32.0,True,False
100.0,-375.0,74.0,37.0,64.0,32.0,True,False
105.0,-370.0,74.0,37.0,64.0,32.0,True,False
110.0,-365.0,74.0,37.0,64.0,32.0,True,False
115.0,-360.0,74.0,37.0,64.0,32.0,True,False
120.0,-355.0,74.0,37.0,64.0,32.0,True,False
125.0,-350.0,74.0,37.0,64.0,32.0,True,False
130.0,-345.0,74.0,37.0,64.0,32.0,True,False
135.0,-340.0,74.0,37.0,64.0,32.0,True,False
140.0,-335.0,74.0,37.0,64.0,32.0,True,False
145.0,-330.0,74.0,37.0,64.0,32.0,True,False
150.0,-325.0,74.0,37.0,64.0,32.0,True,False
155.0,-320.0,74.0,37.0,64.0,32.0,True,False
160.0,-315.0,74.0,37.0,64.0,32.0,True,False
165.0,-310.0,74.0,37.0,64.0,32.0,True,False
170.0,-305.0,74.0,37.0,64.0,32.0,True,False
175.0,-300.0,74.0,37.0,64.0,32.0,True,False
180.0,-295.0,74.0,37.0,64.0,32.0,True,False
185.0,-290.0,74.0,37.0,64.0,32.0,True,False
190.0,-285.0,74.0,37.0,64.0,32.0,True,False
195.0,-280.0,74.0,37.0,64.0,32.0,True,False
200.0,-275.0,74.0,37.0,64.0,32.0,True,False
205.0,-270.0,74.0,37.0,64.0,32.0,True,False
210.0,-265.0,74.0,37.0,64.0,32.0,True,False
